cancer	stage_id	run_id	analysis_version	metabolite_key	metabolite_name	gene	relationship_type	role_in_written_reaction	reaction	source_url	uniprot_accession	evidence_origin	mapping_status	status	reason	identity_basis	source_path	source_evidence	rhea_id	historical_reaction_id	relation_key	patient_analysis_this_round	functional_analysis_this_round	evidence_id
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GCLC	酶	转化底物	半胱氨酸和谷氨酸在ATP参与下生成γ-谷氨酰半胱氨酸。	https://enzyme.expasy.org/EC/6.3.2.2 ; https://www.uniprot.org/uniprotkb/P48506/entry	P48506	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	GCLC直接接半胱氨酸/谷氨酸；它不是一步生成最终GSH的酶，GCLM是辅助亚基，未作催化酶收录。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R005	KEGG:C00025|GCLC	NOT_RUN	NOT_RUN	M190E0012
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GLS	酶	生成产物	谷氨酰胺经水解生成谷氨酸和铵。	https://enzyme.expasy.org/EC/3.5.1.2 ; https://www.uniprot.org/uniprotkb/O94925/entry	O94925	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R001	KEGG:C00025|GLS	NOT_RUN	NOT_RUN	M190E0013
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GLS2	酶	生成产物	谷氨酰胺经水解生成谷氨酸和铵。	https://enzyme.expasy.org/EC/3.5.1.2 ; https://www.uniprot.org/uniprotkb/Q9UI32/entry	Q9UI32	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R001	KEGG:C00025|GLS2	NOT_RUN	NOT_RUN	M190E0014
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GLUL	酶	转化底物	谷氨酸与铵在ATP参与下合成谷氨酰胺。	https://rest.uniprot.org/uniprotkb/P15104.txt ; https://www.uniprot.org/uniprotkb/P15104/entry	P15104	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R002	KEGG:C00025|GLUL	NOT_RUN	NOT_RUN	M190E0015
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GOT1	酶	可逆反应参与物	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.1 ; https://www.uniprot.org/uniprotkb/P17174/entry	P17174	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R004	KEGG:C00025|GOT1	NOT_RUN	NOT_RUN	M190E0016
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	GOT2	酶	可逆反应参与物	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.1 ; https://www.uniprot.org/uniprotkb/P00505/entry	P00505	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R004	KEGG:C00025|GOT2	NOT_RUN	NOT_RUN	M190E0017
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	OAT	酶	可逆反应参与物	鸟氨酸与2-氧戊二酸转氨生成谷氨酸-5-半醛和谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.13 ; https://www.uniprot.org/uniprotkb/P04181/entry	P04181	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R013	KEGG:C00025|OAT	NOT_RUN	NOT_RUN	M190E0018
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	SLC7A11	转运体	直接交换底物	人xCT介导胱氨酸/谷氨酸交换。	https://rest.uniprot.org/uniprotkb/Q9UPY5.txt ; https://www.uniprot.org/uniprotkb/Q9UPY5/entry	Q9UPY5	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	SLC3A2为共享辅助重链；未把它作为胱氨酸专属直接运输亚基收录。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R081	KEGG:C00025|SLC7A11	NOT_RUN	NOT_RUN	M190E0019
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00025	glutamate	TAT	酶	可逆反应参与物	酪氨酸转氨连接4-羟基苯丙酮酸与谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.5 ; https://www.uniprot.org/uniprotkb/P17735/entry	P17735	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R023	KEGG:C00025|TAT	NOT_RUN	NOT_RUN	M190E0020
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00037	glycine	GSS	酶	转化底物	γ-谷氨酰半胱氨酸与甘氨酸在ATP参与下生成GSH。	https://enzyme.expasy.org/EC/6.3.2.3 ; https://www.uniprot.org/uniprotkb/P48637/entry	P48637	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R006	KEGG:C00037|GSS	NOT_RUN	NOT_RUN	M190E0021
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00037	glycine	PEPD	酶	水解产物	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	https://enzyme.expasy.org/EC/3.4.13.9 ; https://www.uniprot.org/uniprotkb/P12955/entry	P12955	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R032	KEGG:C00037|PEPD	NOT_RUN	NOT_RUN	M190E0022
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00037	glycine	SHMT1	酶	可逆反应参与物	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	https://enzyme.expasy.org/EC/2.1.2.1 ; https://www.uniprot.org/uniprotkb/P34896/entry	P34896	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R008	KEGG:C00037|SHMT1	NOT_RUN	NOT_RUN	M190E0023
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00037	glycine	SHMT2	酶	可逆反应参与物	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	https://enzyme.expasy.org/EC/2.1.2.1 ; https://www.uniprot.org/uniprotkb/P34897/entry	P34897	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R008	KEGG:C00037|SHMT2	NOT_RUN	NOT_RUN	M190E0024
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00047	lysine	AASS	酶	可逆反应参与物	赖氨酸与2-氧戊二酸通过AASS的赖氨酸-酮戊二酸还原酶活性连接酵母氨酸（saccharopine）。	https://enzyme.expasy.org/EC/1.5.1.8 ; https://www.uniprot.org/uniprotkb/Q9UDR5/entry	Q9UDR5	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	酶条目命名及数据库反应按可逆形式；人体通常讨论赖氨酸降解方向，未据此推断肿瘤通量。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R018	KEGG:C00047|AASS	NOT_RUN	NOT_RUN	M190E0025
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00049	aspartate	ASNS	酶	转化底物	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	https://www.kegg.jp/entry/6.3.5.4 ; https://www.uniprot.org/uniprotkb/P08243/entry	P08243	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R003	KEGG:C00049|ASNS	NOT_RUN	NOT_RUN	M190E0026
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00049	aspartate	ASS1	酶	转化底物	瓜氨酸、天冬氨酸和ATP参与精氨琥珀酸合成。	https://enzyme.expasy.org/EC/6.3.4.5 ; https://www.uniprot.org/uniprotkb/P00966/entry	P00966	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R011	KEGG:C00049|ASS1	NOT_RUN	NOT_RUN	M190E0027
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00049	aspartate	GOT1	酶	可逆反应参与物	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.1 ; https://www.uniprot.org/uniprotkb/P17174/entry	P17174	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R004	KEGG:C00049|GOT1	NOT_RUN	NOT_RUN	M190E0028
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00049	aspartate	GOT2	酶	可逆反应参与物	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	https://enzyme.expasy.org/EC/2.6.1.1 ; https://www.uniprot.org/uniprotkb/P00505/entry	P00505	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R004	KEGG:C00049|GOT2	NOT_RUN	NOT_RUN	M190E0029
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00051	glutathione, reduced (GSH)	GSR	酶	还原反应产物	氧化型谷胱甘肽在NADPH参与下还原为GSH。	https://enzyme.expasy.org/EC/1.8.1.7 ; https://www.uniprot.org/uniprotkb/P00390/entry	P00390	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R007	KEGG:C00051|GSR	NOT_RUN	NOT_RUN	M190E0030
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00051	glutathione, reduced (GSH)	GSS	酶	生成产物	γ-谷氨酰半胱氨酸与甘氨酸在ATP参与下生成GSH。	https://enzyme.expasy.org/EC/6.3.2.3 ; https://www.uniprot.org/uniprotkb/P48637/entry	P48637	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R006	KEGG:C00051|GSS	NOT_RUN	NOT_RUN	M190E0031
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	CEPT1	酶	反应产物	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	https://enzyme.expasy.org/EC/2.7.8.2 ; https://www.uniprot.org/uniprotkb/Q9Y6K0/entry	Q9Y6K0	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R053	KEGG:C00055|CEPT1	NOT_RUN	NOT_RUN	M190E0032
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	CHPT1	酶	反应产物	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	https://enzyme.expasy.org/EC/2.7.8.2 ; https://www.uniprot.org/uniprotkb/Q8WUD6/entry	Q8WUD6	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R053	KEGG:C00055|CHPT1	NOT_RUN	NOT_RUN	M190E0033
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	CMPK1	酶	转化底物	CMP磷酸化生成CDP。	https://enzyme.expasy.org/EC/2.7.4.14 ; https://www.uniprot.org/uniprotkb/P30085/entry	P30085	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R071	KEGG:C00055|CMPK1	NOT_RUN	NOT_RUN	M190E0034
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	CMPK2	酶	转化底物	CMP磷酸化生成CDP。	https://enzyme.expasy.org/EC/2.7.4.14 ; https://www.uniprot.org/uniprotkb/Q5EBM0/entry	Q5EBM0	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R071	KEGG:C00055|CMPK2	NOT_RUN	NOT_RUN	M190E0035
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00062	arginine	ARG1	酶	转化底物	精氨酸水解生成鸟氨酸和尿素。	https://enzyme.expasy.org/EC/3.5.3.1 ; https://www.uniprot.org/uniprotkb/P05089/entry	P05089	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R009	KEGG:C00062|ARG1	NOT_RUN	NOT_RUN	M190E0036
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00062	arginine	ARG2	酶	转化底物	精氨酸水解生成鸟氨酸和尿素。	https://enzyme.expasy.org/EC/3.5.3.1 ; https://www.uniprot.org/uniprotkb/P78540/entry	P78540	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R009	KEGG:C00062|ARG2	NOT_RUN	NOT_RUN	M190E0037
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00064	glutamine	ASNS	酶	供氮底物	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	https://www.kegg.jp/entry/6.3.5.4 ; https://www.uniprot.org/uniprotkb/P08243/entry	P08243	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R003	KEGG:C00064|ASNS	NOT_RUN	NOT_RUN	M190E0038
BRCA	02_MAPPING	20260921T124136Z_mapping190_v2	mapping190_v2	KEGG:C00064	glutamine	GLS	酶	转化底物	谷氨酰胺经水解生成谷氨酸和铵。	https://enzyme.expasy.org/EC/3.5.1.2 ; https://www.uniprot.org/uniprotkb/O94925/entry	O94925	LEGACY_V1_REUSED	DIRECT_ACCEPTED	DONE	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。	Inherited CAMP feature; no reidentification; exact key join	reference/brca/direct_edges_v1.tsv	Legacy curated tier A		R001	KEGG:C00064|GLS	NOT_RUN	NOT_RUN	M190E0039
