cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	source_row_1based	review_route	focus5	new_review_ids	inherited_evidence_ids	inherited_review_note	inherited_metabolic_link	inherited_counterevidence	independent_patient_association	actual_metabolite_coverage	actual_RNA_or_protein_coverage	paired_specimen_identity	exact_metabolite_identity_requirement	functional_decision	existing_arrangement	new_arrangement_review	next_dataset_action	proof_status
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00147	adenine	AQP9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	11	TRANSPORT_TO_CONTEXT_BRIDGE	True	F01	E13;E14;E15	Reuse prior recorded depth;not fresh exhaustive full-text review	当前功能多涉及5-FU摄取、DVL2/Wnt或KRAS背景；腺嘌呤介导未证明	不能据同一基因标签确定统一抑制方向	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00147; exact annotated feature required, no related-metabolite substitution	Bridge heterologous adenine permeability to relevant CRC/myeloid uptake and metabolite-dependent phenotype;5-FU effects do not substitute	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C03794	adenylosuccinate	ADSS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	12	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	腺苷酸代琥珀酸关系仍是生化候选与名义关联	ADSS1、ADSL及其他癌种结果不能替代；未命中不等于无功能	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C03794; exact annotated feature required, no related-metabolite substitution	Require adenylosuccinate readout after exact ADSS2 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00152	asparagine	SLC38A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	13	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E17	Reuse prior recorded depth;not fresh exhaustive full-text review	没有天冬酰胺特异摄取/救援，功能不能直接归于当前代谢物	单主要模型；尚未获得广泛CRC体内证据	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00152; exact annotated feature required, no related-metabolite substitution	Low single-cell detection and missing asparagine-specific uptake/rescue require independent measurement before source-specific mechanism	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00386	carnosine	SLC15A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	14	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E33;E34	Reuse prior recorded depth;not fresh exhaustive full-text review	肌肽特异运输与肿瘤介导仍未证实	淋巴瘤、SLC15A4或试验登记不能替代已完成CRC功能	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00386; exact annotated feature required, no related-metabolite substitution	Require carnosine readout after exact SLC15A3 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00475	cytidine	NT5C3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	15	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E32	Reuse prior recorded depth;not fresh exhaustive full-text review	胞苷关系仍为患者名义与生化候选	NT5C2/NT5C3及不同剪接名称不可混用；AML不作CRC证据	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00475; exact annotated feature required, no related-metabolite substitution	Require cytidine readout after exact NT5C3A manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00111	dihydroxyacetone phosphate (DHAP)	GNPAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	16	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	DHAP/醚脂生化候选未变为功能机制	不能用AGPS或其他醚脂酶的作用替代GNPAT	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00111; exact annotated feature required, no related-metabolite substitution	Require dihydroxyacetone phosphate (DHAP) readout after exact GNPAT manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00051	glutathione, reduced (GSH)	GSTA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	17	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E02;E03	Reuse prior recorded depth;not fresh exhaustive full-text review	与氧化应激/铁死亡相关；GSH—RNA负相关尚非介导证据	肿瘤上皮和正常巨噬细胞作用不能混写，部分宿主背景炎症反而更重	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00051; exact annotated feature required, no related-metabolite substitution	Require glutathione, reduced (GSH) readout after exact GSTA4 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00051	glutathione, reduced (GSH)	GSTO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	18	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E21	Reuse prior recorded depth;not fresh exhaustive full-text review	未测GSH通量，也未建立GSH介导	体外范围有限；主要使用筛选后siRNA，救援和动物支持本轮未确认	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00051; exact annotated feature required, no related-metabolite substitution	Require glutathione, reduced (GSH) readout after exact GSTO2 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00051	glutathione, reduced (GSH)	GSTT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	19	MEASUREMENT_IDENTITY_FIRST	False	NA	E38	Reuse prior recorded depth;not fresh exhaustive full-text review	GSH负相关不能由遗传风险关联直接解释	与GSTT2B高度相似，探针特异性及基因归属需核查	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00051; exact annotated feature required, no related-metabolite substitution	Resolve gene-specific RNA/protein measurement and GSTT2B cross-assignment before interpreting GSH relation	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00051	glutathione, reduced (GSH)	GSTT2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	20	MEASUREMENT_IDENTITY_FIRST	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	保留GSH名义关联，不借用GSTT2功能	高度同源/近名基因可能导致文献和测量归属问题	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00051; exact annotated feature required, no related-metabolite substitution	Do not borrow GSTT2 genetic/function evidence;resolve gene-specific measurement and exact GSH phenotype mediation	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00051	glutathione, reduced (GSH)	HAGH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	21	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E31	Reuse prior recorded depth;not fresh exhaustive full-text review	其他癌种报道D-乳酸/FAK-Src作用，并非GSH患者机制	GLO1不是HAGH；前列腺模型不当作CRC复现	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00051; exact annotated feature required, no related-metabolite substitution	Require glutathione, reduced (GSH) readout after exact HAGH manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00670	glycerophosphorylcholine (GPC)	PLA2G15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	22	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA	E24	Reuse prior recorded depth;not fresh exhaustive full-text review	无法由融合表型确认GPC处理酶功能	融合特异siRNA不能作为普通基因抑制的支持证据	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00670; exact annotated feature required, no related-metabolite substitution	Require glycerophosphorylcholine (GPC) readout after exact PLA2G15 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00242	guanine	SLC29A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	23	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	鸟苷/鸟嘌呤候选需保留ENT3运输区室与物种依据	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00242; exact annotated feature required, no related-metabolite substitution	Require guanine readout after exact SLC29A3 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00387	guanosine	SLC29A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	24	MEASURE_EXACT_METABOLITE_AND_MEDIATION	False	NA		Reuse prior recorded depth;not fresh exhaustive full-text review	鸟苷/鸟嘌呤候选需保留ENT3运输区室与物种依据	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00387; exact annotated feature required, no related-metabolite substitution	Require guanosine readout after exact SLC29A3 manipulation, metabolite mediation/rescue, and compatible cell/compartment;retain prior limitations	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
COAD	existing39_review	07_INTEGRATION	20260920T105400Z_relation39_feasibility_v1	COAD_relation39_feasibility_v1	relation_specific_feasibility_review	KEGG:C00388	histamine	HDC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PARTIAL	No independently verified paired metabolite-gene dataset ready;not a negative association	results/COAD/06_EXTERNAL/20260920T091100Z_cell_paired35_v1/relations39_integrated.tsv	25	EXACT_METABOLITE_FOLLOWUP	False	NA	E05	Reuse prior recorded depth;not fresh exhaustive full-text review	有组胺相关干预，但主要在宿主髓系背景	不能由正相关推出抑制HDC；bulk数据不能定位癌细胞来源	NOT_RUN	NOT_VERIFIED	NOT_VERIFIED	NOT_VERIFIED	KEGG:C00388; exact annotated feature required, no related-metabolite substitution	Separate host-myeloid histamine intervention from tumor mast-cell source;cell-specific histamine production/response required	UNCHANGED_9_21_5	NA	D01 processed tables/replicate map;D02 only under separate metastatic scope	NOT_VALIDATED_METABOLITE_AXIS
