代谢物	来源英文名	原g	原P	原q	原q是否小于0.05	肿瘤标本数	正常标本数	原分析设计
天冬酰胺	asparagine	0.690613414767693	0.00627265104383797	0.0163500248519711	True	37	39	Unpaired; author supplied processed values; no new transformation
N-乙酰氨基葡萄糖-1-磷酸	N-Acetylglucosamine 1-phosphate	0.651874150570456	0.00909480311171882	0.0233237692703757	True	37	39	Unpaired; author supplied processed values; no new transformation
1-甲基组胺	1-methylhistamine	-0.596838488935626	0.0102508215576134	0.0258711210739767	True	37	39	Unpaired; author supplied processed values; no new transformation
壬二酸	azelate (nonanedioate)	-0.383174360489904	0.0111549770918437	0.0277131462125493	True	37	39	Unpaired; author supplied processed values; no new transformation
6-磷酸葡萄糖酸	6-phosphogluconate	-0.641702243769376	0.0119047165660489	0.0291207682154118	True	37	39	Unpaired; author supplied processed values; no new transformation
半胱氨酸–谷胱甘肽二硫化物	cysteine-glutathione disulfide	0.592489232663605	0.0122608411155754	0.0295374808693407	True	37	39	Unpaired; author supplied processed values; no new transformation
肌肽	carnosine	-0.552013685316796	0.0127755692123431	0.0303181418621276	True	37	39	Unpaired; author supplied processed values; no new transformation
亚精胺	spermidine	0.305948873264586	0.0163671614066464	0.038270274465541	True	37	39	Unpaired; author supplied processed values; no new transformation
亮氨酸	leucine	0.50839089312706	0.0173202036202628	0.0398980189569739	True	37	39	Unpaired; author supplied processed values; no new transformation
酪氨酸	tyrosine	0.543601589293918	0.017565165578542	0.0398980189569739	True	37	39	Unpaired; author supplied processed values; no new transformation
异亮氨酸	isoleucine	0.567578731556765	0.0199186120048217	0.0446064691375585	True	37	39	Unpaired; author supplied processed values; no new transformation
尿苷二磷酸（UDP）	uridine 5'-diphosphate (UDP)	0.400708300009171	0.0210496456290408	0.0458478582879108	True	37	39	Unpaired; author supplied processed values; no new transformation
胞苷	cytidine	-0.484622433872367	0.0210496456290408	0.0458478582879108	True	37	39	Unpaired; author supplied processed values; no new transformation
苯丙氨酸	phenylalanine	0.462912443149273	0.0254602725067867	0.0539757777143879	False	37	39	Unpaired; author supplied processed values; no new transformation
胞苷-5′-单磷酸（CMP）	cytidine 5'-monophosphate (5'-CMP)	-0.568550324207397	0.0254602725067867	0.0539757777143879	False	37	39	Unpaired; author supplied processed values; no new transformation
ADP-葡萄糖	ADP-glucose	0.388646001175217	0.0312048682585171	0.0652838691197924	False	37	39	Unpaired; author supplied processed values; no new transformation
苏氨酸	threonine	0.480107439619451	0.0331366605437162	0.0684250522915698	False	37	39	Unpaired; author supplied processed values; no new transformation
壬酸（9:0）	pelargonate (9:0)	-0.35654035768113	0.0390647467967476	0.0796319838549086	False	37	39	Unpaired; author supplied processed values; no new transformation
S-腺苷同型半胱氨酸（SAH）	S-adenosylhomocysteine (SAH)	0.175751567715889	0.0406246094985898	0.0807523280020274	False	37	39	Unpaired; author supplied processed values; no new transformation
γ-氨基丁酸（GABA）	gamma-aminobutyrate (GABA)	0.544534782625098	0.0406301021393849	0.0807523280020274	False	37	39	Unpaired; author supplied processed values; no new transformation
尿苷单磷酸（UMP）	uridine 5'-monophosphate (UMP)	-0.495355829225026	0.0437886682147966	0.0859555339031192	False	37	39	Unpaired; author supplied processed values; no new transformation
鸟苷二磷酸（GDP）	guanosine 5'- diphosphate (GDP)	0.333738755268872	0.0465791355778514	0.0903180799619314	False	37	39	Unpaired; author supplied processed values; no new transformation
鸟苷-5′-单磷酸（GMP）	guanosine 5'- monophosphate (5'-GMP)	0.177439150440661	0.0483204978705956	0.0925657730292134	False	37	39	Unpaired; author supplied processed values; no new transformation
