source_row_1based	gene	metabolite_key	this_batch_status	scope	prior_delta
27	ENTPD3	KEGG:C00130	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
28	GMPR	KEGG:C00130	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
29	BCAT2	KEGG:C00407	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
30	SLC7A8	KEGG:C00407	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
31	SLC6A17	KEGG:C00123	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
32	SLC7A8	KEGG:C00123	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
33	SLC6A17	KEGG:C00148	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
34	SLC6A6	KEGG:C00245	DONE	Focused mechanism interpretation	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
35	SLC29A1	KEGG:C00299	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
36	UCKL1	KEGG:C00299	DONE	Focused mechanism interpretation	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
37	UPP2	KEGG:C00299	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
38	B4GALT2	KEGG:C00015	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
39	NME6	KEGG:C00015	NOT_RUN	Prior evidence retained;not newly reread	results/COAD/07_INTEGRATION/20260920T105400Z_relation39_feasibility_v1/relation39_next_evidence.tsv
