基因	候选范围	是否新增	本轮直接关系数	对应代谢物	配对RNA效应_作者尺度	配对RNA新版q	肿瘤RNA较高对数	肿瘤RNA较低对数	CAMP本轮q小于005关系	FUSCC本轮q小于005关系	Tang本轮q小于005关系	FUSCC下载受阻关系数	功能证据	功能限制	当前决定
ADA	CURRENT150	False	2	adenosine;inosine	0.0674465097110459	0.5004463925820088	22.0	23.0				0.0	观察性或非基因特异背景	S002：非ADA特异遗传证据；不能把ADAR论文算为ADA	保留候选；患者未显著或缺测不取消功能证据
ADA2	CURRENT150	False	2	adenosine;inosine	0.4811830830806913	0.0015815088062011	34.0	11.0				0.0	观察性或非基因特异背景	S003：CECR2不是ADA2/CECR1；胶质瘤CECR1干预不可当BRCA验证	保留候选；患者未显著或缺测不取消功能证据
AFMID	CURRENT150	False	1	kynurenine	0.059133922528751	0.5991687828209212	26.0	19.0		KEGG:C00328|AFMID		0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留患者关联线索；逐关系比较效应、缺失及外部支持
AHCY	CURRENT150	False	2	S-adenosylhomocysteine (SAH);adenosine	0.4663857145225857	1.0653930837639473e-06	37.0	8.0				0.0	仅他癌或不适用乳腺癌	S004：癌种不适用；当前未取得可归属的BRCA基因特异干预	保留候选；患者未显著或缺测不取消功能证据
ALOX15	CURRENT150	True	2	arachidonate (20:4n6);docosahexaenoate (DHA; 22:6n3)	0.0516820208452075	0.4154718338136732	30.0	15.0				2.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
ALOX5	CURRENT150	True	1	arachidonate (20:4n6)	0.4225208731026527	0.0004892312431675	32.0	13.0				1.0	BRCA_FUNCTION_CONTEXT	HER2背景;SKBR3;BT-474：本轮不把HER2 siRNA当作ALOX5自身遗传验证；干预细节待核对	保留候选；患者未显著或缺测不取消功能证据
AMDHD2	CURRENT150	False	1	N-acetylglucosamine 6-phosphate	0.1743832302659883	0.0040799468457117	33.0	12.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
AOX1	CURRENT150	False	1	1-methylnicotinamide	-1.06909760237166	2.311619205982692e-08	6.0	39.0				0.0	观察性或非基因特异背景	S005：血液标志物关联不是乳腺肿瘤细胞中AOX1功能；题名为内容概述	保留候选；患者未显著或缺测不取消功能证据
ARG1	CURRENT150	False	2	arginine;ornithine	0.0210818583845529	0.5794330545631496	28.0	17.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
ARG2	CURRENT150	False	2	arginine;ornithine	-0.1422493617729733	0.2024089199649024	14.0	31.0				0.0	功能线索待方法/模型核定	S074：摘要中的乳腺癌表达不自动把所有功能实验归为乳腺癌	保留候选；患者未显著或缺测不取消功能证据
ASNS	CURRENT150	False	3	glutamate;aspartate;glutamine	0.484670967461386	3.86122997624736e-06	36.0	9.0	KEGG:C00064|ASNS	KEGG:C00025|ASNS;KEGG:C00064|ASNS		0.0	有乳腺癌遗传干预报告	S006：营养/转移终点和模型特异；并非针对CAMP谷氨酰胺关联的患者因果验证 | S007：当前可见摘要主要为上游调控；不能记为已经核实的独立ASNS敲除实验	保留患者关联线索；逐关系比较效应、缺失及外部支持
ASS1	CURRENT150	False	2	aspartate;citrulline	-0.627676062686424	1.765611973135385e-05	9.0	36.0				0.0	有乳腺癌遗传干预报告	S008：不是简单的ASS1抑制策略；CAMP天冬氨酸/瓜氨酸关系不能直接等同该机制 | S009：ASS1缺失是响应背景，不等于干预ASS1可普遍治疗；题名为内容概述 | S010：药物靶向归属及基因救援需进一步全文定位；不可作临床用药建议	保留候选；患者未显著或缺测不取消功能证据
BBOX1	CURRENT150	False	1	deoxycarnitine	-0.5896021509461973	0.0307840741142664	15.0	30.0				0.0	有乳腺癌遗传干预报告	S011：有限正常细胞比较不是临床安全；机制为酶依赖的BBOX1–IP3R3联系，不能称催化无关	保留候选；患者未显著或缺测不取消功能证据
BCAT1	CURRENT150	False	1	glutamate	0.3231692490913656	0.0746178326185882	27.0	18.0				0.0	有乳腺癌遗传干预报告	S012：激素背景特异，不能外推所有BRCA | S013：体外/刺激条件；BCATc=BCAT1，不是BCAT2	保留候选；患者未显著或缺测不取消功能证据
BCAT2	CURRENT150	False	1	glutamate	0.1455620665486846	0.1066181652651339	28.0	17.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
CDO1	CURRENT150	False	1	cysteine	-1.4595902791242863	7.042055425677696e-11	0.0	45.0				0.0	有乳腺癌遗传干预报告	S014：去甲基化药非CDO1特异；不能把低表达基因自动列为抑制靶点	保留候选；患者未显著或缺测不取消功能证据
CEPT1	CURRENT150	False	2	cytidine 5'-monophosphate (5'-CMP);cytidine 5'-diphosphocholine	-0.1352273810510205	0.0140633289107534	16.0	29.0				0.0	功能线索待方法/模型核定	S015：不能由标题写着regulating CEPT1就认定CEPT1敲除抑癌	保留候选；患者未显著或缺测不取消功能证据
CHKA	CURRENT150	False	3	choline;ethanolamine;phosphoethanolamine	0.0360581446699353	0.8216380429596449	24.0	21.0				0.0	有乳腺癌遗传干预报告	S016：拷贝数相似不保证表达/依赖相同；必须保留细胞系阴性结果	保留候选；患者未显著或缺测不取消功能证据
CHKB	CURRENT150	False	3	choline;ethanolamine;phosphoethanolamine	NA	NA	NA	NA				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
CHPT1	CURRENT150	False	2	cytidine 5'-monophosphate (5'-CMP);cytidine 5'-diphosphocholine	-0.3145371132231079	0.0233634586536459	15.0	30.0		KEGG:C00307|CHPT1		0.0	有乳腺癌遗传干预报告	S017：斑马鱼早期播散非完整自发转移；CAMP的CDP-choline/CMP不能直接当膜PC通量	保留患者关联线索；逐关系比较效应、缺失及外部支持
CKB	CURRENT150	False	1	creatine	-0.5869721493881079	0.0015558099514481	11.0	34.0				0.0	有乳腺癌遗传干预报告	S018：肌酸类似物不等于CKB专一抑制；治疗背景与宿主差异保留	保留候选；患者未显著或缺测不取消功能证据
CKM	CURRENT150	False	1	creatine	-0.0663747890742598	0.0730586425581746	18.0	27.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
CMAS	CURRENT150	False	1	N-acetylneuraminate	0.3617682155315208	7.56736516363075e-05	33.0	12.0				0.0	有乳腺癌遗传干预报告	S019：机制不等于某单一游离代谢物；作者未完全解析转录变化原因 | S020：不能拿体外无依赖判为无功能；游离Neu5Ac不是唾液酸化总量；未宣称已逐图复核	保留候选；患者未显著或缺测不取消功能证据
CMPK1	CURRENT150	False	1	cytidine 5'-monophosphate (5'-CMP)	-0.1057462018908428	0.070716170286273	15.0	30.0				0.0	观察性或非基因特异背景	S021：circ-CMPK1非小细胞肺癌研究不归属BRCA CMPK1编码蛋白功能	保留候选；患者未显著或缺测不取消功能证据
CMPK2	CURRENT150	False	1	cytidine 5'-monophosphate (5'-CMP)	0.2715149602418175	0.0272789807432657	26.0	19.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
CPT1A	CURRENT150	False	1	palmitoylcarnitine	-0.0232401680680624	0.8264124543586681	13.0	32.0				0.0	有乳腺癌遗传干预报告	S022：不同亚型/异构体；广谱FAO药物不能单独证明CPT1A专一作用 | S023：核CPT1A-v2不能直接作为棕榈酰肉碱转运/FAO催化证据 | S024：放射应激/耐药模型，不是所有未治疗BRCA；药物部分不可单独归属	保留候选；患者未显著或缺测不取消功能证据
CPT1B	CURRENT150	False	1	palmitoylcarnitine	0.154362579582981	0.0096794436744715	31.0	14.0				0.0	功能线索待方法/模型核定	S025：当前摘要不能把上游/FAO药物全归属CPT1B基因直接干预	保留候选；患者未显著或缺测不取消功能证据
CPT2	CURRENT150	False	3	stearoylcarnitine;oleoylcarnitine;palmitoylcarnitine	0.1337156225030978	0.0326449161952674	30.0	15.0				0.0	有乳腺癌遗传干预报告	S024：放射应激/耐药模型，不是所有未治疗BRCA；药物部分不可单独归属 | S026：摘要中ubiquitinates and stabilizes措辞与降解叙述需全文核对，不复制为确定分子方向	保留候选；患者未显著或缺测不取消功能证据
CRAT	CURRENT150	False	3	isobutyrylcarnitine;butyrylcarnitine;propionylcarnitine	-0.1526721363945524	0.334173187496742	16.0	29.0				0.0	功能线索待方法/模型核定	S029：AR药物不是CRAT专一功能实验；题录卷期2026/在线2025	保留候选；患者未显著或缺测不取消功能证据
CROT	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	历史保留：不在当前190入口，已有结果不删除
CS	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	有乳腺癌遗传干预报告	S027：救援背景不同于单基因普遍抑癌；不把CS活性观测当CS敲除	历史保留：不在当前190入口，已有结果不删除
CTNS	CURRENT150	False	1	cystine	-0.0084074275093402	0.8985631200263646	20.0	25.0				0.0	功能线索待方法/模型核定	S028：不能把MFSD12干预产生的肿瘤结果全部算CTNS抑制效果	保留候选；患者未显著或缺测不取消功能证据
CYP4F2	CURRENT150	True	5	arachidonate (20:4n6);alpha-tocopherol;gamma-tocopherol;eicosapentaenoate (EPA; 20:5n3);docosahexaenoate (DHA; 22:6n3)	0.0752322910771029	0.1176448449169448	28.0	17.0				3.0	BRCA_GENETIC	ER阳性;MCF7;雌激素背景：CYP4F11并行；不把其结果全归CYP4F2	保留候选；患者未显著或缺测不取消功能证据
DPYD	CURRENT150	False	2	uracil;5,6-dihydrouracil	-0.3273890638679049	0.0011536873543048	13.0	32.0				0.0	功能线索待方法/模型核定	S030：主要干预是53BP1；不能全部归为DPYD特异扰动	保留候选；患者未显著或缺测不取消功能证据
DPYS	CURRENT150	False	1	5,6-dihydrouracil	-0.0512902298912861	0.3811329901011446	18.0	27.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
ENPP2	CURRENT150	True	3	1-stearoyl-GPC (18:0);1-oleoylglycerophosphocholine;1-palmitoyl-GPC (16:0)	-1.5031096726259476	3.127435144730386e-09	5.0	40.0	HMDB:HMDB10384|ENPP2			0.0	BRCA_PHARMACOLOGY_WITH_GENETIC_NULL	E0771;MMTV-PyMT;脂肪细胞特异敲除：细胞来源重要；负结果必须保留；GSE176078是背景不是自身干预	保留患者关联线索；逐关系比较效应、缺失及外部支持
ETNK1	CURRENT150	False	2	ethanolamine;phosphoethanolamine	0.2524707458298525	0.0004892312431675	36.0	9.0	KEGG:C00189|ETNK1			0.0	有干预但情境/方向分歧	S031：需全文图和构建核查，不能给抑制/恢复方向 | S032：治疗条件下支持ETNK1参与；不是ETNK1抑制可普遍抗肿瘤。与2024研究作者单位相近，不计独立患者验证	保留患者关联线索；逐关系比较效应、缺失及外部支持
ETNK2	CURRENT150	False	2	ethanolamine;phosphoethanolamine	0.6069032075144858	0.0022733602394991	32.0	13.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
FDFT1	CURRENT150	False	1	squalene	-0.154500783477878	0.1716688702055446	19.0	26.0				0.0	有干预但情境/方向分歧	S033：类器官不是临床有效性；药物安全不能外推；其他TNBC研究出现相反背景 | S034：与2024敲低诱导凋亡结论存在模型/条件矛盾；不择优忽略 | S035：特定THEM6和卡铂背景；非普遍FDFT1单基因依赖	保留候选；患者未显著或缺测不取消功能证据
FH	CURRENT150	False	1	malate	0.0645381101793973	0.3406196611283613	24.0	21.0		KEGG:C00149|FH		0.0	有干预但情境/方向分歧	S027：救援背景不同于单基因普遍抑癌；不把CS活性观测当CS敲除 | S036：与MAEL研究中恢复FH逆转恶性行为的结果存在情境差异；不能只贴肿瘤抑制或促癌标签	保留患者关联线索；逐关系比较效应、缺失及外部支持
FOLH1	CURRENT150	False	3	glutamate;gamma-glutamylglutamate;N-acetyl-aspartyl-glutamate (NAAG)	-0.0262395548919822	0.8587925325404859	20.0	25.0		KEGG:C12270|FOLH1		0.0	观察性或非基因特异背景	S037：靶向递送抗原不等于代谢酶依赖；本次不计基因干预支持	保留患者关联线索；逐关系比较效应、缺失及外部支持
GAMT	CURRENT150	False	1	creatine	-0.1145303935167266	0.0442911598896864	16.0	29.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
GCLC	CURRENT150	False	2	glutamate;cysteine	-0.1721708309428213	0.1678241766890653	18.0	27.0				0.0	功能线索待方法/模型核定	S038：上游Nrf2/多靶药物，不等于已核实GCLC特异抗癌干预	保留候选；患者未显著或缺测不取消功能证据
GDA	CURRENT150	False	2	guanine;xanthine	0.0092240768580315	0.8313642076393186	22.0	23.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
GDPD5	CURRENT150	False	2	choline;glycerophosphorylcholine (GPC)	-0.6664069819931608	1.670214955716525e-06	11.0	34.0				0.0	有乳腺癌遗传干预报告	S039：无DNA ladder凋亡；GPC增加幅度与表型强度不一致；不能证明GPC介导 | S040：此摘要证明代谢改变，不自动证明肿瘤缩小	保留候选；患者未显著或缺测不取消功能证据
GLS	CURRENT150	False	2	glutamate;glutamine	0.0628567074973772	0.4755677045922161	25.0	20.0		KEGG:C00064|GLS		0.0	有乳腺癌遗传干预报告	S041：亚型和营养背景限定；已有成熟研究，非本项目新机制	保留患者关联线索；逐关系比较效应、缺失及外部支持
GLS2	CURRENT150	False	2	glutamate;glutamine	0.0486802233707668	0.2937049356510928	25.0	20.0				0.0	有乳腺癌遗传干预报告	S042：GLS2可为GLS抑制旁路；不因其他癌种抑癌报道就建议恢复GLS2 | S043：药物双靶点与特定亚型；不能外推全部乳腺癌	保留候选；患者未显著或缺测不取消功能证据
GLUL	CURRENT150	False	2	glutamate;glutamine	0.0436434198780477	0.6318766584256987	22.0	23.0				0.0	有乳腺癌遗传干预报告	S044：细胞系表达不均；不视为全部乳腺癌依赖	保留候选；患者未显著或缺测不取消功能证据
GNPNAT1	CURRENT150	False	1	N-acetylglucosamine 6-phosphate	0.2973929095522681	0.0038720173239463	30.0	15.0				0.0	有乳腺癌遗传干预报告	S045：体外干性终点；生信部分不算独立功能验证	保留候选；患者未显著或缺测不取消功能证据
GOT1	CURRENT150	False	2	glutamate;aspartate	0.2224466461769716	0.0033613967916483	30.0	15.0				0.0	有乳腺癌遗传干预报告	S114：AOA不特异；MDA-MB-231体内单药未显示同等效果，较高剂量有毒性；不把AOA全部结果算给GOT1或GOT2	保留候选；患者未显著或缺测不取消功能证据
GOT2	CURRENT150	False	2	glutamate;aspartate	0.4577422825587414	2.038745705865819e-06	32.0	13.0				0.0	有乳腺癌遗传干预报告	S114：AOA不特异；MDA-MB-231体内单药未显示同等效果，较高剂量有毒性；不把AOA全部结果算给GOT1或GOT2	保留候选；患者未显著或缺测不取消功能证据
GPCPD1	CURRENT150	False	2	choline;glycerophosphorylcholine (GPC)	-0.1529797052659347	0.1288180090221452	18.0	27.0	KEGG:C00670|GPCPD1			0.0	有乳腺癌遗传干预报告	S039：无DNA ladder凋亡；GPC增加幅度与表型强度不一致；不能证明GPC介导 | S047：注射转移省略自发转移早期步骤；没有证明GPC升高介导抑转移；与2023研究相关作者/模型 | S115：特定亚型；药物不具EDI3专一性；与2024研究存在模型/作者关联，不算独立临床复现	保留患者关联线索；逐关系比较效应、缺失及外部支持
GPI	CURRENT150	False	2	glucose 6-phosphate;fructose-6-phosphate	0.0551949935466601	0.7015349836521529	23.0	22.0	KEGG:C00668|GPI;KEGG:C05345|GPI			0.0	有乳腺癌遗传干预报告	S046：HP与GPI实验须分别归属；代谢/非代谢作用不能混写	保留患者关联线索；逐关系比较效应、缺失及外部支持
GSR	CURRENT150	False	1	glutathione, reduced (GSH)	0.4392929394654898	4.145383782140241e-05	37.0	8.0				0.0	仅他癌或不适用乳腺癌	S120：乳腺癌出现在背景/药物介绍不能当乳腺癌GSR遗传证据	保留候选；患者未显著或缺测不取消功能证据
GSS	CURRENT150	False	2	glycine;glutathione, reduced (GSH)	0.2325379119019448	0.0002098932817571	33.0	12.0				0.0	遗传干预仅分子终点	S119：部分原文GSH/GSS术语需核清；这里只记分子互作/挽救，不认定GSS独立生长或转移因果	保留候选；患者未显著或缺测不取消功能证据
HAL	CURRENT150	False	1	histidine	0.0911456204153416	0.2887015908066403	25.0	20.0				0.0	观察性或非基因特异背景	S048：风险关联不能写为HAL敲低抑癌	保留候选；患者未显著或缺测不取消功能证据
HPD	CURRENT150	False	1	4-hydroxyphenylpyruvate	-0.2017271025053407	0.046953759448433	11.0	34.0				0.0	观察性或非基因特异背景	S049：标题potential target不等于功能靶点；当前只计观察性	保留候选；患者未显著或缺测不取消功能证据
HPRT1	CURRENT150	False	2	guanine;hypoxanthine	0.4248762467336591	5.937958462294399e-06	33.0	12.0				0.0	遗传干预仅分子终点	S050：有基因干预不等于已有抗肿瘤表型；MCF10A不是患者正常组织	保留候选；患者未显著或缺测不取消功能证据
IDNK	CURRENT150	False	2	gluconate;6-phosphogluconate	-0.2185931855707212	0.0003711852822579	9.0	36.0				0.0	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	保留候选；患者未显著或缺测不取消功能证据
IMPA1	CURRENT150	False	1	inositol 1-phosphate (I1P)	-0.0053937680654324	0.9466987445255513	23.0	22.0				0.0	有乳腺癌遗传干预报告	S051：肺定植非全部自发转移；2024 IMPA2研究不能因早期文中不可检出而排除	保留候选；患者未显著或缺测不取消功能证据
IMPA2	CURRENT150	False	1	inositol 1-phosphate (I1P)	0.1250935328249695	0.1724759945935412	19.0	26.0				0.0	有乳腺癌遗传干预报告	S052：I1P静态量不等于循环通量；已发表机制不是CAMP新发现	保留候选；患者未显著或缺测不取消功能证据
KHK	CURRENT150	False	1	fructose	0.0446263938480093	0.3970287997188693	24.0	21.0				0.0	有乳腺癌遗传干预报告	S053：严格营养依赖；不可省略葡萄糖条件阴性结果 | S054：异构体和非经典蛋白激酶作用重要；bulk总RNA不能区分	保留候选；患者未显著或缺测不取消功能证据
KMO	CURRENT150	False	1	kynurenine	0.9080987413149172	2.4896095957518756e-05	36.0	9.0				0.0	有乳腺癌遗传干预报告	S055：基因缺失不能等同催化抑制；非催化机制为关键反证	保留候选；患者未显著或缺测不取消功能证据
KYNU	CURRENT150	False	1	kynurenine	0.6422700618256811	0.0043956732656674	32.0	13.0	KEGG:C00328|KYNU			0.0	有乳腺癌遗传干预报告	S056：恢复型抑癌方向；不能因患者正相关就建议抑制KYNU	保留患者关联线索；逐关系比较效应、缺失及外部支持
LDHA	CURRENT150	False	1	lactate	-0.0202724359356821	0.8574992423853399	21.0	24.0				0.0	有干预但情境/方向分歧	S057：与2017稳定敲低无效研究形成条件/克隆/同工酶反证；不删除反向证据 | S058：高LDHB背景；稳定克隆适应不同于急性敲低，不称所有研究错误	保留候选；患者未显著或缺测不取消功能证据
LDHB	CURRENT150	False	1	lactate	-0.3977786381843637	0.0096794436744715	15.0	30.0				0.0	有干预但情境/方向分歧	S059：不能外推CAF/免疫环境；2026 CAF研究提示相反干预风险 | S060：与癌细胞LDHB依赖不同；全组织RNA无法定位，不能简单全身抑制LDHB | S061：标题与摘要表述不一致；保留为需复核证据，不用标题推定方向	保留候选；患者未显著或缺测不取消功能证据
LPCAT1	CURRENT150	True	3	1-stearoyl-GPC (18:0);1-oleoylglycerophosphocholine;1-palmitoyl-GPC (16:0)	0.4649840631987582	9.793615147173764e-09	39.0	6.0				0.0	BRCA_GENETIC	MDA-MB-231;紫杉醇耐药株：FOXA1救援不等于证明CAMP特定LPC介导	保留候选；患者未显著或缺测不取消功能证据
LPCAT2	CURRENT150	True	2	1-stearoyl-GPC (18:0);1-palmitoyl-GPC (16:0)	-0.3722943593374995	0.0045534211950985	14.0	31.0				0.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
LPCAT3	CURRENT150	True	3	1-stearoyl-GPC (18:0);1-oleoylglycerophosphocholine;1-palmitoyl-GPC (16:0)	0.0975639187731914	0.3256830855793898	25.0	20.0				0.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	保留候选；患者未显著或缺测不取消功能证据
LPCAT4	CURRENT150	True	4	2-palmitoyl-GPC (16:0);1-oleoylglycerophosphocholine;1-palmitoyl-GPC (16:0);2-oleoylglycerophosphoethanolamine	NA	NA	NA	NA				0.0	NO_CURATED_BREAST_SELF_PERTURBATION_THIS_PASS	NA	身份暂挂：稳定ID核实前不解释RNA或文献
LYPLA1	CURRENT150	True	3	glycerophosphorylcholine (GPC);oleate (18:1n9);1-palmitoyl-GPC (16:0)	0.4816929530817019	5.523068137611295e-05	34.0	11.0	KEGG:C00712|LYPLA1;KEGG:C04102|LYPLA1			2.0	BRCA_PHARMACOLOGY	MDA-MB-468 TNBC：不是本项目新DepMap分析；主要药理证据，未证明当前LPC关联介导	保留患者关联线索；逐关系比较效应、缺失及外部支持
LYPLA2	CURRENT150	True	4	1-stearoyl-GPC (18:0);glycerophosphorylcholine (GPC);stearate (18:0);1-palmitoyl-GPC (16:0)	0.2863609930087285	5.3948770372800775e-08	38.0	7.0				2.0	EPITHELIAL_MODEL_PENDING	Snail转化的上皮细胞;具体来源待核对：不能仅凭摘要称为已验证乳腺癌模型；全文取得失败	保留候选；患者未显著或缺测不取消功能证据
MAT1A	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	本轮未取得适用干预报告	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	历史保留：不在当前190入口，已有结果不删除
MAT2A	HISTORICAL6_ONLY	False	0		NA	NA	NA	NA	HISTORICAL_ONLY	HISTORICAL_ONLY	HISTORICAL_ONLY	NA	功能线索待方法/模型核定	S064：不是MAT2B研究；需全文确认干预与终点	历史保留：不在当前190入口，已有结果不删除
MDH1	CURRENT150	False	1	malate	-0.3775350218497361	0.0071603001114656	19.0	26.0			KEGG:C00149|MDH1	0.0	功能线索待方法/模型核定	S063：摘要不足以确认MDH1特异遗传干预或药物靶点专属性	保留患者关联线索；逐关系比较效应、缺失及外部支持
MDH2	CURRENT150	False	1	malate	0.1000247404357883	0.1156541004824702	24.0	21.0				0.0	有乳腺癌遗传干预报告	S062：包含多组学和对接；对接不作为功能证据；模型细节未逐一核定	保留候选；患者未显著或缺测不取消功能证据
MGAM	CURRENT150	False	2	maltose;maltotriose	-0.0980635619515537	0.3970287997188693	16.0	29.0				0.0	观察性或非基因特异背景	S065：MGAM2结果不能移给MGAM	保留候选；患者未显著或缺测不取消功能证据
