gene	relation_count	metabolites	search_status	search_hit_count	abstracts_manually_reviewed	functional_status	exact_metabolite_mechanism	cell_source_status	cptac_status	work_group	next_evidence
AKR1A1	1	glycerol	DONE	2	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AKR1B1	1	glycerol	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AKR1C1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AKR1C2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AKR1C3	1	nicotinamide adenine dinucleotide (NAD+)	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AKR1C4	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH1A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	39	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH1A2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH1A3	1	nicotinamide adenine dinucleotide (NAD+)	DONE	50	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH1B1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	10	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	29	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH3A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	14	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH3A2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH3B1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	7	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH4A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH5A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	3	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH6A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH7A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH8A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ALDH9A1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AQP10	1	glycerol	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AQP11	1	glycerol	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AQP3	1	glycerol	DONE	24	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AQP7	1	glycerol	DONE	18	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AQP9	1	glycerol	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ARG1	1	ornithine	DONE	64	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ARG2	1	ornithine	DONE	12	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
ASNS	1	glutamine	DONE	15	2	REVIEW_PARTIAL	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
AWAT2	1	2-oleoylglycerol (2-monoolein)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BAAT	1	taurine	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BCAT2	1	leucine	DONE	16	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BDH2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BEST2	1	glutamine	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BLVRA	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BLVRB	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
BST1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CAD	1	glutamine	DONE	142	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CD38	1	nicotinamide adenine dinucleotide (NAD+)	DONE	78	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CES1	1	glycerol	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CES2	1	glycerol	DONE	12	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CMPK2	1	2'-deoxycytidine 5'-monophosphate	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
COQ7	1	nicotinamide adenine dinucleotide (NAD+)	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CRAT	1	acetylcarnitine	DONE	3	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CRYL1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CRYM	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CS	1	citrate	DONE	450	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CTPS1	1	glutamine	DONE	3	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CTPS2	1	glutamine	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
CYB5R3	1	nicotinamide adenine dinucleotide (NAD+)	DONE	3	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DAGLA	3	2-linoleoylglycerol (2-monolinolein);2-oleoylglycerol (2-monoolein);2-stearoylglycerol (2-monostearin)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DAGLB	3	2-linoleoylglycerol (2-monolinolein);2-oleoylglycerol (2-monoolein);2-stearoylglycerol (2-monostearin)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DCK	2	2'-deoxycytidine 5'-monophosphate;2'-deoxyguanosine	DONE	77	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	HISTORICAL_SUMMARY_NEEDS_REVIEW	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DCTD	1	2'-deoxycytidine 5'-monophosphate	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	HISTORICAL_SUMMARY_NEEDS_REVIEW	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DCTPP1	1	2'-deoxycytidine 5'-monophosphate	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DGAT1	1	2-oleoylglycerol (2-monoolein)	DONE	19	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DGAT2	1	2-oleoylglycerol (2-monoolein)	DONE	9	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DGKA	1	2-oleoylglycerol (2-monoolein)	DONE	4	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DGUOK	1	2'-deoxyguanosine	DONE	1	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	HISTORICAL_SUMMARY_NEEDS_REVIEW	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DHRS9	1	nicotinamide adenine dinucleotide (NAD+)	DONE	6	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DHRSX	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DLD	1	nicotinamide adenine dinucleotide (NAD+)	DONE	37	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DPYD	1	thymine	DONE	23	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	HISTORICAL_SUMMARY_NEEDS_REVIEW	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DUOX1	1	nicotinamide adenine dinucleotide (NAD+)	DONE	8	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DUOX2	1	nicotinamide adenine dinucleotide (NAD+)	DONE	17	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
DUS1L	1	nicotinamide adenine dinucleotide (NAD+)	DONE	0	0	LOCATED_NOT_ADJUDICATED	NOT_ESTABLISHED	NOT_RUN_FULL_G_EXPANSION	NOT_RUN_FULL_G_EXPANSION	DESIGN_AND_EVIDENCE_REVIEW_PENDING	Adjudicate located literature;complete tumor associations
