cancer	cohort	relation_id	metabolite_key	stable_gene_id	gene	mapping_version	metabolite_effect	metabolite_p	metabolite_q	metabolite_n	metabolite_source_run	association_rho	association_p	association_q	association_n	association_source_run	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_source_run	sc_source_run	metabolite_evidence	patient_association_evidence	RNA_background	cell_background	data_limitations	next_action	status	reason	metabolite_name	mapping_status	association_available_rho	association_available_p	association_available_q	association_available_n	historical_RNA_Wilcoxon_p	historical_RNA_Wilcoxon_q	historical_RNA_source_run
PDAC	CAMP_PDAC_GSE62452	73c4128787c5a2f3	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q6E213	AWAT2	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.3054388968433454	0.1782	0.5167258064516129	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.0928571428571428	0.7482	0.9170485714285714	15	0.0830078125	0.1860758463541666	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	1130a169b391ac63	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:O75907	DGAT1	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.0571466323126259	0.8094	0.8843444444444445	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.2642857142857143	0.3404	0.8028744827586206	15	0.5771484375	0.6839336109581498	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	f566ce42ca76125d	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q96PD7	DGAT2	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.4703102153544847	0.0348	0.2203344827586207	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.1642857142857142	0.5597	0.866498275862069	15	0.0419921875	0.1255099826388888	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	7e19ac8b667d54c4	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q6ZPD8	DGAT2L6	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.0696269313234293	0.7635	0.8647873817034701	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.1821428571428571	0.5216	0.8587103773584907	15	0.7646484375	0.8499604532541323	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	3145f9f521238ebf	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P38571	LIPA	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.2450079753173502	0.2828	0.5805202247191011	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.2035714285714285	0.4745	0.8587103773584907	15	0.123046875	0.239852241847826	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	cd1df0f8564eb6dc	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q99685	MGLL	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.591828916249149	0.0053	0.1172625	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.4428571428571427	0.1015	0.5259545454545455	15	0.0048828125	0.047762784090909	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	b7a4359c12bf4aaa	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q3SYC2	MOGAT2	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.2115082253409833	0.359	0.6209678048780487	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.1428571428571428	0.6165	0.8858949579831934	15	0.009765625	0.0577352335164835	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	badc9656f792e221	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P54317	PNLIPRP2	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.6082503623159956	0.0048	0.1172625	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOMINAL_EXPLORATORY	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	0.0321428571428571	0.9093	0.9803650306748466	15	0.001953125	0.0437825520833333	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	4778c1ad986b531b	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q96AD5	PNPLA2	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.0702837891661031	0.7634	0.8647873817034701	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.1928571428571428	0.4922	0.8587103773584907	15	0.0419921875	0.1255099826388888	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	b32d1c1acc2b8217	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q9NST1	PNPLA3	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.2975566027312591	0.1853	0.5206047619047619	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.0571428571428571	0.8423	0.9538629139072847	15	0.8984375	0.944061279296875	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	f21f191179b76a03	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:P41247	PNPLA4	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	0.2390962547332855	0.2912	0.5805202247191011	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.3678571428571427	0.1781	0.6728478260869565	15	0.0419921875	0.1255099826388888	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	0dccba60c44872dc	NAME:1-oleoylglycerol (1-monoolein)	UniProtKB:Q8IY17	PNPLA6	PDAC_paired51_mapping_v2	-3.077376633522801	0.005859375	0.17488606770833334	11	20260922T112500Z_sop_v3_discovery	-0.3277720634942567	0.1538	0.48821217391304345	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	1-oleoylglycerol (1-monoolein)	DIRECT	-0.2535714285714285	0.3558	0.816668456375839	15	0.240234375	0.3620338760504201	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	06aa70a038d72feb	KEGG:C00239	UniProtKB:P27144	AK4	PDAC_paired51_mapping_v2	-0.9746395451558908	0.013671875	0.22090871710526316	11	20260922T112500Z_sop_v3_discovery	-0.2738596397430776	0.2277	0.5520945205479452	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	2'-deoxycytidine 5'-monophosphate	DIRECT	NA	NA	NA	7	0.0322265625	0.1111403245192307	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	827fb326cb828c22	KEGG:C00239	UniProtKB:Q5TCS8	AK9	PDAC_paired51_mapping_v2	-0.9746395451558908	0.013671875	0.22090871710526316	11	20260922T112500Z_sop_v3_discovery	0.0379071252751717	0.8716	0.9182928571428571	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	2'-deoxycytidine 5'-monophosphate	DIRECT	NA	NA	NA	7	0.5771484375	0.6839336109581498	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	4e8bba84f6d0b093	KEGG:C00239	UniProtKB:Q5EBM0	CMPK2	PDAC_paired51_mapping_v2	-0.9746395451558908	0.013671875	0.22090871710526316	11	20260922T112500Z_sop_v3_discovery	0.2777277137507482	0.2213	0.5515075862068965	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	2'-deoxycytidine 5'-monophosphate	DIRECT	NA	NA	NA	7	0.46484375	0.5815952034883721	20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	50ce4159f30bf050	KEGG:C00239	UniProtKB:P27707	DCK	PDAC_paired51_mapping_v2	-0.9746395451558908	0.013671875	0.22090871710526316	11	20260922T112500Z_sop_v3_discovery	-0.21042322601728	0.3596	0.6209678048780487	21	20260922T112700Z_sop_v3_patient	NA	NA	NA	NA	20260922T112700Z_sop_v3_patient	20260922T112800Z_sop_v3_source	NOMINAL_EXPLORATORY	NOT_SUPPORTED_THIS_TEST	ACCESS_BLOCKED_PAIRED_T_PENDING	ACCESS_BLOCKED_CELLWISE_SOURCE_PENDING	same_cohort_postselection;aliquot_level_unverified;conditional_relations_separate;new_RNA_and_SC_pending	Complete SOP paired RNA and cell-source background;no significance gate	PARTIAL	Reused patient association;new q;RNA/sc not filled from incompatible historical methods	2'-deoxycytidine 5'-monophosphate	DIRECT	NA	NA	NA	7	0.0048828125	0.047762784090909	20260922T053500Z_internal_paired51_v2
