feature_name	paired_p	paired_q	direct_gene_n	conditional_gene_n	genes	mapping_status	mapping_limit
glycerol	0.0419921875	0.25783203125	31	11	ABHD12;ABHD16A;ABHD16B;ABHD2;ABHD6;AKR1A1;AKR1B1;AQP1;AQP10;AQP11;AQP2;AQP3;AQP7;AQP7B;AQP9;CES1;CES2;DDHD2;ENPP6;EPHX1;FAAH;GDPD2;GK;GK2;GK3;GK5;IMPA1;IMPA2;LIPE;LYPLA2;MGLL;PGP;PLA2G4A;PLB1;PLD3;PLD4;PNLIPRP2;PNPLA2;PNPLA3;PNPLA4;PNPLA6	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
glycerophosphorylcholine (GPC)	0.0322265625	0.25783203125	13	10	ASPG;CEL;ENPP6;GDPD3;GDPD5;GPCPD1;LIPC;LYPLA1;LYPLA2;PLA2G15;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4E;PLA2G4F;PLA2G6;PLB1;PNPLA6;PNPLA7;PNPLA8;TMEM86A;TMEM86B	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
glycylisoleucine	0.048828125	0.2939261642156863	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
glycylleucine	0.0322265625	0.25783203125	0	4	CNDP2;DPEP1;SLC15A1;SLC15A2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
glycylproline	0.001953125	0.17488606770833334	2	2	PEPD;SLC15A1;SLC15A2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
glycylvaline	0.0185546875	0.24766474184782608	0	4	CNDP2;DPEP1;SLC15A1;SLC15A2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
inosine	0.0068359375	0.17488606770833334	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
isovalerylcarnitine	0.037109375	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
laurate (12:0)	0.0419921875	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
leucine	0.0419921875	0.25783203125	17	9	AADAT;ACE2;BCAT1;BCAT2;LARS1;LARS2;PLBD1;PM20D1;PTER;SLC25A44;SLC38A10;SLC38A2;SLC38A8;SLC38A9;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A17;SLC6A19;SLC7A13;SLC7A5;SLC7A6;SLC7A7;SLC7A8;SLC7A9	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
myristoleate (14:1n5)	0.0048828125	0.17488606770833334	0	1	ACOT8	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
ornithine	0.0419921875	0.25783203125	13	5	AGMAT;AGXT2;ARG1;ARG2;GATM;LACC1;OAT;ODC1;OTC;PM20D2;SLC25A15;SLC25A2;SLC25A29;SLC7A1;SLC7A2;SLC7A3;SLC7A7	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
pentadecanoate (15:0)	0.0419921875	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
pipecolate	0.015625	0.22842261904761904	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
pro-hydroxy-pro	0.009765625	0.1873779296875	0	3	CNDP2;DPEP1;PEPD	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
propionylcarnitine	0.0244140625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
putrescine	0.0244140625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
pyruvate	0.037109375	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
stearidonate (18:4n3)	0.0322265625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
succinylcarnitine	0.0419921875	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
taurine	0.001953125	0.17488606770833334	9	11	AGMAT;BAAT;CSAD;FAAH;FMO1;FMO3;GADL1;GATM;LRRC8A;LRRC8B;LRRC8C;LRRC8D;LRRC8E;MTO1;PTER;SLC16A6;SLC6A11;SLC6A13;SLC6A6	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
thymidine	0.00390625	0.17488606770833334	11	1	NT5C;NT5E;NT5M;SAMHD1;SLC28A1;SLC28A3;SLC29A1;SLC29A2;SLC29A3;TK1;TK2;TYMP	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
thymidine 3'-monophosphate	0.0048828125	0.17488606770833334	1	1	NT5C;NT5M	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
tryptophan	0.0068359375	0.17488606770833334	15	4	AADAT;ACY3;IDO1;IDO2;IL4I1;PM20D1;SLC16A10;SLC36A4;SLC6A14;SLC6A19;SLC7A13;SLC7A5;SLC7A8;SLCO3A1;TDO2;TPH1;TPH2;WARS1;WARS2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
tryptophan betaine 	0.037109375	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
uridine	0.0244140625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
