cohort	state	chr	n_units	mean_residual
GSE263733	REFERENCE_LIKE	chr15	11	0.004500156078850948
GSE263733	REFERENCE_LIKE	chr16	11	-0.008754904464903181
GSE263733	REFERENCE_LIKE	chr17	11	0.0037722963178525195
GSE263733	REFERENCE_LIKE	chr18	11	-0.009220219542145983
GSE263733	REFERENCE_LIKE	chr19	11	0.00854866182017684
GSE263733	REFERENCE_LIKE	chr2	11	-0.004498612709275909
GSE263733	REFERENCE_LIKE	chr20	11	0.006165810587613288
GSE263733	REFERENCE_LIKE	chr21	11	0.01676218153997604
GSE263733	REFERENCE_LIKE	chr22	11	0.005145682470212385
GSE263733	REFERENCE_LIKE	chr4	11	0.0034385702054206078
GSE263733	REFERENCE_LIKE	chr5	11	-0.001843456846252169
GSE263733	REFERENCE_LIKE	chr6	11	0.011160192261537602
GSE263733	REFERENCE_LIKE	chr7	11	0.0040468266343287145
GSE263733	REFERENCE_LIKE	chr8	11	0.0008696895827565872
GSE263733	REFERENCE_LIKE	chr9	11	0.003593641694383001
GSE263733	UNCERTAIN	chr1	10	0.018642933261076685
GSE263733	UNCERTAIN	chr10	10	0.01719715637760185
GSE263733	UNCERTAIN	chr11	10	0.008348269073079643
GSE263733	UNCERTAIN	chr12	10	0.006765684137676581
GSE263733	UNCERTAIN	chr13	10	-0.0061747396011806194
GSE263733	UNCERTAIN	chr14	10	-0.00019206741002642498
GSE263733	UNCERTAIN	chr15	10	0.007445695686422305
GSE263733	UNCERTAIN	chr16	10	-0.011982120388991619
GSE263733	UNCERTAIN	chr17	10	0.00460552887645641
GSE263733	UNCERTAIN	chr18	10	-0.012240435392341285
GSE263733	UNCERTAIN	chr19	10	0.005289372198338996
GSE263733	UNCERTAIN	chr2	10	-0.005128168985444983
GSE263733	UNCERTAIN	chr20	10	0.008016533664848443
GSE263733	UNCERTAIN	chr21	10	0.03222935260643993
GSE263733	UNCERTAIN	chr22	10	0.001385128628744727
GSE263733	UNCERTAIN	chr4	10	0.005578971352751308
GSE263733	UNCERTAIN	chr5	10	-0.000901405361093507
GSE263733	UNCERTAIN	chr6	10	0.014714622524829
GSE263733	UNCERTAIN	chr7	10	0.0063897906525034395
GSE263733	UNCERTAIN	chr8	10	0.0013805861693150586
GSE263733	UNCERTAIN	chr9	10	0.003923837877825978
GSE278688	CNV_ABNORMAL_CANDIDATE	chr1	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr10	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr11	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr12	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr13	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr14	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr15	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr16	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr17	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr18	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr19	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr2	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr20	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr21	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr22	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr4	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr5	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr6	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr7	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr8	1	NA
GSE278688	CNV_ABNORMAL_CANDIDATE	chr9	1	NA
GSE278688	REFERENCE_LIKE	chr1	11	0.008136305840440984
GSE278688	REFERENCE_LIKE	chr10	11	0.005298735042452262
GSE278688	REFERENCE_LIKE	chr11	11	0.007040020469025718
GSE278688	REFERENCE_LIKE	chr12	11	0.00018086168472254387
GSE278688	REFERENCE_LIKE	chr13	11	-0.0025330766747456075
GSE278688	REFERENCE_LIKE	chr14	11	-0.0004139256272035314
GSE278688	REFERENCE_LIKE	chr15	11	0.004168734659246448
GSE278688	REFERENCE_LIKE	chr16	11	0.004903200606842337
GSE278688	REFERENCE_LIKE	chr17	11	0.007720171793861947
GSE278688	REFERENCE_LIKE	chr18	11	-0.00370140226480819
GSE278688	REFERENCE_LIKE	chr19	11	0.012026302657650256
GSE278688	REFERENCE_LIKE	chr2	11	-0.007210924581602029
GSE278688	REFERENCE_LIKE	chr20	11	0.008663696458700073
GSE278688	REFERENCE_LIKE	chr21	11	0.012705059650316293
GSE278688	REFERENCE_LIKE	chr22	11	0.006559206409530915
GSE278688	REFERENCE_LIKE	chr4	11	0.0037747387373621584
GSE278688	REFERENCE_LIKE	chr5	11	0.0011626285978434596
GSE278688	REFERENCE_LIKE	chr6	11	0.0026154548854502788
GSE278688	REFERENCE_LIKE	chr7	11	0.0022841191988134404
GSE278688	REFERENCE_LIKE	chr8	11	0.003458596185560208
GSE278688	REFERENCE_LIKE	chr9	11	0.006822569738094541
GSE278688	UNCERTAIN	chr1	11	0.011209776439607202
GSE278688	UNCERTAIN	chr10	11	0.009353382512809821
GSE278688	UNCERTAIN	chr11	11	0.008020294068138305
GSE278688	UNCERTAIN	chr12	11	-0.002284024698628952
GSE278688	UNCERTAIN	chr13	11	-0.0055615666490711905
GSE278688	UNCERTAIN	chr14	11	-0.0012619766067529462
GSE278688	UNCERTAIN	chr15	11	0.008839321133196479
GSE278688	UNCERTAIN	chr16	11	0.00866855363029327
GSE278688	UNCERTAIN	chr17	11	0.012385236887376638
GSE278688	UNCERTAIN	chr18	11	-0.003980791739793209
GSE278688	UNCERTAIN	chr19	11	0.009082627592291071
GSE278688	UNCERTAIN	chr2	11	-0.011964920448033283
GSE278688	UNCERTAIN	chr20	11	0.017405041662240908
GSE278688	UNCERTAIN	chr21	11	0.02588397817889471
GSE278688	UNCERTAIN	chr22	11	0.010634902259515555
GSE278688	UNCERTAIN	chr4	11	0.007889260468195693
GSE278688	UNCERTAIN	chr5	11	-0.0010402210081849816
GSE278688	UNCERTAIN	chr6	11	-0.0039303203040738244
GSE278688	UNCERTAIN	chr7	11	0.0050357828010880205
GSE278688	UNCERTAIN	chr8	11	0.005985004188063348
GSE278688	UNCERTAIN	chr9	11	0.009931074097272332
