feature_name	metabolite_key	source_annotation_matches	source_kegg	source_hmdb	frozen_kegg	frozen_hmdb	exact_source_ids_equal_frozen	prior_identity_status	current_decision	reason
5-methylthioadenosine (MTA)	KEGG:C00170	1	C00170	HMDB01173	C00170	HMDB01173	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
6-phosphogluconate	KEGG:C00345	1	C00345	HMDB01316	C00345	HMDB01316	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
Acetohydroxamate	KEGG:C06808	1	C06808	HMDB14691	C06808	HMDB14691	True	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
Disulfiram	KEGG:C01692	1	C01692	HMDB14960	C01692	HMDB14960	True	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
Mucate	KEGG:C01807	1	C01807	NA	C01807	NA	True	HOLD_ORIGINAL_ENTRY_NOT_RETURNED	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
N-Acetylglucosamine 1-phosphate	KEGG:C04501	1	C04501	NA	C04501	NA	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
N-acetylaspartate (NAA)	KEGG:C01042	1	C01042	HMDB00812	C01042	HMDB00812	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
N-acetylglucosamine 6-phosphate	KEGG:C00357	1	C00357	HMDB02817	C00357	HMDB02817	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
N-acetylmethionine	KEGG:C02712	1	C02712	HMDB11745	C02712	HMDB11745	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
N-acetylneuraminate	KEGG:C00270	1	C00270	HMDB00230	C00270	HMDB00230	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
Phthalate	KEGG:C01606	1	C01606	NA	C01606	NA	True	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
S-adenosylmethionine (SAM)	KEGG:C00019	1	C00019	HMDB01185	C00019	HMDB01185	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
UDP-N-acetylglucosamine	KEGG:C00043	1	C00043	HMDB00290	C00043	HMDB00290	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
UDP-glucuronate	KEGG:C00167	1	C00167	HMDB00935	C00167	HMDB00935	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
acetylcholine	KEGG:C01996	1	C01996	HMDB00895	C01996	HMDB00895	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
adenine	KEGG:C00147	1	C00147	HMDB00034	C00147	HMDB00034	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
adenosine	KEGG:C00212	1	C00212	HMDB00050	C00212	HMDB00050	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
adenylosuccinate	KEGG:C03794	1	C03794	HMDB00536	C03794	HMDB00536	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
allantoin	KEGG:C02350	1	C02350	HMDB00462	C02350	HMDB00462	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
asparagine	KEGG:C00152	1	C00152	HMDB00168	C00152	HMDB00168	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
azelate (nonanedioate)	KEGG:C08261	1	C08261	HMDB00784	C08261	HMDB00784	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
beta-alanine	KEGG:C00099	1	C00099	HMDB00056	C00099	HMDB00056	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
carnosine	KEGG:C00386	1	C00386	HMDB00033	C00386	HMDB00033	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
cis-aconitate	KEGG:C00417	1	C00417	HMDB00072	C00417	HMDB00072	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
citrate	KEGG:C00158	1	C00158	HMDB00094	C00158	HMDB00094	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
creatine	KEGG:C00300	1	C00300	HMDB00064	C00300	HMDB00064	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
creatinine	KEGG:C00791	1	C00791	HMDB00562	C00791	HMDB00562	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
cysteine-glutathione disulfide	KEGG:R00900	1	R00900	HMDB00656	R00900	HMDB00656	True	HOLD_REACTION_ID_IN_COMPOUND_FIELD	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
cytidine	KEGG:C00475	1	C00475	HMDB00089	C00475	HMDB00089	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
cytidine 5'-diphosphocholine	KEGG:C00307	1	C00307	HMDB01413	C00307	HMDB01413	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
dihydroxyacetone phosphate (DHAP)	KEGG:C00111	1	C00111	HMDB01473	C00111	HMDB01473	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glucose	KEGG:C00031	1	C00031	HMDB00122	C00031	HMDB00122	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glutamate	KEGG:C00025	1	C00025	HMDB03339	C00025	HMDB03339	True	HOLD_ID_CONFLICT	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glutamine	KEGG:C00064	1	C00064	HMDB00641	C00064	HMDB00641	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glutathione, reduced (GSH)	KEGG:C00051	1	C00051	HMDB00125	C00051	HMDB00125	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glycerophosphorylcholine (GPC)	KEGG:C00670	1	C00670	HMDB00086	C00670	HMDB00086	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
glycylglycine	KEGG:C02037	1	C02037	HMDB11733	C02037	HMDB11733	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
guanidinoacetate	KEGG:C00581	1	C00581	HMDB00128	C00581	HMDB00128	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
guanine	KEGG:C00242	1	C00242	HMDB00132	C00242	HMDB00132	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
guanosine	KEGG:C00387	1	C00387	HMDB00133	C00387	HMDB00133	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
histamine	KEGG:C00388	1	C00388	HMDB00870	C00388	HMDB00870	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
hypotaurine	KEGG:C00519	1	C00519	HMDB00965	C00519	HMDB00965	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
hypoxanthine	KEGG:C00262	1	C00262	HMDB00157	C00262	HMDB00157	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
inosine	KEGG:C00294	1	C00294	HMDB00195	C00294	HMDB00195	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
inosine 5'-monophosphate (IMP)	KEGG:C00130	1	C00130	HMDB00175	C00130	HMDB00175	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
isocitrate	KEGG:C00311	1	C00311	HMDB00193	C00311	HMDB00193	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
isoleucine	KEGG:C00407	1	C00407	HMDB00172	C00407	HMDB00172	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
kynurenine	KEGG:C00328	1	C00328	HMDB00684	C00328	HMDB00684	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
leucine	KEGG:C00123	1	C00123	HMDB00687	C00123	HMDB00687	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
ophthalmate	HMDB:HMDB05765	1	NA	HMDB05765	NA	HMDB05765	True	PROVISIONAL_NEW_KEGG_ID	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
phosphoenolpyruvate (PEP)	KEGG:C00074	1	C00074	HMDB00263	C00074	HMDB00263	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
proline	KEGG:C00148	1	C00148	HMDB00162	C00148	HMDB00162	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
ribulose/xylulose 5-phosphate	KEGG:C00199	1	C00199	NA	C00199	NA	True	HOLD_COMBINED_FEATURE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
serotonin (5HT)	KEGG:C00780	1	C00780	HMDB00259	C00780	HMDB00259	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
spermidine	KEGG:C00315	1	C00315	HMDB01257	C00315	HMDB01257	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
taurine	KEGG:C00245	1	C00245	HMDB00251	C00245	HMDB00251	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
triethanolamine	KEGG:C06771	1	C06771	NA	C06771	NA	True	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
tyrosine	KEGG:C00082	1	C00082	HMDB00158	C00082	HMDB00158	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
uracil	KEGG:C00106	1	C00106	HMDB00300	C00106	HMDB00300	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
urate	KEGG:C00366	1	C00366	HMDB00289	C00366	HMDB00289	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
urea	KEGG:C00086	1	C00086	HMDB00294	C00086	HMDB00294	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
uridine	KEGG:C00299	1	C00299	HMDB00296	C00299	HMDB00296	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
uridine 5'-diphosphate (UDP)	KEGG:C00015	1	C00015	HMDB00295	C00015	HMDB00295	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
