relation_id	metabolite	gene	discussion_depth	observed	inference	counterevidence_or_gap	cannot_infer	minimal_question	source
cd1df0f8564eb6dc	1-oleoylglycerol (1-monoolein)	MGLL	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.591828916249149;P=0.0053;q=0.1172625;RNA P=0.0040136862138126;q=0.0381300190312199	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
b7a4359c12bf4aaa	1-oleoylglycerol (1-monoolein)	MOGAT2	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.2115082253409833;P=0.359;q=0.6209678048780487;RNA P=0.040138615681644;q=0.1221125620901547	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
badc9656f792e221	1-oleoylglycerol (1-monoolein)	PNLIPRP2	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.6082503623159956;P=0.0048;q=0.1172625;RNA P=0.0092956003847363;q=0.055514623559611	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
4778c1ad986b531b	1-oleoylglycerol (1-monoolein)	PNPLA2	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.0702837891661031;P=0.7634;q=0.8647873817034701;RNA P=0.037400138181473;q=0.1181680362899251	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
b32d1c1acc2b8217	1-oleoylglycerol (1-monoolein)	PNPLA3	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.2975566027312591;P=0.1853;q=0.5206047619047619;RNA P=0.595056110667362;q=0.6711363439946959	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
f21f191179b76a03	1-oleoylglycerol (1-monoolein)	PNPLA4	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=0.2390962547332855;P=0.2912;q=0.5805202247191011;RNA P=0.0450716592086352;q=0.1279620669486541	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;ASSOCIATION_DIRECTION_CHANGED_IN_AVAILABLE_SUBSET;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
0dccba60c44872dc	1-oleoylglycerol (1-monoolein)	PNPLA6	GENERAL_RETENTION_NOTE	metabolite P=0.005859375;q=0.1748860677083333;association rho=-0.3277720634942567;P=0.1538;q=0.4882121739130434;RNA P=0.3292577789776778;q=0.4272562669282072	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
06aa70a038d72feb	2'-deoxycytidine 5'-monophosphate	AK4	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.2738596397430776;P=0.2277;q=0.5520945205479452;RNA P=0.0140951021455245;q=0.0644720412952697	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
827fb326cb828c22	2'-deoxycytidine 5'-monophosphate	AK9	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=0.0379071252751717;P=0.8716;q=0.9182928571428572;RNA P=0.5722827054526547;q=0.6544158715129894	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
4e8bba84f6d0b093	2'-deoxycytidine 5'-monophosphate	CMPK2	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=0.2777277137507482;P=0.2213;q=0.5515075862068965;RNA P=0.5913310874425858;q=0.669994397239994	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
50ce4159f30bf050	2'-deoxycytidine 5'-monophosphate	DCK	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.21042322601728;P=0.3596;q=0.6209678048780487;RNA P=0.0031292412516368;q=0.0360085897666478	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
ae3f341b021c2678	2'-deoxycytidine 5'-monophosphate	DCTD	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.6877435585638305;P=0.0009;q=0.059;RNA P=0.21264132781666;q=0.3202585851872867	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
ec71abfba826ef4c	2'-deoxycytidine 5'-monophosphate	DCTPP1	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=0.2011398483988705;P=0.3749;q=0.6289791469194312;RNA P=0.3131901840317281;q=0.4181512186801991	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
76875f763e53e3b6	2'-deoxycytidine 5'-monophosphate	NT5C1A	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=0.7279715282436047;P=0.0003;q=0.0530999999999999;RNA P=0.0006087657508723;q=0.0318967003557723	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
8c9e2edd87171a90	2'-deoxycytidine 5'-monophosphate	NT5E	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.085871242970287;P=0.7122;q=0.8563711409395973;RNA P=0.0014205008255607;q=0.0318967003557723	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
f4be218bc6fabb2a	2'-deoxycytidine 5'-monophosphate	SLC25A36	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.1075324574132423;P=0.6438;q=0.8198028776978418;RNA P=0.6638838476931762;q=0.725572169823958	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
c16d1133f4d6f20b	2'-deoxycytidine 5'-monophosphate	TK2	GENERAL_RETENTION_NOTE	metabolite P=0.013671875;q=0.2209087171052631;association rho=-0.6606670405101365;P=0.0016;q=0.0629333333333333;RNA P=0.1462149942640238;q=0.2460259655651286	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;PAIRED_AVAILABLE_N_LT8_OR_NOT_EVALUABLE;AVAILABLE_ASSOCIATION_NOT_EVALUABLE;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
833b33ed2ad7d6fd	2'-deoxyguanosine	DCK	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=-0.1485349899488798;P=0.5218;q=0.7388688000000001;RNA P=0.0031292412516368;q=0.0360085897666478	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
4c5e0f590692ce39	2'-deoxyguanosine	DGUOK	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=-0.5153121800419471;P=0.015;q=0.1572176470588235;RNA P=0.0337729860494676;q=0.1097622046607699	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
44fb6ac1510097fd	2'-deoxyguanosine	NT5C2	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=-0.362216905313935;P=0.1057;q=0.3938715789473684;RNA P=0.0153314448510663;q=0.0682796894094371	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
e62d5a44b27a7aef	2'-deoxyguanosine	NT5M	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=0.4886019406213152;P=0.0248;q=0.1995272727272727;RNA P=0.1010664397492035;q=0.1981223064924863	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
639d22f07ec03330	2'-deoxyguanosine	SAMHD1	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=-0.1485349899488798;P=0.5207;q=0.7388688000000001;RNA P=0.5507372185970303;q=0.6386483239129882	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;ASSOCIATION_DIRECTION_CHANGED_IN_AVAILABLE_SUBSET	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
10899ca522271d3f	2'-deoxyguanosine	SLC22A7	GENERAL_RETENTION_NOTE	metabolite P=0.0244140625;q=0.25783203125;association rho=0.2188936693983492;P=0.3371;q=0.6116832487309645;RNA P=0.1952137739893367;q=0.3013612635960385	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
bc3e81a581c82f68	2'-deoxyinosine	ADA	GENERAL_RETENTION_NOTE	metabolite P=0.0185546875;q=0.247664741847826;association rho=0.1263850353073802;P=0.5734;q=0.7718007604562738;RNA P=0.7332510846555644;q=0.7781944061580373	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;ASSOCIATION_DIRECTION_CHANGED_IN_AVAILABLE_SUBSET;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
1b89180890ed2b03	2'-deoxyinosine	NT5C2	GENERAL_RETENTION_NOTE	metabolite P=0.0185546875;q=0.247664741847826;association rho=-0.2638450479355102;P=0.2506;q=0.5728566037735848;RNA P=0.0153314448510663;q=0.0682796894094371	保留该精确生化关系作为探索候选；未针对本行开展深入机制解释	same_cohort_postselection;clinical_identity_and_aliquot_not_recertified;cell_source_not_external_relation_validation;SOURCE_NOT_ALL3_CONCORDANT	RNA丰度、相关和首位表达均不能证明酶活/通量、因果方向或唯一作用细胞	该精确关系的患者效应与来源是否在明确独立单位下稳定？本轮不新增机制实验	appendix/all_relations.tsv
