gene	aliases	query	status	hits	response_sha256	retrieved_utc	reason
DAGLA	C11orf11;KIAA0659;NSDDR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C11orf11%22+OR+TITLE_ABS%3A%22KIAA0659%22+OR+TITLE_ABS%3A%22NSDDR%22%29&format=json&resultType=core&pageSize=3	DONE	0	7346c97da8ff78ac13d5c841591387510b0af1c1e05088f167724f0a85bb0ec9	2026-09-20T11:34:11.826221+00:00	Alias retrieval only;not verified gene-specific intervention
DAGLB	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:12.719868+00:00	No reviewed aliases available;absence of hits is not no function
DCTPP1	XTP3TPA	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22XTP3TPA%22%29&format=json&resultType=core&pageSize=3	DONE	0	a8e3f80184f85036e9529cf9893ecbb37f245900a6278621d388c80c839e201f	2026-09-20T11:34:12.719868+00:00	Alias retrieval only;not verified gene-specific intervention
DHRSX	CXorf11;DHRS5X;SDR46C1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22CXorf11%22+OR+TITLE_ABS%3A%22DHRS5X%22+OR+TITLE_ABS%3A%22SDR46C1%22%29&format=json&resultType=core&pageSize=3	DONE	0	6b36c4f804963135beeabb0ff452dee56c830b5334167ea042cf0c9c00bfc281	2026-09-20T11:34:13.911399+00:00	Alias retrieval only;not verified gene-specific intervention
DUS1L	DUS1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22DUS1%22%29&format=json&resultType=core&pageSize=3	DONE	0	1e0cf67249e87d59f355bba2c1bfc5953ebcab08ba53a156759ced2a3e028ba3	2026-09-20T11:34:13.989067+00:00	Alias retrieval only;not verified gene-specific intervention
EPHX3	ABHD9	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ABHD9%22%29&format=json&resultType=core&pageSize=3	DONE	0	1740d5b785aa8fa9319e5cfdb826f114bcb8b8b6e39d9b9fe2dad13147eff201	2026-09-20T11:34:14.665873+00:00	Alias retrieval only;not verified gene-specific intervention
GDPD1	GDE4	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22GDE4%22%29&format=json&resultType=core&pageSize=3	DONE	0	fcb1c6b73b7e5f54a66d5fa3cd6e115f5f47cca462e1741209e5e1dd7573d02f	2026-09-20T11:34:15.929856+00:00	Alias retrieval only;not verified gene-specific intervention
GDPD3	GDE7	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22GDE7%22%29&format=json&resultType=core&pageSize=3	DONE	0	3bf13454e4453287b024b925d299d239191bc7cc5bf7b40f418ec1023e959d19	2026-09-20T11:34:15.952996+00:00	Alias retrieval only;not verified gene-specific intervention
GGACT	A2LD1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22A2LD1%22%29&format=json&resultType=core&pageSize=3	DONE	0	a1fcdb6a3eed09ae2819bd33635947ae20855c2c1218e3fa1d45279cab66d8ed	2026-09-20T11:34:16.955449+00:00	Alias retrieval only;not verified gene-specific intervention
GLYATL1	GNAT	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22GNAT%22%29&format=json&resultType=core&pageSize=3	DONE	0	83d93f8e1c3194c8fd90f2cba4a0e1e11951f95b9cae88e939835c5883f61d78	2026-09-20T11:34:18.007034+00:00	Alias retrieval only;not verified gene-specific intervention
GPD1L	KIAA0089	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22KIAA0089%22%29&format=json&resultType=core&pageSize=3	DONE	0	c20001389e96d1d94169c16f301751def8dbd0941054ea781564a1d429e0e2ca	2026-09-20T11:34:18.008613+00:00	Alias retrieval only;not verified gene-specific intervention
GRHPR	GLXR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22GLXR%22%29&format=json&resultType=core&pageSize=3	DONE	0	57ccef82774a6dc07be15a15cec018b4a89c331db1e07e6d10a546c7b50c6d03	2026-09-20T11:34:18.843397+00:00	Alias retrieval only;not verified gene-specific intervention
HSD11B2	HSD11K;SDR9C3	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22HSD11K%22+OR+TITLE_ABS%3A%22SDR9C3%22%29&format=json&resultType=core&pageSize=3	DONE	0	6edf15a796218db6994a9cccad8427542ce69781305e1e4497025960416a2a83	2026-09-20T11:34:19.822931+00:00	Alias retrieval only;not verified gene-specific intervention
HSD17B1	E17KSR;EDH17B1;EDH17B2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22E17KSR%22+OR+TITLE_ABS%3A%22EDH17B1%22+OR+TITLE_ABS%3A%22EDH17B2%22%29&format=json&resultType=core&pageSize=3	DONE	0	55bd566c65e8131490e52aadee0609f30465f47bd6b56a137fd3c691eeb8a459	2026-09-20T11:34:21.121858+00:00	Alias retrieval only;not verified gene-specific intervention
HSD17B2	EDH17B2;SDR9C2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22EDH17B2%22+OR+TITLE_ABS%3A%22SDR9C2%22%29&format=json&resultType=core&pageSize=3	DONE	0	7df8399c2618c5705293a48914d9ab8fc645422ebbd045abcbda0c30addaac32	2026-09-20T11:34:21.763358+00:00	Alias retrieval only;not verified gene-specific intervention
HSD17B4	EDH17B4;SDR8C1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22EDH17B4%22+OR+TITLE_ABS%3A%22SDR8C1%22%29&format=json&resultType=core&pageSize=3	DONE	0	eccde616b3298ef62aa101e9c9e5c32e8ccc8ebde89436d2e98d4ba775ab31ff	2026-09-20T11:34:23.045905+00:00	Alias retrieval only;not verified gene-specific intervention
HSD17B6	RODH;SDR9C6	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22RODH%22+OR+TITLE_ABS%3A%22SDR9C6%22%29&format=json&resultType=core&pageSize=3	DONE	0	2b009ce823f2f89ab012d7d5eee0e969436fd565bc0730f0bac2aa507c5612eb	2026-09-20T11:34:23.200559+00:00	Alias retrieval only;not verified gene-specific intervention
HSD17B8	FABGL;HKE6;RING2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22FABGL%22+OR+TITLE_ABS%3A%22HKE6%22+OR+TITLE_ABS%3A%22RING2%22%29&format=json&resultType=core&pageSize=3	DONE	1	4e33350ac8ad4707bf93676dcf1e7ac030de746412d86532e1f94b5ced1249a1	2026-09-20T11:34:24.036511+00:00	Alias retrieval only;not verified gene-specific intervention
HSD3B2	HSDB3B	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22HSDB3B%22%29&format=json&resultType=core&pageSize=3	DONE	0	8b179d48f93e4f8182bab14a5e765f70552dfecbab53f21429bcf352df24faf1	2026-09-20T11:34:25.029719+00:00	Alias retrieval only;not verified gene-specific intervention
HSD3B7	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:26.315180+00:00	No reviewed aliases available;absence of hits is not no function
IL4I1	FIG1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22FIG1%22%29&format=json&resultType=core&pageSize=3	DONE	0	fd9dc7ee7f87c78db08788a772bd54a53f7e53d0b3cdeaa1eeb1ad95a3a624eb	2026-09-20T11:34:26.315180+00:00	Alias retrieval only;not verified gene-specific intervention
IMPA1	IMPA	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22IMPA%22%29&format=json&resultType=core&pageSize=3	DONE	0	38266ba8739fe6b9a91c29655f32ec1b260dc99dab6124a90630777c05630879	2026-09-20T11:34:26.408503+00:00	Alias retrieval only;not verified gene-specific intervention
IMPA2	IMP.18P	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22IMP.18P%22%29&format=json&resultType=core&pageSize=3	DONE	0	426f55b51348f3f276761f2c40d5ee19681ebd8df41b6065ea64ebe3bfda53f0	2026-09-20T11:34:27.102703+00:00	Alias retrieval only;not verified gene-specific intervention
KARS1	KARS;KIAA0070	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22KARS%22+OR+TITLE_ABS%3A%22KIAA0070%22%29&format=json&resultType=core&pageSize=3	DONE	3	58735f647c4f9acbf77902fead30d447a13f6da329b0cf1348c675ba0df566ff	2026-09-20T11:34:28.570579+00:00	Alias retrieval only;not verified gene-specific intervention
LACC1	C13orf31;FAMIN	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C13orf31%22+OR+TITLE_ABS%3A%22FAMIN%22%29&format=json&resultType=core&pageSize=3	DONE	0	11bbabb0c3b754bd0bab4d97d74be549409c810826804ac2dbc9a85d226988b6	2026-09-20T11:34:29.041338+00:00	Alias retrieval only;not verified gene-specific intervention
LARS2	KIAA0028	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22KIAA0028%22%29&format=json&resultType=core&pageSize=3	DONE	0	a889d499706f09f9b0910bb8c96d9f9ce109269f7dd4457d1792692dffd0ceb7	2026-09-20T11:34:29.451115+00:00	Alias retrieval only;not verified gene-specific intervention
LDHAL6A	LDHL2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22LDHL2%22%29&format=json&resultType=core&pageSize=3	DONE	0	7508c2c0cbe7744a299e6923a352e72c79cb56e410dd91c13c462063bbd22771	2026-09-20T11:34:30.810225+00:00	Alias retrieval only;not verified gene-specific intervention
LYPLA1	APT1;LPL1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22APT1%22+OR+TITLE_ABS%3A%22LPL1%22%29&format=json&resultType=core&pageSize=3	DONE	4	57ca427ca40232bdd84b99f4b3d908ba5e7acfc0b7e25eec5983afe9ad5340a9	2026-09-20T11:34:31.332915+00:00	Alias retrieval only;not verified gene-specific intervention
LYPLA2	APT2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22APT2%22%29&format=json&resultType=core&pageSize=3	DONE	1	c19b8a3dee1daa5020c1c5a5ce5624b8fbb041748f87bb230c58c3af1bea6685	2026-09-20T11:34:31.858244+00:00	Alias retrieval only;not verified gene-specific intervention
MTO1	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:33.326418+00:00	No reviewed aliases available;absence of hits is not no function
NADSYN1	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:33.326418+00:00	No reviewed aliases available;absence of hits is not no function
NMNAT3	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:33.326418+00:00	No reviewed aliases available;absence of hits is not no function
NOCT	CCR4;CCRN4L;NOC	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22CCR4%22+OR+TITLE_ABS%3A%22CCRN4L%22+OR+TITLE_ABS%3A%22NOC%22%29&format=json&resultType=core&pageSize=3	DONE	55	aebaf3c735a706143b0dcb451c8e370bb875d53072407984730bc904f8da888d	2026-09-20T11:34:33.326418+00:00	Alias retrieval only;not verified gene-specific intervention
PARP12	ZC3HDC1	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ZC3HDC1%22%29&format=json&resultType=core&pageSize=3	DONE	0	4f5ae0fd99d8443134f9ffe7b47eab0f53e6a06ca8728890fbcda0259e536c33	2026-09-20T11:34:33.657092+00:00	Alias retrieval only;not verified gene-specific intervention
PARP16	ARTD15;C15orf30	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ARTD15%22+OR+TITLE_ABS%3A%22C15orf30%22%29&format=json&resultType=core&pageSize=3	DONE	0	c3463e609cdafaa45c7c7f99841cc00df79b6df0fa84be78167b5e40f3459a01	2026-09-20T11:34:33.882703+00:00	Alias retrieval only;not verified gene-specific intervention
PARP6	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:35.580353+00:00	No reviewed aliases available;absence of hits is not no function
PARP8	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:35.580876+00:00	No reviewed aliases available;absence of hits is not no function
PLA2G15	LYPLA3	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22LYPLA3%22%29&format=json&resultType=core&pageSize=3	DONE	0	289d80e5158fbb7461fcaa785906e4cafff1ea57873f23a6e9017e50980dd455	2026-09-20T11:34:35.580876+00:00	Alias retrieval only;not verified gene-specific intervention
PM20D2	ACY1L2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ACY1L2%22%29&format=json&resultType=core&pageSize=3	DONE	0	45ba5fbc91aee2261fac80ca9c3b0e3af5b7022098389a353357462d7c1776ef	2026-09-20T11:34:36.168688+00:00	Alias retrieval only;not verified gene-specific intervention
PNP	purine nucleoside phosphorylase	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22purine+nucleoside+phosphorylase%22%29&format=json&resultType=core&pageSize=3	DONE	9	305609bb2a27218f10ffbb4c06a652e4ac394f147cc0de10c0c9f08df9d71a49	2026-09-20T11:34:36.959866+00:00	Alias retrieval only;not verified gene-specific intervention
PNPLA4	DXS1283E;GS2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22DXS1283E%22+OR+TITLE_ABS%3A%22GS2%22%29&format=json&resultType=core&pageSize=3	DONE	1	dd956c34ed493e2ace5588b57438b7217d31800fe4d2754f598053f0afc77f7a	2026-09-20T11:34:37.955373+00:00	Alias retrieval only;not verified gene-specific intervention
PYCR2	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:38.204280+00:00	No reviewed aliases available;absence of hits is not no function
PYCR3	PYCRL	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22PYCRL%22%29&format=json&resultType=core&pageSize=3	DONE	0	3b1e0064eaa9d08ac20fcd23d61fd06adf7ef628ab21a1b15224d2dbe8b3e5ff	2026-09-20T11:34:38.204280+00:00	Alias retrieval only;not verified gene-specific intervention
PYROXD1	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:39.762490+00:00	No reviewed aliases available;absence of hits is not no function
QARS1	QARS	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22QARS%22%29&format=json&resultType=core&pageSize=3	DONE	0	dd048b94989ea8924eb77d5e456c916d71e6b27565f4b07469516584e09cee1a	2026-09-20T11:34:39.763010+00:00	Alias retrieval only;not verified gene-specific intervention
RDH16	RODH4;SDR9C8	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22RODH4%22+OR+TITLE_ABS%3A%22SDR9C8%22%29&format=json&resultType=core&pageSize=3	DONE	0	73c06244e8eb0e5e0178f181b92c1d2e92a47f6a0fb7a0ccac7b981c454b5827	2026-09-20T11:34:40.099946+00:00	Alias retrieval only;not verified gene-specific intervention
RDH5	HSD17B9;RDH1;SDR9C5	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22HSD17B9%22+OR+TITLE_ABS%3A%22RDH1%22+OR+TITLE_ABS%3A%22SDR9C5%22%29&format=json&resultType=core&pageSize=3	DONE	0	1753e764ce01fd8191be0624d65d6f705c5b081e42e982ef688c686b22cd517e	2026-09-20T11:34:40.263177+00:00	Alias retrieval only;not verified gene-specific intervention
RTN4IP1	NIMP	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22NIMP%22%29&format=json&resultType=core&pageSize=3	DONE	1	4f5e81558cc5b599eec769980f52adf309b2a9d5af94e15ca7d2d04c7d55a8f6	2026-09-20T11:34:41.721111+00:00	Alias retrieval only;not verified gene-specific intervention
SARM1	KIAA0524;SAMD2;SARM	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22KIAA0524%22+OR+TITLE_ABS%3A%22SAMD2%22+OR+TITLE_ABS%3A%22SARM%22%29&format=json&resultType=core&pageSize=3	DONE	1	0b4e4e1c102a7336f70be2fe5c4f45575520db0c441f4d7360783f00fc9d1277	2026-09-20T11:34:42.169009+00:00	Alias retrieval only;not verified gene-specific intervention
SDR9C7	RDHS;SDRO	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22RDHS%22+OR+TITLE_ABS%3A%22SDRO%22%29&format=json&resultType=core&pageSize=3	DONE	0	1c3422963ffc3e227e36c00859de3ea8f97d700bea63fdd940dbaa25b9656d10	2026-09-20T11:34:42.952296+00:00	Alias retrieval only;not verified gene-specific intervention
