gene	source	article_id	pmid	pmcid	doi	title	year	url	text_mentions_perturbation	text_mentions_metabolism	text_mentions_PDCA_model	evidence_status	intervention_direction	metabolite_or_flux_measured	rescue	opposing_result	reading_depth
ABHD6	MED	34634522	34634522	PMC8602044	10.1016/j.molmet.2021.101355	Plasma triacylglycerols are biomarkers of β-cell function in mice and humans.	2021	https://europepmc.org/article/MED/34634522	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACE2	MED	41478466	41478466		10.1016/j.imlet.2025.107127	Design and application of a multi-epitope ACE2 antigen for detection of autoantibodies in post-COVID-19 diagnosed type 1 diabetes.	2026	https://europepmc.org/article/MED/41478466	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACE2	MED	41877928	41877928	PMC13007547	10.3389/fendo.2026.1790281	COVID-19 associated CKM syndrome progression in diabetic patients is linked to pancreatic beta cell dysfunction, rather than RASi use: a retrospective cohort study.	2026	https://europepmc.org/article/MED/41877928	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACE2	MED	41886457	41886457		10.1016/j.celrep.2026.117104	Gut glucose assimilation governs glucose homeostasis through reciprocal interaction between glucose and amino acid transporter.	2026	https://europepmc.org/article/MED/41886457	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACE2	PPR	PPR1130203			10.21203/rs.3.rs-8110334/v1	Hepatic ACE2 Shapes Liver–Islet Communication through Exosomal miR-30c-5p to Preserve β-Cell Function	2025	https://europepmc.org/article/PPR/PPR1130203	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACE2	PPR	PPR1314107			10.20944/preprints202609.0477.v1	Bromhexine Prophylaxis and Pharmacologically Attenuated Natural Immunization: A Personalized Host-Directed Strategy Against SARS-CoV-2 and Influenza	2026	https://europepmc.org/article/PPR/PPR1314107	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACLY	MED	40741620	40741620	PMC12308179	10.1093/rb/rbaf056	Matrix stiffness boosts PDAC chemoresistance via SCD1-dependent lipid metabolic reprogramming.	2025	https://europepmc.org/article/MED/40741620	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACLY	MED	41051446	41051446	PMC12667490	10.1002/advs.202505762	PSMD14-Mediated LDHA Deubiquitination Upregulates ACLY Expression via H3K18 Lactylation to Promote Lipid Synthesis and Pancreatic Cancer Progression.	2025	https://europepmc.org/article/MED/41051446	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACLY	MED	41344568	41344568	PMC12808620	10.1016/j.molmet.2025.102292	Reprogramming of cholesterol sensing in epithelial cells supports pancreatic inflammation.	2026	https://europepmc.org/article/MED/41344568	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACLY	MED	41481452	41481452	PMC12773754	10.1073/pnas.2511839122	Exploring the interplay between protein conformational changes and phosphorylation in a pancreatic cancer cell and stellate cell coculture system.	2026	https://europepmc.org/article/MED/41481452	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACLY	PPR	PPR967779			10.1101/2025.01.15.633097	Cytosolic transport of citrate protects nutrient-austere pancreatic cancer from ferroptosis	2025	https://europepmc.org/article/PPR/PPR967779	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACO1	MED	26755275	26755275	PMC4849356	10.1093/jnci/djv409	Circulating Metabolites and Survival Among Patients With Pancreatic Cancer.	2016	https://europepmc.org/article/MED/26755275	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACO1	MED	32692565	32692565		10.1021/acs.jproteome.0c00394	Cell Metabolomics Reveals Berberine-Inhibited Pancreatic Cancer Cell Viability and Metastasis by Regulating Citrate Metabolism.	2020	https://europepmc.org/article/MED/32692565	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACO1	MED	38698748	38698748		10.2174/0113892037299818240408053000	Influences of <i>Ipomoea batatas</i> Anti-Cancer Peptide on Tomato Defense Genes.	2024	https://europepmc.org/article/MED/38698748	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACO1	MED	41481452	41481452	PMC12773754	10.1073/pnas.2511839122	Exploring the interplay between protein conformational changes and phosphorylation in a pancreatic cancer cell and stellate cell coculture system.	2026	https://europepmc.org/article/MED/41481452	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ACO1	PPR	PPR967779			10.1101/2025.01.15.633097	Cytosolic transport of citrate protects nutrient-austere pancreatic cancer from ferroptosis	2025	https://europepmc.org/article/PPR/PPR967779	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADA	MED	40578070	40578070		10.1016/j.amjsurg.2025.116482	Analysis of CT-based pancreatic volumetrics and postoperative endocrine and exocrine dysfunction: A retrospective cohort study.	2025	https://europepmc.org/article/MED/40578070	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADA	MED	40819996	40819996		10.1016/j.pan.2025.08.005	Type 3c diabetes associated with chronic pancreatitis: A narrative review.	2025	https://europepmc.org/article/MED/40819996	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADA	MED	41258527	41258527	PMC12712253	10.1007/s12672-025-04014-9	DNA methylation-mediated ADA overexpression drives pancreatic cancer progression.	2025	https://europepmc.org/article/MED/41258527	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADA	MED	41675641	41675641	PMC12887700	10.3389/fendo.2025.1749805	Type 5 diabetes mellitus: redefining pancreatogenic diabetes through molecular, imaging, and AI-driven evidence.	2025	https://europepmc.org/article/MED/41675641	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADA	MED	42378390	42378390		10.2337/db26-0052	Targeting the ADA/ADO Axis Rescues β-Cell Failure in Type 2 Diabetes.	2026	https://europepmc.org/article/MED/42378390	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1A	MED	28769575	28769575	PMC5533474	10.2147/ott.s140221	Distinct prognostic values of alcohol dehydrogenase mRNA expression in pancreatic adenocarcinoma.	2017	https://europepmc.org/article/MED/28769575	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1A	MED	34390411	34390411		10.1007/s12032-021-01543-5	Employing bioinformatics analysis to identify hub genes and microRNAs involved in colorectal cancer.	2021	https://europepmc.org/article/MED/34390411	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1A	MED	35059985	35059985		10.1007/s11605-021-05232-6	Identification of an Immune-Related BAT Signature for Predicting Adjuvant Chemotherapy Response and Overall Survival in Patients with Resected Ductal Adenocarcinoma of the Pancreas.	2022	https://europepmc.org/article/MED/35059985	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1A	MED	40281115	40281115	PMC12032141	10.1038/s41598-025-99144-z	Identification of prognostic and therapeutic biomarkers associated with macrophage and lipid metabolism in pancreatic cancer.	2025	https://europepmc.org/article/MED/40281115	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1B	MED	31151762	31151762	PMC6919570	10.1016/j.biopsych.2019.03.984	Genome-wide Association Study of Maximum Habitual Alcohol Intake in &gt;140,000 U.S. European and African American Veterans Yields Novel Risk Loci.	2019	https://europepmc.org/article/MED/31151762	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1B	MED	32439797	32439797	PMC7334065	10.1158/1055-9965.epi-20-0091	Associations between Genetically Predicted Blood Protein Biomarkers and Pancreatic Cancer Risk.	2020	https://europepmc.org/article/MED/32439797	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1B	MED	34267279	34267279	PMC8282609	10.1038/s41598-021-94111-w	No association between alcohol consumption and pancreatic cancer even among individuals genetically susceptible to the carcinogenicity of alcohol.	2021	https://europepmc.org/article/MED/34267279	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1B	MED	37693153	37693153	PMC10492124		Pancreatic ductal adenocarcinoma with a high expression of alcohol dehydrogenase 1B is associated with less aggressive features and a favorable prognosis.	2023	https://europepmc.org/article/MED/37693153	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1B	MED	41374967	41374967	PMC12691180	10.3390/cancers17233765	Evaluation of Nanoparticle-Based Plasma Enrichment on Individuals with Primary and Metastatic Pancreatic Cancer.	2025	https://europepmc.org/article/MED/41374967	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1C	MED	19068087	19068087	PMC11159673	10.1111/j.1349-7006.2008.01044.x	Impact of alcohol consumption with polymorphisms in alcohol-metabolizing enzymes on pancreatic cancer risk in Japanese.	2009	https://europepmc.org/article/MED/19068087	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1C	MED	19382905	19382905		10.1111/j.1530-0277.2009.00927.x	Expression pattern, ethanol-metabolizing activities, and cellular localization of alcohol and aldehyde dehydrogenases in human pancreas: implications for pathogenesis of alcohol-induced pancreatic injury.	2009	https://europepmc.org/article/MED/19382905	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1C	MED	19812523	19812523		10.1097/mpa.0b013e3181bab6c2	CYP2A13, ADH1B, and ADH1C gene polymorphisms and pancreatic cancer risk.	2010	https://europepmc.org/article/MED/19812523	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1C	MED	38685045	38685045	PMC11057100	10.1186/s12967-024-05158-y	Comprehensive analysis of bulk and single-cell transcriptomic data reveals a novel signature associated with endoplasmic reticulum stress, lipid metabolism, and liver metastasis in pancreatic cancer.	2024	https://europepmc.org/article/MED/38685045	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH1C	MED	41374967	41374967	PMC12691180	10.3390/cancers17233765	Evaluation of Nanoparticle-Based Plasma Enrichment on Individuals with Primary and Metastatic Pancreatic Cancer.	2025	https://europepmc.org/article/MED/41374967	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH4	MED	19382905	19382905		10.1111/j.1530-0277.2009.00927.x	Expression pattern, ethanol-metabolizing activities, and cellular localization of alcohol and aldehyde dehydrogenases in human pancreas: implications for pathogenesis of alcohol-induced pancreatic injury.	2009	https://europepmc.org/article/MED/19382905	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH5	MED	19382905	19382905		10.1111/j.1530-0277.2009.00927.x	Expression pattern, ethanol-metabolizing activities, and cellular localization of alcohol and aldehyde dehydrogenases in human pancreas: implications for pathogenesis of alcohol-induced pancreatic injury.	2009	https://europepmc.org/article/MED/19382905	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH5	MED	28769575	28769575	PMC5533474	10.2147/ott.s140221	Distinct prognostic values of alcohol dehydrogenase mRNA expression in pancreatic adenocarcinoma.	2017	https://europepmc.org/article/MED/28769575	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH6	MED	28769575	28769575	PMC5533474	10.2147/ott.s140221	Distinct prognostic values of alcohol dehydrogenase mRNA expression in pancreatic adenocarcinoma.	2017	https://europepmc.org/article/MED/28769575	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH6	MED	36814901	36814901	PMC9939759	10.3389/fgene.2023.1117145	Comprehensive analysis reveals signal and molecular mechanism of mitochondrial energy metabolism pathway in pancreatic cancer.	2023	https://europepmc.org/article/MED/36814901	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ADH7	MED	19382905	19382905		10.1111/j.1530-0277.2009.00927.x	Expression pattern, ethanol-metabolizing activities, and cellular localization of alcohol and aldehyde dehydrogenases in human pancreas: implications for pathogenesis of alcohol-induced pancreatic injury.	2009	https://europepmc.org/article/MED/19382905	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AGMAT	MED	35837051	35837051	PMC9257765	10.3892/etm.2022.11417	Agmatinase facilitates the tumorigenesis of pancreatic adenocarcinoma through the TGFβ/Smad pathway.	2022	https://europepmc.org/article/MED/35837051	True	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM1	MED	28674658	28674658	PMC5493031	10.7717/peerj.3503	Confluence does not affect the expression of miR-375 and its direct targets in rat and human insulin-secreting cell lines.	2017	https://europepmc.org/article/MED/28674658	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM1	MED	35062876	35062876	PMC8783488	10.1186/s12876-022-02101-7	MS275 as Class I HDAC inhibitor displayed therapeutic potential on malignant ascites by iTRAQ-based quantitative proteomic analysis.	2022	https://europepmc.org/article/MED/35062876	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM1	MED	41011250	41011250	PMC12472857	10.3390/ph18091382	miR-25-3p Modulates Tumor Aggressiveness and Ferroptosis Escape in T24 Bladder Cancer Cells In Vitro.	2025	https://europepmc.org/article/MED/41011250	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM1	MED	42184499	42184499		10.1016/j.phymed.2026.158305	Kaempferol functionally reprograms CD47 signaling to promote cytoprotection and attenuate oxeiptosis in severe acute pancreatitis.	2026	https://europepmc.org/article/MED/42184499	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM2	MED	32724472	32724472	PMC7381726	10.7150/thno.46934	ATF6 aggravates acinar cell apoptosis and injury by regulating p53/AIFM2 transcription in Severe Acute Pancreatitis.	2020	https://europepmc.org/article/MED/32724472	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AIFM2	MED	37094356	37094356		10.1093/jb/mvad036	Ferroptosis model system by the re-expression of BACH1.	2023	https://europepmc.org/article/MED/37094356	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AK4	MED	33898107	33898107	PMC8054099	10.1016/j.omtn.2021.01.027	TRIM29 alters bioenergetics of pancreatic cancer cells via cooperation of miR-2355-3p and DDX3X recruitment to AK4 transcript.	2021	https://europepmc.org/article/MED/33898107	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AK4	MED	35220277	35220277	PMC8908928	10.18632/aging.203921	Pseudogene AK4P1 promotes pancreatic ductal adenocarcinoma progression through relieving miR-375-mediated YAP1 degradation.	2022	https://europepmc.org/article/MED/35220277	True	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AK4	MED	35396216	35396216		10.1136/jclinpath-2022-208176	Overexpression of integrin alpha 2 (ITGA2) correlates with poor survival in patients with pancreatic ductal adenocarcinoma.	2023	https://europepmc.org/article/MED/35396216	True	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AK4	MED	42087892	42087892	PMC13136522	10.1155/humu/7729933	Multiomics Analysis of Nucleotide Metabolism Highlights the Important Role of Adenylate Kinase 4 in Pancreatic Cancer.	2026	https://europepmc.org/article/MED/42087892	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AK4	MED	42729487	42729487	PMC13562267	10.3389/fimmu.2026.1918556	Glycolysis and T cell-associated gene signature predicts prognosis and therapeutic responses in pancreatic cancer.	2026	https://europepmc.org/article/MED/42729487	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AKR1A1	MED	38268915	38268915	PMC10805828	10.3389/fimmu.2023.1203459	Exploring KRAS-mutant pancreatic ductal adenocarcinoma: a model validation study.	2023	https://europepmc.org/article/MED/38268915	False	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AKR1A1	PPR	PPR1122529			10.21203/rs.3.rs-7691213/v1	Hyaluronan catabolism supports the peritoneal disseminated metastasis of cancer through the glucuronic acid pathway	2025	https://europepmc.org/article/PPR/PPR1122529	True	True	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
