study_id	genes	original_source	original_model	original_intervention	original_endpoint	original_evidence_class	retrieval_status	reason	pmcid	accessions	dataset_design_verified
S025	CPT1B	https://pubmed.ncbi.nlm.nih.gov/29249690/	乳腺癌干细胞、脂肪细胞瘦素及化疗耐药模型	JAK/STAT3、FAO或瘦素阻断；CPT1B具体敲低待全文定位	干细胞自我更新和化疗耐受受FAO通路调节	PATHWAY_CONTEXT_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5777338/fullTextXML	PMC5777338		False
S026	CPT2	https://pubmed.ncbi.nlm.nih.gov/33207079/	MDA-MB-231等TNBC；谷氨酰胺缺乏/HRD1敲低背景	抑制CPT2表达，结合HRD1扰动	降低HRD1敲低所致体内外生长增加；代谢补偿与CB839响应不同	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7858277		False
S027	CS;FH	https://pubmed.ncbi.nlm.nih.gov/36866961/	乳腺癌细胞；具体细胞系未从摘要核实	CS/FH过表达救援MAEL作用；MAEL/溶酶体相关干预	CS和/或FH恢复可逆转MAEL促恶性行为；氧化磷酸化—糖酵解转换	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S028	CTNS	https://pubmed.ncbi.nlm.nih.gov/37751742/	乳腺癌氧化应激、化疗及溶酶体储存模型	主要为MFSD12/mTORC1调节；CTNS直接肿瘤终点扰动待全文核实	CTNS介导释放参与GSH维持；MFSD12突变抑制肿瘤	PATHWAY_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S029	CRAT	https://academic.oup.com/endo/article/167/1/bqaf168/8320418	ESR1突变MCF7/T47D乳腺癌	Enzalutamide/雄激素受体背景；CRAT直接扰动待核实	CRAT表达在部分模型随AR抑制降低；T47D短时响应不同	PATHWAY_CONTEXT_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S030	DPYD	https://pubmed.ncbi.nlm.nih.gov/24040364/	乳腺癌细胞及裸鼠异种移植	53BP1增加/降低，5-FU处理	53BP1影响5-FU敏感性；TS和DPYD为相关下游	PATHWAY_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC3765449		False
S031	ETNK1	https://pubmed.ncbi.nlm.nih.gov/38694857/	MDA-MB-231及移植瘤	miR抑制/模拟、OE-ETNK1；摘要又写ETNK1-knockdown	方法、结果和结论对干预方向有内部不一致	CONFLICTED_REPORT	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11058372		False
S032	ETNK1	https://pubmed.ncbi.nlm.nih.gov/42003071/	MCF7、4T1细胞和MCF7裸鼠移植瘤	CTX处理；ETNK1降低；自噬抑制	ETNK1降低逆转CTX对存活、铁死亡与自噬的作用，体内外均报告	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S033	FDFT1	https://pubmed.ncbi.nlm.nih.gov/39461203/	MCF7等乳腺癌细胞；多亚型患者来源类器官	FDFT1敲低、过表达救援；ATT药物及SPR/CETSA	敲低诱导凋亡；过表达部分救援ATT；NEDD4/TNFR1/NF-kB相关	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S034	FDFT1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/	MDA-MB-231；MCF7和MCF10A表达对照	FDFT1 siRNA、丙戊酸处理	图注明确FDFT1降低促进增殖并抑制铁死亡	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12116638		False
S035	FDFT1	https://pubmed.ncbi.nlm.nih.gov/40619388/	TNBC细胞及移植瘤	THEM6增加；FDFT1敲低作为救援	FDFT1敲低逆转THEM6诱导的卡铂敏感性；铁死亡背景	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12232811	GSE96058	False
S036	FH	https://link.springer.com/article/10.1186/s40170-025-00397-z	MCF7、MDA-MB-231；体内模型	FH过表达、两条shRNA	过表达增强增殖/迁移/侵袭，敲低降低；p21/MMP1及ROS联系	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12121060		False
S037	FOLH1	https://pubmed.ncbi.nlm.nih.gov/38664014/	TCGA 998例亚型/拷贝数/转录及蛋白	观察性分析，未进行FOLH1基因敲低	基底样高表达与结局相关，提出放射性药物靶向可能	ASSOCIATION_ONLY	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S038	GCLC	https://pubs.acs.org/doi/10.1021/tx200090n	MCF7	15d-PGJ2处理、Nrf2 siRNA	GCLC表达和GSH发生变化	PATHWAY_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S039	GDPD5;GPCPD1	https://pubmed.ncbi.nlm.nih.gov/27356959/	MCF7、MDA-MB-231	GDPD5或GDPD6/GPCPD1 siRNA	两者提高GPC；GDPD5降低MCF7存活，GPCPD1不降低两系存活；MDA-MB-231迁移/侵袭降低	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5555158/fullTextXML	PMC5555158		False
S040	GDPD5	https://pubmed.ncbi.nlm.nih.gov/24764256/	MDA-MB-231细胞及原位异种移植瘤	稳定GDPD5 shRNA	体内GPC和磷酸乙醇胺升高	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4162314/fullTextXML	PMC4162314		False
S041	GLS	https://pubmed.ncbi.nlm.nih.gov/28950000/	谷氨酰胺分解失调TNBC及非TNBC对照；异种移植	诱导shGLS；shRNA耐受同工酶cDNA与αKG类似物救援；CB839/mTOR	特定TNBC体内外生长抑制；非TNBC生长和代谢物未受同样影响	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5614427		False
S042	GLS2	https://pubmed.ncbi.nlm.nih.gov/31541193/	多乳腺癌细胞含TNBC；体内肺转移	GLS2过表达/敲低；长期BPTES选择	GLS2支持增殖及迁移转移，可救援GLS抑制后的代谢和生长	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S043	GLS2	https://pubmed.ncbi.nlm.nih.gov/31577957/	luminal乳腺癌与basal对照；GATA3背景	GLS2功能/双GLS-GLS2抑制；详细构建须全文核实	luminal依赖GLS2且对GLS选择性药物不敏感	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6939472/fullTextXML	PMC6939472		False
S044	GLUL	https://pubmed.ncbi.nlm.nih.gov/27791265/	SK-BR-3；乳腺癌表达队列	GLUL knockdown	SK-BR-3增殖和p38/ERK信号下降	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S045	GNPNAT1	https://pubmed.ncbi.nlm.nih.gov/37387422/	SKBR3、Hs578T	敲低与过表达	敲低降低干性标志、乳腺球和克隆形成；过表达相反	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC10326828		False
S046	GPI	https://pubmed.ncbi.nlm.nih.gov/33042622/	乳腺癌细胞及小鼠；细胞系见全文	HP/GPI敲低；化疗联用	GPI降低使糖酵解下降、耗氧恢复，迁移/侵袭下降并增敏化疗；HP和GPI抑制有体内效应	GENETIC_BRCA	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7539774/fullTextXML	PMC7539774		False
S047	GPCPD1	https://link.springer.com/article/10.1186/s13058-024-01849-y	ER阴性HER2阳性HCC1954、SUM190PT；尾静脉/腹腔注射免疫缺陷鼠	诱导shEDI3/GPCPD1、siRNA	黏附/克隆/抗失巢凋亡下降，迁移未改变；实验性转移负荷下降和腹腔模型生存改善	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11138102		False
S048	HAL	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264/	HER2阳性公共转录队列	观察性生存/风险模型	HAL为风险模型相关基因之一	ASSOCIATION_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC9161264		False
S049	HPD	https://pubmed.ncbi.nlm.nih.gov/31277952/	145例乳腺癌、53例DCIS、42例正常；MCF7/MDA-MB-231定位	IHC/免疫荧光/Western；未核实基因扰动	高HPD与分级分期和较差结局相关	ASSOCIATION_ONLY	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S050	HPRT1	https://www.mdpi.com/2072-6694/12/6/1522	MDA-MB-231、MCF7、MCF10A	两种siRNA；RNA-seq	改变癌症/DNA修复相关转录程序；当前所读材料未确认肿瘤生长/迁移终点	GENETIC_MOLECULAR_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S051	IMPA1	https://pubmed.ncbi.nlm.nih.gov/35796646/	LM2-4175及TNBC细胞；异种移植/肺定植	IMPA1敲低；RNA-seq	影响增殖、克隆、移动、体内成瘤与肺定植；mTOR/EMT	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC9883559	GSE76275	False
S052	IMPA2	https://pubmed.ncbi.nlm.nih.gov/38048842/	基底样乳腺癌细胞及体内模型	IMPA2敲低；MYC/NFAT1联系	敲低减少体内外成瘤与转移；MYC正反馈	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S053	KHK	https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605/	MCF7、4T1；果糖或葡萄糖培养条件	KHK或GLUT5 shRNA	果糖培养条件下增殖受抑，葡萄糖条件下不受同样影响	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5622605		False
S054	KHK	https://www.nature.com/articles/s41467-020-19263-1	乳腺癌果糖刺激/转移模型	KHK-A通路与核转运/磷酸化机制干预；构建细节待逐图核实	果糖经KHK-A/YWHAH/SLUG促进侵袭转移	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7595112	PXD021035	False
S055	KMO	https://pubmed.ncbi.nlm.nih.gov/32268268/	TNBC细胞；原位异种移植/尾静脉模型	RNAi、CRISPR、过表达与酶活受损突变体	KMO降低抑制生长和转移；酶活受损突变仍促进迁移侵袭	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7191260	GSE145661	False
S056	KYNU	https://pubmed.ncbi.nlm.nih.gov/31332944/	乳腺癌细胞与NOD/SCID异种移植	KYNU过表达	降低增殖、软琼脂克隆和异种移植生长	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6787497		False
S057	LDHA	https://www.nature.com/articles/srep21735	MCF7、MDA-MB-231、异种移植	LDHA敲低/过表达；miR34a相关	敲低降低乳酸、葡萄糖摄取及细胞数量；过表达增加肿瘤生长	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4763192		False
S058	LDHA	https://pubmed.ncbi.nlm.nih.gov/28314283/	MDA-MB-231稳定shRNA克隆	LDHA降至低于对照1%	存活、乳酸、ATP、葡萄糖消耗及代谢率未见变化	GENETIC_BRCA_COUNTEREVIDENCE	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5363403/fullTextXML	PMC5363403		False
S059	LDHB	https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an	BT549、CAL51、CAL120、MDA-MB-231、MDA-MB-436等TNBC；luminal对照；已成瘤体内模型	两条siRNA及体内LDHB降低	高LDHB TNBC增殖下降和肿瘤停滞，luminal不同	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S060	LDHB	https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate	乳腺癌相关成纤维细胞及转移模型	CAF LDHB缺失	乳酸累积、p38持续激活和CXCL8分泌，促进肿瘤转移	GENETIC_BRCA	NOT_EVALUABLE	source_has_no_resolvable_PMID_PMC_or_DOI			False
S061	LDHB	https://pubmed.ncbi.nlm.nih.gov/38525901/	乳腺癌/NK细胞及小鼠	LDHB相关干预；需全文厘清标题和结果的方向差异	摘要结果写LDHB乳酸清除促进NK活化并限制肿瘤	CONFLICTED_REPORT	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11208901	GSE180286	False
S062	MDH2	https://pubmed.ncbi.nlm.nih.gov/41179294/	乳腺癌细胞及移植瘤；具体细胞系待全文方法复核	MDH2敲低、过表达	敲低抑制增殖/迁移、逆转EMT；过表达加速移植瘤生长	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC12573209		False
S063	MDH1	https://pubmed.ncbi.nlm.nih.gov/39818404/	乳腺癌耐药细胞，具体系待全文核定	schottenol处理并观察MDH1	增殖受抑及紫杉醇敏感性提高	DRUG_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S064	MAT2A	https://pubmed.ncbi.nlm.nih.gov/26418898/	TAMR-MCF7和T47D背景	上游NF-κB抑制与MAT2A表达分析	提示耐药背景MAT2A上调；本次摘录未完整核实MAT2A直接扰动终点	PATHWAY_CONTEXT_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC4924687	GSE32988	False
S065	MGAM	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114/	TCGA乳腺癌分型	表达/预后比较，非MGAM干预	MGAM与MGAM2分型表达；相关预后/免疫信息	ASSOCIATION_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6451114		False
S066	NNMT	https://pubmed.ncbi.nlm.nih.gov/38126621/	乳腺癌细胞及相关肿瘤模型	NNMT敲低及1-MNA相关机制实验	影响G0/G1进程；1-MNA保护UBC12，促进Cullin-1相关P27降解	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC10916551	GSE103091;GSE16446;GSE176078;GSE19615;GSE20685;GSE20711;GSE24450;GSE48391;GSE58812;GSE9195;GSE9893	False
S067	NNMT	https://pubmed.ncbi.nlm.nih.gov/35988817/	TNBC相关细胞/转移背景	NNMT相关遗传干预	膜胆固醇/流动性及转移表型改变	GENETIC_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S068	NNMT	https://pubmed.ncbi.nlm.nih.gov/31101119/	乳腺癌ADM/PTX处理模型	NNMT过表达，SIRT1 siRNA或EX527干预	减轻化疗诱导凋亡；SIRT1干预可逆转	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC6525439		False
S069	NAMPT	https://pubmed.ncbi.nlm.nih.gov/25263164/	乳腺癌转移模型，具体细胞系需全文核定	NAMPT基因抑制	NAMPT降低反而增强转移侵袭相关行为	GENETIC_BRCA_COUNTEREVIDENCE	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4252795/fullTextXML	PMC4252795		False
S070	NAMPT	https://pubmed.ncbi.nlm.nih.gov/31141164/	乳腺癌他莫昔芬耐药细胞及异种移植背景	NAMPT抑制剂FK866、表达操作	提示抑制增殖/提高药物反应	DRUG_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S071	NAMPT	https://doi.org/10.1021/acs.jmedchem.6c00454	MDA-MB-231、4T1、原位乳腺癌/巨噬细胞背景	PROTAC A13降解干预	生长、迁移/侵袭及肺转移下降；巨噬细胞状态变化	DRUG_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
S072	OAT	https://pubmed.ncbi.nlm.nih.gov/33499132/	MDA-MB-231、MCF10A及细胞外囊泡	检测囊泡代谢酶/活性，非OAT特异敲低	提示囊泡可携带活性代谢酶	BRCA_CONTEXT_NO_GENE_PERTURBATION	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC7910888	PXD023505;PXD023653	False
S073	ODC1	https://doi.org/10.1002/advs.202404853	MDA-MB-231及肿瘤起始/复发模型	shODC1、耐shRNA的ODC1回补、亚精胺救援；PTX背景	抑制PTX诱导ALDH+富集及肿瘤起始，延迟复发；已形成原发瘤生长速率/PTX敏感性并未同样改变	GENETIC_BRCA	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC11516096		False
S074	ARG2	https://pubmed.ncbi.nlm.nih.gov/30759381/	细胞周期/转化模型；乳腺癌分型表达，具体基因干预是否为BRCA细胞待核定	ARG2敲低、代谢示踪	生长下降及G2/M受阻	MODEL_SCOPE_UNRESOLVED	ACCESS_BLOCKED	HTTPError:500 Server Error:  for url: https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6663478/fullTextXML	PMC6663478		False
S075	PANK2	https://pubmed.ncbi.nlm.nih.gov/35896750/	PI3K/AKT代谢模型；乳腺癌适用范围待全文核定	PANK2/PANK4磷酸化与代谢调节研究	支持CoA合成调控	MODEL_SCOPE_UNRESOLVED	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC9352595		False
S076	PANK3	https://doi.org/10.1038/s41598-018-20215-5	乳腺癌计算网络/预后资料	非PANK3基因扰动	PANK3等进入关联/预测网络	ASSOCIATION_ONLY	DONE	fulltext_read_machine_accession_discovery;intervention_and_replication_design_not_yet_confirmed	PMC5799291	E-MTAB-2706;GSE14333;GSE17536;GSE17705;GSE37892;GSE39582	False
S077	PCYT1A	https://pubmed.ncbi.nlm.nih.gov/37230459/	乳腺癌细胞，具体系需全文核定	BPIS、阿魏酸/对香豆酸处理	PCYT1A上调伴甘油磷脂积累及自噬性死亡	DRUG_CONTEXT_BRCA	NOT_EVALUABLE	no_PMC_fulltext_in_exact_record			False
