human_gene	human_ensembl	mouse_ensembl	mouse_gene	homology_type	status	reason	source_release	n_mouse_homologies
FDFT1	ENSG00000079459	ENSMUSG00000021273	Fdft1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
FH	ENSG00000091483	ENSMUSG00000026526	Fh1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
FOLH1	ENSG00000086205	ENSMUSG00000001773	Folh1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GAMT	ENSG00000130005	ENSMUSG00000020150	Gamt	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GCLC	ENSG00000001084	ENSMUSG00000032350	Gclc	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GDA	ENSG00000119125	ENSMUSG00000058624	Gda	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GDPD5	ENSG00000158555	ENSMUSG00000035314	Gdpd5	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GLS	ENSG00000115419	ENSMUSG00000026103	Gls	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GLS2	ENSG00000135423	ENSMUSG00000044005	Gls2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GLUL	ENSG00000135821	ENSMUSG00000026473	Glul	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GNPNAT1	ENSG00000100522	ENSMUSG00000037722	Gnpnat1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GOT1	ENSG00000120053	ENSMUSG00000025190	Got1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GOT2	ENSG00000125166	ENSMUSG00000031672	Got2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GPCPD1	ENSG00000125772	ENSMUSG00000027346	Gpcpd1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GPI	ENSG00000105220	ENSMUSG00000036427	Gpi1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GSR	ENSG00000104687	ENSMUSG00000031584	Gsr	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
GSS	ENSG00000100983	ENSMUSG00000027610	Gss	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
HAL	ENSG00000084110	ENSMUSG00000020017	Hal	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
HPD	ENSG00000158104	ENSMUSG00000029445	Hpd	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
HPRT1	ENSG00000165704	ENSMUSG00000025630	Hprt	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
IDNK	ENSG00000148057	ENSMUSG00000050002	Idnk	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
IMPA1	ENSG00000133731	ENSMUSG00000027531	Impa1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
IMPA2	ENSG00000141401	ENSMUSG00000024525	Impa2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
KHK	ENSG00000138030	ENSMUSG00000029162	Khk	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
KMO	ENSG00000117009	ENSMUSG00000039783	Kmo	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
KYNU	ENSG00000115919	ENSMUSG00000026866	Kynu	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
LDHA	ENSG00000134333	ENSMUSG00000063229	Ldha	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
LDHB	ENSG00000111716	ENSMUSG00000030246	Ldhb	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MAT1A	ENSG00000151224	ENSMUSG00000037798	Mat1a	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MAT2A	ENSG00000168906	ENSMUSG00000053907	Mat2a	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MDH1	ENSG00000014641	ENSMUSG00000020321	Mdh1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MDH2	ENSG00000146701	ENSMUSG00000019179	Mdh2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MGAM	ENSG00000257335	ENSMUSG00000068587	Mgam	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
MPI	ENSG00000178802	ENSMUSG00000032306	Mpi	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
NAGK	ENSG00000124357	ENSMUSG00000034744	Nagk	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
NAMPT	ENSG00000105835	ENSMUSG00000020572	Nampt	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
NNMT	ENSG00000166741	ENSMUSG00000032271	Nnmt	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
NPL	ENSG00000135838	ENSMUSG00000042684	Npl	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
OAT	ENSG00000065154	ENSMUSG00000030934	Oat	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
ODC1	ENSG00000115758	ENSMUSG00000011179	Odc1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
OTC	ENSG00000036473	ENSMUSG00000031173	Otc	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PAH	ENSG00000171759	ENSMUSG00000020051	Pah	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PANK1	ENSG00000152782	ENSMUSG00000033610	Pank1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PANK2	ENSG00000125779	ENSMUSG00000037514	Pank2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PANK3	ENSG00000120137	ENSMUSG00000018846	Pank3	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PCYT1A	ENSG00000161217	ENSMUSG00000005615	Pcyt1a	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PCYT1B	ENSG00000102230	ENSMUSG00000035246	Pcyt1b	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PCYT2	ENSG00000185813	ENSMUSG00000025137	Pcyt2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PEPD	ENSG00000124299	ENSMUSG00000063931	Pepd	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PFKL	ENSG00000141959	ENSMUSG00000020277	Pfkl	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PFKM	ENSG00000152556	ENSMUSG00000033065	Pfkm	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PFKP	ENSG00000067057	ENSMUSG00000021196	Pfkp	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PGD	ENSG00000142657	ENSMUSG00000028961	Pgd	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PGM3	ENSG00000013375	ENSMUSG00000056131	Pgm3	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PMM1	ENSG00000100417	ENSMUSG00000022474	Pmm1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PMM2	ENSG00000140650	ENSMUSG00000022711	Pmm2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PNP	ENSG00000198805	ENSMUSG00000068417;ENSMUSG00000115338	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	2
PPA1	ENSG00000180817	ENSMUSG00000020089	Ppa1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PPA2	ENSG00000138777	ENSMUSG00000028013	Ppa2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PRODH	ENSG00000100033	ENSMUSG00000003526	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	1
PRODH2	ENSG00000250799	ENSMUSG00000036892	Prodh2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PYCR1	ENSG00000183010	ENSMUSG00000025140	Pycr1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PYCR2	ENSG00000143811	ENSMUSG00000026520	Pycr2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
PYCR3	ENSG00000104524	ENSMUSG00000022571	Pycrl	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
RBKS	ENSG00000171174	ENSMUSG00000029136	Rbks	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
RFK	ENSG00000135002	ENSMUSG00000024712	Rfk	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SHMT1	ENSG00000176974	ENSMUSG00000020534	Shmt1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SHMT2	ENSG00000182199	ENSMUSG00000025403	Shmt2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SLC6A6	ENSG00000131389	ENSMUSG00000030096	Slc6a6	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SLC6A8	ENSG00000130821	ENSMUSG00000019558	NA	NA	NEEDS_REVIEW	not_unique_one2one	110	1
SLC7A11	ENSG00000151012	ENSMUSG00000027737	Slc7a11	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SOAT1	ENSG00000057252	ENSMUSG00000026600	Soat1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SOAT2	ENSG00000167780	ENSMUSG00000023045	Soat2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SORD	ENSG00000140263	ENSMUSG00000027227	Sord	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SPHK1	ENSG00000176170	ENSMUSG00000061878	Sphk1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SPHK2	ENSG00000063176	ENSMUSG00000057342	Sphk2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
SQLE	ENSG00000104549	ENSMUSG00000022351	Sqle	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
TAT	ENSG00000198650	ENSMUSG00000001670	Tat	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
UPB1	ENSG00000100024	ENSMUSG00000033427	Upb1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
UPP1	ENSG00000183696	ENSMUSG00000020407	Upp1	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
UPP2	ENSG00000007001	ENSMUSG00000026839	Upp2	ortholog_one2one	DONE	Ensembl110_one2one;mouse_symbol_from_target_ID_lookup;not_case_conversion	110	1
