gene	GSE263733_summary_present	GSE278688_summary_present	historical_cptac_summary_present	historical_rna_n	historical_protein_n	current_matrix_evaluability	pairing_and_batch_review	independence_from_CAMP	reason	joint_metabolome_RNA_external_validation
ADH1C	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH4	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH5	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH6	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH7	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADPRM	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AGMAT	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AIFM1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AIFM2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AK4	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AK9	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1B1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1C1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1C2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1C3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AKR1C4	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH1A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH1A2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH1A3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH1B1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH3A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH3A2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH3B1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH4A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH5A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH6A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH7A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH8A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ALDH9A1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AQP10	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AQP11	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AQP3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AQP7	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AQP9	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ARG1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ARG2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ASNS	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AWAT2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BAAT	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BCAT2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BDH2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BEST2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BLVRA	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BLVRB	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
BST1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CAD	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CD38	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CES1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CES2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CMPK2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
COQ7	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CRAT	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CRYL1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CRYM	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CS	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CTPS1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CTPS2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
CYB5R3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DAGLA	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DAGLB	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DCK	False	False	True	39	66.0	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DCTD	False	False	True	39	66.0	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DCTPP1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DGAT1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DGAT2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DGKA	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DGUOK	False	False	True	39	66.0	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DHRS9	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DHRSX	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DLD	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DPYD	False	False	True	39	66.0	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DUOX1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DUOX2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DUS1L	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
DXO	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
EHHADH	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ENPP3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ENPP6	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
EPHX1	True	True	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
EPHX2	True	True	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
EPHX3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
FAAH	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
FDFT1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
FMO1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
FMO3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GAPDH	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GATM	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GDPD1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GDPD3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GFPT1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GFPT2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GGACT	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GK	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GLS	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GLUD1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GLUL	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GLYATL1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GMPS	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPAM	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPAT3	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPAT4	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPD1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPD1L	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GPD2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
GRHPR	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HADH	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HADHA	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HIBADH	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HPGD	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD11B2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B11	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B12	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B13	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B14	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B4	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B6	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD17B8	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD3B1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD3B2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
HSD3B7	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IDH3A	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IDO1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IDO2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IL4I1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IMPA1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IMPA2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
IMPDH2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
KARS1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
KYAT1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LACC1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LARS1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LARS2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LDHA	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LDHAL6A	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LDHB	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
LIPE	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
