gene	current_pool	history_only	n_current_relations	RNA_status	RNA_n	RNA_effect	RNA_p	RNA_q	RNA_positive_pairs	RNA_negative_pairs	RNA_tier	CAMP_evaluable	CAMP_nominal	CAMP_FDR	Wu_top	Pal_top	Wu_ER_top	Wu_HER2_top	Wu_TNBC_top	interpretation_cn	limitation_cn	next_action_cn	RNA_source	relation_source	cell_source	judgment_type	new_patient_statistics
ADA	True	False	2	DONE	45.0	0.0674465097110459	0.4192929235146561	0.5004463925820088	22.0	23.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Endothelial	Endothelial	Endothelial	Endothelial	Perivascular	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ADA2	True	False	2	DONE	45.0	0.4811830830806913	0.0005342935156085	0.0015815088062011602	34.0	11.0	FDR_SUPPORTED	2	1	0	Myeloid	Myeloid	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
AFMID	True	False	1	DONE	45.0	0.059133922528751	0.5182000283856616	0.5991687828209212	26.0	19.0	NOT_NOMINAL_SIGNIFICANT	1	0	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
AHCY	True	False	2	DONE	45.0	0.4663857145225857	1.3677343642915538e-07	1.0653930837639473e-06	37.0	8.0	FDR_SUPPORTED	2	0	0	Malignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ALOX15	True	False	2	DONE	45.0	0.05168202084520757	0.3312545702027935	0.4154718338136732	30.0	15.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Myeloid	Mast_cells	Myeloid	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ALOX5	True	False	1	DONE	45.0	0.4225208731026527	0.00014214150983922813	0.0004892312431675759	32.0	13.0	FDR_SUPPORTED	1	0	0	Myeloid	Mast_cells	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
AMDHD2	True	False	1	DONE	45.0	0.1743832302659883	0.0016264652966013	0.004079946845711736	33.0	12.0	FDR_SUPPORTED	1	0	0	Myeloid	Myeloid	Malignant_epithelial	Malignant_epithelial	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
AOX1	True	False	1	DONE	45.0	-1.06909760237166	1.2495238951257794e-09	2.3116192059826918e-08	6.0	39.0	FDR_SUPPORTED	1	0	0	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ARG1	True	False	2	DONE	45.0	0.0210818583845529	0.4972162022264865	0.5794330545631496	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	2	1	0	T_NK_cells	Fibroblasts	NA	NA	NA	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ARG2	True	False	2	DONE	45.0	-0.1422493617729733	0.1353951559224685	0.2024089199649024	14.0	31.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Perivascular	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ASNS	True	False	3	DONE	45.0	0.484670967461386	6.000560098222248e-07	3.86122997624736e-06	36.0	9.0	FDR_SUPPORTED	3	2	1	Malignant_epithelial	Malignant_epithelial	Plasma_cells	Malignant_epithelial	Malignant_epithelial	与GLS共同保留为谷氨酰胺专题候选；已有患者关联与Asns自身干预RNA资料。	条件相关不是独立通量；小鼠再培养细胞RNA不能证明人类谷氨酰胺介导或GLS功能补偿。	保留专题及未支持结果；当前主线停在来源，不再追加同队列模型。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
ASS1	True	False	2	DONE	45.0	-0.627676062686424	3.182912944788039e-06	1.765611973135385e-05	9.0	36.0	FDR_SUPPORTED	2	0	0	Endothelial	Malignant_epithelial	Endothelial	Endothelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
BBOX1	True	False	1	DONE	45.0	-0.5896021509461973	0.0156000375579053	0.03078407411426646	15.0	30.0	FDR_SUPPORTED	1	1	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
BCAT1	True	False	1	DONE	45.0	0.3231692490913656	0.042350661756496	0.0746178326185882	27.0	18.0	NOMINAL_P_ONLY	1	1	0	Myeloid	Myeloid	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
BCAT2	True	False	1	DONE	45.0	0.1455620665486846	0.0630952969528727	0.10661816526513393	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	1	1	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CDO1	True	False	1	DONE	45.0	-1.4595902791242863	4.758145557890335e-13	7.042055425677696e-11	0.0	45.0	FDR_SUPPORTED	1	1	0	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CEPT1	True	False	2	DONE	45.0	-0.1352273810510205	0.0065565519921756	0.01406332891075346	16.0	29.0	FDR_SUPPORTED	2	1	0	B_cells	Myeloid	B_cells	B_cells	B_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CHKA	True	False	3	DONE	45.0	0.0360581446699353	0.7511038504983943	0.8216380429596449	24.0	21.0	NOT_NOMINAL_SIGNIFICANT	3	0	0	Nonmalignant_epithelial	Mast_cells	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CHKB	True	False	3	NOT_EVALUABLE	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0	0	0	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	T_NK_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CHPT1	True	False	2	DONE	45.0	-0.3145371132231079	0.0113660069125845	0.023363458653645915	15.0	30.0	FDR_SUPPORTED	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CKB	True	False	1	DONE	45.0	-0.5869721493881079	0.0005110057104926	0.001555809951448178	11.0	34.0	FDR_SUPPORTED	1	0	0	Malignant_epithelial	Malignant_epithelial	Perivascular	Perivascular	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CKM	True	False	1	DONE	45.0	-0.0663747890742598	0.0404784370930427	0.07305864255817462	18.0	27.0	NOMINAL_P_ONLY	1	0	0	Myeloid	Myeloid	NA	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CMAS	True	False	1	DONE	45.0	0.3617682155315208	1.7384487538070643e-05	7.56736516363075e-05	33.0	12.0	FDR_SUPPORTED	1	0	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CMPK1	True	False	1	DONE	45.0	-0.1057462018908428	0.0387027688728927	0.07071617028627308	15.0	30.0	NOMINAL_P_ONLY	1	0	0	Malignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CMPK2	True	False	1	DONE	45.0	0.2715149602418175	0.0134551729341784	0.027278980743265794	26.0	19.0	FDR_SUPPORTED	1	0	0	Myeloid	Myeloid	Myeloid	Myeloid	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
CPT1A	True	False	1	DONE	45.0	-0.0232401680680624	0.7649899070752535	0.8264124543586681	13.0	32.0	NOT_NOMINAL_SIGNIFICANT	1	0	0	Endothelial	Endothelial	Endothelial	Endothelial	Endothelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False
