dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects	database_names	standard_names	aliases_used	chemical_identity_note	identity_status	mapping_status	direct_genes	n_direct_relations	n_conditional_relations
PDAC	PDAC	2-stearoylglycerol (2-monostearin)	2-stearoylglycerol (2-monostearin)			NAME:2-stearoylglycerol (2-monostearin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-1.05559683069442	0.134656071254628	0.366955135206783	0.0393227498525208	0.666666666666667	single_dataset	PDAC		2-octadecanoylglycerol	2-octadecanoylglycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DAGLA;DAGLB	2	4
PDAC	PDAC	9,10-DiHOME	9,10-DiHOME	C14828	HMDB04704	KEGG:C14828	HIGH_ID	Lipid	Fatty Acid, Dihydroxy	-1.12394110005944	0.136565801093483	0.36954810389648	0.0393227498525208	0.407407407407407	single_dataset	PDAC	9,10-DHOME;; 9,10-DHOA;; (12Z)-9,10-Dihydroxyoctadec-12-enoic acid	9,10-dihydroxy-(12Z)-octadecenoate		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	EPHX2;EPHX3	2	0
PDAC	PDAC	acetylcarnitine	acetylcarnitine	C02571	HMDB00201	KEGG:C02571	HIGH_ID	Lipid	Carnitine Metabolism	1.16517166301476	0.137775819143352	0.371181652487501	0.038488432104132	0	single_dataset	PDAC	O-Acetylcarnitine;; O-Acetyl-L-carnitine	O-acetyl-(R)-carnitine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	CRAT;SLC22A15;SLC22A5;SLC25A20	4	0
PDAC	PDAC	adenosine 3'-monophosphate (3'-AMP)	adenosine 3'-monophosphate (3'-AMP)	C01367	HMDB03540	KEGG:C01367	HIGH_ID	Nucleotide	Purine Metabolism, Adenine containing	1.1145075880122	0.136295077597765	0.369181632259468	0.0393227498525208	0	single_dataset	PDAC	3'-AMP;; 3'-Adenylic acid;; 3'-Adenosine monophosphate;; Adenosine-3'-monophosphate;; Adenosine 3'-phosphate;; AMP 3'-phosphate	3'-AMP		Historical positional-isomer identity gate unresolved; do not substitute 5-prime AMP.	HOLD	IDENTITY_REVIEW_REQUIRED		0	2
PDAC	PDAC	aspartylphenylalanine	aspartylphenylalanine		HMDB00706	HMDB:HMDB00706	HIGH_ID	Peptide	Dipeptide	-1.06654475382156	0.1349539307794	0.367360763799565	0.0393227498525208	0.148148148148148	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	4
PDAC	PDAC	butyrylcarnitine	butyrylcarnitine	C02862	HMDB02013	KEGG:C02862	HIGH_ID	Lipid	Fatty acid metabolism (also BCAA metabolism)	1.11130001277768	0.136203546247289	0.369057646238754	0.0429368517077875	0.037037037037037	single_dataset	PDAC	O-Butanoylcarnitine			Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE		0	0
PDAC	PDAC	C-glycosyltryptophan	C-glycosyltryptophan			NAME:C-glycosyltryptophan	MODERATE_NAME_ONLY	Amino Acid	Tryptophan Metabolism	1.29469451290088	0.14186054834134	0.376643795038947	0.038488432104132	0	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE		0	0
PDAC	PDAC	citrate	citrate	C00158	HMDB00094	KEGG:C00158	HIGH_ID	Energy	TCA Cycle	1.46207646435687	0.147776365083528	0.3844169157094	0.0204595468994069	0.416666666666667	single_dataset	PDAC	Citrate;; Citric acid;; 2-Hydroxy-1,2,3-propanetricarboxylic acid;; 2-Hydroxytricarballylic acid	citrate		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ACLY;ACO1;CS;SLC13A2;SLC13A5;SLC25A1;SLC25A14;SLC25A21;SLC35G1	9	4
PDAC	PDAC	gamma-glutamylglutamate	gamma-glutamylglutamate	C05282	HMDB11737	KEGG:C05282	HIGH_ID	Peptide	Gamma-glutamyl Amino Acid	1.1410671842546	0.137063118049636	0.370220364174685	0.0393227498525208	0.416666666666667	single_dataset	PDAC	(5-L-Glutamyl)-L-glutamate			Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY		0	3
PDAC	PDAC	gamma-glutamyltyrosine	gamma-glutamyltyrosine		HMDB11741	HMDB:HMDB11741	HIGH_ID	Peptide	Gamma-glutamyl Amino Acid	0.998255985859508	0.133146203874272	0.364892044136717	0.0393227498525208	0.5	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	3
PDAC	PDAC	glutamine	glutamine	C00064	HMDB00641	KEGG:C00064	HIGH_ID	Amino acid	Glutamate Metabolism	0.914316082702313	0.131087984461243	0.362060746921347	0.0393227498525208	0	single_dataset	PDAC	L-Glutamine;; L-2-Aminoglutaramic acid	L-glutamine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ASNS;BEST2;CAD;CTPS1;CTPS2;GFPT1;GFPT2;GLS;GLUL;GLYATL1;GMPS;KYAT1;NADSYN1;QARS1;SLC1A5;SLC38A3;SLC38A4;SLC38A7;SLC38A9;SLC6A14;SLC6A15;SLC6A19;SLC7A5;SLC7A6;SLC7A8	25	18
PDAC	PDAC	glycerol	glycerol	C00116	HMDB00131	KEGG:C00116	HIGH_ID	Lipid	Glycerolipid Metabolism	-1.1101312740916	0.136170260700066	0.369012548160717	0.0494122097019537	0	single_dataset	PDAC	Glycerol;; Glycerin;; 1,2,3-Trihydroxypropane;; 1,2,3-Propanetriol	glycerol		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD16B;ABHD2;ABHD6;AKR1A1;AKR1B1;AQP10;AQP11;AQP3;AQP7;AQP9;CES1;CES2;ENPP6;EPHX1;FAAH;GK;IMPA1;IMPA2;LYPLA2;MGLL;PGP;PLA2G4A;PLD3;PLD4;PNLIPRP2;PNPLA2;PNPLA3;PNPLA4;PNPLA6	31	11
PDAC	PDAC	glycerol 3-phosphate (G3P)	glycerol 3-phosphate (G3P)	C00093	HMDB00126	KEGG:C00093	HIGH_ID	Lipid	Glycerolipid Metabolism	-1.17494059733115	0.138068901232638	0.371576238789078	0.038488432104132	0	single_dataset	PDAC	sn-Glycerol 3-phosphate;; Glycerophosphoric acid;; D-Glycerol 1-phosphate	sn-glycerol 3-phosphate		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ADPRM;GDPD1;GK;GPAM;GPAT3;GPAT4;GPD1;GPD1L;GPD2;LYPLA2;PGP	11	10
PDAC	PDAC	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)	C00670	HMDB00086	KEGG:C00670	HIGH_ID	Lipid	Glycerolipid Metabolism	-1.00315352416648	0.133271870281238	0.365064200218588	0.0429368517077875	0	single_dataset	PDAC	sn-Glycero-3-phosphocholine;; Glycerophosphocholine	sn-glycerol 3-phosphocholine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ENPP6;GDPD3;LYPLA1;LYPLA2;PLA2G15;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G6;PNPLA6;PNPLA8;TMEM86A;TMEM86B	13	10
PDAC	PDAC	glycylleucine	glycylleucine	C02155	HMDB00759	KEGG:C02155	HIGH_ID	Peptide	Dipeptide	-1.14274787438444	0.137112328119218	0.370286818721945	0.0429368517077875	0	single_dataset	PDAC	Glycyl-leucine;; Glycyl-L-leucine	glycyl-L-leucine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY		0	4
PDAC	PDAC	glycylproline	glycylproline		HMDB00721	HMDB:HMDB00721	HIGH_ID	Peptide	Dipeptide	-1.43332799349651	0.146709205459354	0.383026376975991	0.0204595468994069	0.259259259259259	single_dataset	PDAC		glycyl-L-proline	glycyl-L-proline	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	PEPD;SLC15A1	2	2
PDAC	PDAC	glycylvaline	glycylvaline		HMDB28854	HMDB:HMDB28854	HIGH_ID	Peptide	Dipeptide	-1.23426244476747	0.139901188095542	0.374033672408704	0.038488432104132	0.222222222222222	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	4
PDAC	PDAC	guanosine	guanosine	C00387	HMDB00133	KEGG:C00387	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	-1.17230920845344	0.137989714988636	0.371469669002243	0.038488432104132	0	single_dataset	PDAC	Guanosine	guanosine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ENPP3;LACC1;NT5C2;NT5E;PNP;SLC22A7;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3	11	1
PDAC	PDAC	ribulose/xylulose 5-phosphate	ribulose/xylulose 5-phosphate	C00199		KEGG:C00199	HIGH_ID	Carbohydrate	Pentose Phosphate Pathway	1.15559856456039	0.137490986298755	0.37079777008331	0.038488432104132	0.25	single_dataset	PDAC	D-Ribulose 5-phosphate	D-ribulose 5-phosphate		Combined isomer feature; original C00199 identifies only ribulose; no splitting into independent measurements.	HOLD	IDENTITY_REVIEW_REQUIRED		0	6
PDAC	PDAC	leucine	leucine	C00123	HMDB00687	KEGG:C00123	HIGH_ID	Amino acid	Valine, leucine and isoleucine metabolism	-1.08625965616363	0.135498063198687	0.368100615591291	0.0429368517077875	0	single_dataset	PDAC	L-Leucine;; 2-Amino-4-methylvaleric acid;; (2S)-alpha-2-Amino-4-methylvaleric acid;; (2S)-alpha-Leucine	L-leucine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AADAT;ACE2;BCAT2;LARS1;LARS2;PLBD1;PM20D1;SLC38A9;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A19;SLC7A5;SLC7A6;SLC7A8;SLC7A9	17	9
PDAC	PDAC	lysine	lysine	C00047	HMDB00182	KEGG:C00047	HIGH_ID	Amino acid	Lysine Metabolism	-1.17673597144689	0.138123031222897	0.371649069987935	0.0429368517077875	0	single_dataset	PDAC	L-Lysine;; Lysine acid;; 2,6-Diaminohexanoic acid	L-lysine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AASS;ACE2;GGACT;KARS1;PM20D2;SLC25A15;SLC25A2;SLC25A29;SLC6A14;SLC7A1;SLC7A3;SLC7A6;SLC7A9	13	6
PDAC	PDAC	methionine sulfoxide	methionine sulfoxide	C02989	HMDB02005	KEGG:C02989	HIGH_ID	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	0.897147884644549	0.130689271997578	0.361509712176005	0.038488432104132	0	single_dataset	PDAC	L-Methionine S-oxide	L-methionine (S)-S-oxide; L-methionine (R)-S-oxide	L-methionine (S)-S-oxide; L-methionine (R)-S-oxide	Sulfoxide S/R configuration unspecified; keep both hypotheses conditional; free amino acid not protein residue.	HOLD	IDENTITY_REVIEW_REQUIRED		0	4
PDAC	PDAC	myristoleate (14:1n5)	myristoleate (14:1n5)	C08322	HMDB02000	KEGG:C08322	HIGH_ID	Lipid	Long Chain Fatty Acid	-1.17033551126068	0.137930437151368	0.371389872171237	0.038488432104132	0	single_dataset	PDAC	Myristoleic acid;; (9Z)-Tetradecenoic acid;; 9-Tetradecenoic acid;; (Z)-Tetradec-9-enoic acid	(9Z)-tetradecenoate		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY		0	1
PDAC	PDAC	N1-methylguanosine	N1-methylguanosine		HMDB01563	HMDB:HMDB01563	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	-0.943708779802441	0.131788142948271	0.36302636673976	0.0393227498525208	0.222222222222222	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE		0	0
PDAC	PDAC	nicotinamide adenine dinucleotide (NAD+)	nicotinamide adenine dinucleotide (NAD+)	C00003	HMDB00902	KEGG:C00003	HIGH_ID	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	-0.904436809471247	0.130857626041223	0.361742485811694	0.0421516533059478	0.814814814814815	single_dataset	PDAC	NAD+;; NAD;; Nicotinamide adenine dinucleotide;; DPN;; Diphosphopyridine nucleotide;; Nadide;; beta-NAD+	NAD(+)		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AASS;ADH1A;ADH1B;ADH1C;ADH4;ADH5;ADH6;ADH7;AIFM1;AIFM2;AKR1C1;AKR1C2;AKR1C3;AKR1C4;ALDH1A1;ALDH1A2;ALDH1A3;ALDH1B1;ALDH2;ALDH3A1;ALDH3A2;ALDH3B1;ALDH4A1;ALDH5A1;ALDH6A1;ALDH7A1;ALDH8A1;ALDH9A1;BDH2;BLVRA;BLVRB;BST1;CD38;COQ7;CRYL1;CRYM;CYB5R3;DHRS9;DHRSX;DLD;DUOX1;DUOX2;DUS1L;DXO;EHHADH;FDFT1;FMO1;GAPDH;GLUD1;GPD1;GPD1L;GRHPR;HADH;HADHA;HIBADH;HPGD;HSD11B2;HSD17B1;HSD17B11;HSD17B12;HSD17B13;HSD17B14;HSD17B2;HSD17B4;HSD17B6;HSD17B8;HSD3B1;HSD3B2;HSD3B7;IDH3A;IMPDH2;LDHA;LDHAL6A;LDHB;MDH1;MDH2;ME2;MTHFD2;NADK;NADK2;NADSYN1;NMNAT1;NMNAT2;NMNAT3;NOCT;NQO1;NUDT12;PARP1;PARP10;PARP11;PARP12;PARP14;PARP16;PARP2;PARP3;PARP6;PARP8;PARP9;PHGDH;PTGR2;PYCR1;PYCR2;PYCR3;PYROXD1;QDPR;RDH16;RDH5;RNLS;RTN4IP1;SARM1;SDR16C5;SDR9C7;SIRT1;SIRT2;SIRT3;SIRT4;SIRT5;SIRT6;SIRT7;SLC25A17;SLC25A47;SORD;TIPARP;UGDH;XDH	125	82
PDAC	PDAC	ornithine	ornithine	C00077	HMDB03374	KEGG:C00077	HIGH_ID	Amino Acid	Urea cycle; Arginine and Proline Metabolism	-1.23081851319797	0.139792347452817	0.373888148318207	0.038488432104132	0	single_dataset	PDAC	L-Ornithine;; (S)-2,5-Diaminovaleric acid;; (S)-2,5-Diaminopentanoic acid;; (S)-2,5-Diaminopentanoate	L-ornithine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AGMAT;ARG1;ARG2;GATM;LACC1;OAT;ODC1;OTC;PM20D2;SLC25A15;SLC25A2;SLC25A29;SLC7A3	13	5
PDAC	PDAC	pro-hydroxy-pro	pro-hydroxy-pro		HMDB06695	HMDB:HMDB06695	HIGH_ID	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1.23946473751556	0.140066175954275	0.374254159568434	0.0393227498525208	0.166666666666667	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	3
PDAC	PDAC	taurine	taurine	C00245	HMDB00251	KEGG:C00245	HIGH_ID	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	2.09553989193048	0.176668927276422	0.42032002959224	0.0113146499716752	0	single_dataset	PDAC	Taurine;; 2-Aminoethanesulfonic acid;; Aminoethylsulfonic acid	taurine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AGMAT;BAAT;FAAH;FMO1;FMO3;GATM;LRRC8A;MTO1;SLC6A6	9	11
PDAC	PDAC	thymidine	thymidine	C00214	HMDB00273	KEGG:C00214	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Thymine containing	-1.78527752078779	0.161232111732296	0.401537185989413	0.0113146499716752	0.703703703703704	single_dataset	PDAC	Thymidine;; Deoxythymidine	thymidine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	NT5E;NT5M;SAMHD1;SLC28A1;SLC28A3;SLC29A1;SLC29A2;SLC29A3;TK1;TK2;TYMP	11	1
PDAC	PDAC	thymidine 3'-monophosphate	thymidine 3'-monophosphate			NAME:thymidine 3'-monophosphate	MODERATE_NAME_ONLY	Nucleotide	Pyrimidine Metabolism, Thymine containing	-1.54116688222222	0.150821592919839	0.388357558082547	0.0113146499716752	0.666666666666667	single_dataset	PDAC		thymidine 3'-phosphate	thymidine 3'-phosphate	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	NT5M	1	1
PDAC	PDAC	thymine	thymine	C00178	HMDB00262	KEGG:C00178	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Thymine containing	-1.17509348695673	0.138073507589449	0.371582437138045	0.038488432104132	0.444444444444444	single_dataset	PDAC	Thymine;; 5-Methyluracil	thymine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DPYD;SLC29A1;SLC29A2;TYMP	4	0
PDAC	PDAC	tryptophan	tryptophan	C00078	HMDB00929	KEGG:C00078	HIGH_ID	Amino acid	Tryptophan Metabolism	-1.22234650105532	0.139525895609373	0.373531652754318	0.038488432104132	0	single_dataset	PDAC	L-Tryptophan;; Tryptophan;; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid	L-tryptophan		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AADAT;IDO1;IDO2;IL4I1;SLC16A10;SLC36A4;SLC6A14;SLC6A19;SLC7A5;SLC7A8;SLCO3A1;TDO2;TPH2;WARS1;WARS2	15	4
