layer	metabolite_key	metabolite_name	gene	source_metabolite	name_numeric_nonconstant_pass	structural_reason	gene_finite_n	gene_nonzero_n	analysis_status	admission_status	admission_reason
RNA	KEGG:C00147	adenine	AQP9	Adenine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C03794	adenylosuccinate	ADSS2	Adenylocuccinic Acid	False	TYPO_REQUIRES_CONFIRMATION	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00152	asparagine	SLC38A3	L-Asparagine Anhydrous	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00386	carnosine	SLC15A3	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00475	cytidine	NT5C3A	Cytidine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00111	dihydroxyacetone phosphate (DHAP)	GNPAT	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00051	glutathione, reduced (GSH)	GSTA4	Glutathione Reducedform	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00051	glutathione, reduced (GSH)	GSTO2	Glutathione Reducedform	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00051	glutathione, reduced (GSH)	GSTT2	Glutathione Reducedform	True	PASS	6	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00051	glutathione, reduced (GSH)	GSTT2B	Glutathione Reducedform	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00051	glutathione, reduced (GSH)	HAGH	Glutathione Reducedform	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00670	glycerophosphorylcholine (GPC)	PLA2G15	Sn-Glycero-3-Phosphocholine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00242	guanine	SLC29A3	Guanine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00387	guanosine	SLC29A3	Guanosine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00388	histamine	HDC	Histamine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00130	inosine 5'-monophosphate (IMP)	CANT1	Inosine 5'-monophosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00130	inosine 5'-monophosphate (IMP)	ENTPD3	Inosine 5'-monophosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00130	inosine 5'-monophosphate (IMP)	GMPR	Inosine 5'-monophosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00407	isoleucine	BCAT2	L-Isoleucine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00407	isoleucine	SLC7A8	L-Isoleucine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00123	leucine	SLC6A17	DL-Leucine	False	STEREOCHEMISTRY_UNRESOLVED	6	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00123	leucine	SLC7A8	DL-Leucine	False	STEREOCHEMISTRY_UNRESOLVED	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00148	proline	SLC6A17	L-Proline	True	PASS	6	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00245	taurine	SLC6A6	Taurine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00299	uridine	SLC29A1	Uridine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00299	uridine	UCKL1	Uridine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00299	uridine	UPP2	Uridine	True	PASS	6	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00015	uridine 5'-diphosphate (UDP)	B4GALT2	Uridine 5’-Diphosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00015	uridine 5'-diphosphate (UDP)	NME6	Uridine 5’-Diphosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C02918	1-methylnicotinamide	NNMT	N-Methylnicotinamide	False	AMBIGUOUS_NAME	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00631	2-phosphoglycerate	BPGM	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00631	2-phosphoglycerate	ENO2	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00631	2-phosphoglycerate	PGAM2	NA	False	NOT_FOUND_IN_NAME_SCREEN;GENE_ROW_ABSENT_OR_NONUNIQUE;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C04501	N-Acetylglucosamine 1-phosphate	UAP1	N-Acetylglucosamine 1-Phosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C01042	N-acetylaspartate (NAA)	ASPA	N-Acetylaspartate	False	GENE_INCOMPLETE	1	1	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00019	S-adenosylmethionine (SAM)	ICMT	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00019	S-adenosylmethionine (SAM)	KMT5A	S-Adenosyl-L-Methionine	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00019	S-adenosylmethionine (SAM)	NNMT	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00019	S-adenosylmethionine (SAM)	PRMT7	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00147	adenine	AQP9	Adenine	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C03794	adenylosuccinate	ADSS2	Adenylocuccinic Acid	False	TYPO_REQUIRES_CONFIRMATION	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00152	asparagine	SLC38A3	L-Asparagine Anhydrous	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00386	carnosine	SLC15A3	NA	False	NOT_FOUND_IN_NAME_SCREEN;GENE_INCOMPLETE;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	1	1	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00475	cytidine	NT5C3A	Cytidine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00111	dihydroxyacetone phosphate (DHAP)	GNPAT	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00051	glutathione, reduced (GSH)	GSTA4	Glutathione Reducedform	False	GENE_INCOMPLETE	0	0	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00051	glutathione, reduced (GSH)	GSTO2	Glutathione Reducedform	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00051	glutathione, reduced (GSH)	GSTT2	Glutathione Reducedform	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00051	glutathione, reduced (GSH)	GSTT2B	Glutathione Reducedform	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00051	glutathione, reduced (GSH)	HAGH	Glutathione Reducedform	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00670	glycerophosphorylcholine (GPC)	PLA2G15	Sn-Glycero-3-Phosphocholine	False	GENE_INCOMPLETE	5	5	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00242	guanine	SLC29A3	Guanine	False	GENE_INCOMPLETE	5	5	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00387	guanosine	SLC29A3	Guanosine	False	GENE_INCOMPLETE	5	5	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00388	histamine	HDC	Histamine	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00130	inosine 5'-monophosphate (IMP)	CANT1	Inosine 5'-monophosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00130	inosine 5'-monophosphate (IMP)	ENTPD3	Inosine 5'-monophosphate	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00130	inosine 5'-monophosphate (IMP)	GMPR	Inosine 5'-monophosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00407	isoleucine	BCAT2	L-Isoleucine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00407	isoleucine	SLC7A8	L-Isoleucine	False	GENE_INCOMPLETE	4	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00123	leucine	SLC6A17	DL-Leucine	False	STEREOCHEMISTRY_UNRESOLVED;GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00123	leucine	SLC7A8	DL-Leucine	False	STEREOCHEMISTRY_UNRESOLVED;GENE_INCOMPLETE	4	4	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00148	proline	SLC6A17	L-Proline	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00245	taurine	SLC6A6	Taurine	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00299	uridine	SLC29A1	Uridine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00299	uridine	UCKL1	Uridine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00299	uridine	UPP2	Uridine	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00015	uridine 5'-diphosphate (UDP)	B4GALT2	Uridine 5’-Diphosphate	False	GENE_ROW_ABSENT_OR_NONUNIQUE	NA	NA	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
PROTEIN	KEGG:C00015	uridine 5'-diphosphate (UDP)	NME6	Uridine 5’-Diphosphate	False	GENE_INCOMPLETE	5	5	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
