evidence_id	gene	verified_PMID	verified_DOI	verified_title	publication_year	source_url	pmcid	independent_read_depth	assessment	supplement_locator	linked_comments	integrity_limit
E25	NME6	34789336	10.1186/s13578-021-00707-0	NME6 is a phosphotransfer-inactive, monomeric NME/NDPK family member and functions in complexes at the interface of mitochondrial inner membrane and matrix.	2021	https://pubmed.ncbi.nlm.nih.gov/34789336/	PMC8597243	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E26	NME6	37770567	10.1038/s41556-023-01244-3	Regulators of mitonuclear balance link mitochondrial metabolism to mtDNA expression.	2023	https://pubmed.ncbi.nlm.nih.gov/37770567/	PMC11370000	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	"{""commentCorrection"": [{""source"": ""MED"", ""id"": ""36798306"", ""reference"": ""bioRxiv. 2023 Feb 11:2023.02.11.528118. doi: 10.1101/2023.02.11.528118."", ""type"": ""Update of"", ""orderIn"": 1}, {""source"": ""PPR"", ""id"": ""PPR615481"", ""type"": ""Preprint in"", ""note"": ""CrossRef Pre-print loader"", ""orderIn"": 10002}]}"	Index metadata checked; not a systematic retraction/image audit
E27	NME6	37439264	10.15252/embj.2022113256	Ribonucleotide synthesis by NME6 fuels mitochondrial gene expression.	2023	https://pubmed.ncbi.nlm.nih.gov/37439264/	PMC10505918	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	"{""commentCorrection"": [{""source"": ""MED"", ""id"": ""37548337"", ""reference"": ""EMBO J. 2023 Sep 18;42(18):e114990. doi: 10.15252/embj.2023114990"", ""type"": ""Comment in"", ""orderIn"": 1}, {""source"": ""PPR"", ""id"": ""PPR577277"", ""type"": ""Preprint in"", ""note"": ""CrossRef Pre-print loader"", ""orderIn"": 10002}]}"	Index metadata checked; not a systematic retraction/image audit
E28	NME6	39273527	10.3390/ijms25179580	Mitochondrial NME6 Influences Basic Cellular Processes in Tumor Cells In Vitro.	2024	https://pubmed.ncbi.nlm.nih.gov/39273527/	PMC11395177	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E29	SLC6A17	18768736	10.1124/mol.108.050005	The orphan transporter Rxt1/NTT4 (SLC6A17) functions as a synaptic vesicle amino acid transporter selective for proline, glycine, leucine, and alanine.	2008	https://pubmed.ncbi.nlm.nih.gov/18768736/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E30	SLC6A17	19147495	10.1074/jbc.m806407200	Synaptic Vesicle Protein NTT4/XT1 (SLC6A17) Catalyzes Na+-coupled Neutral Amino Acid Transport.	2009	https://pubmed.ncbi.nlm.nih.gov/19147495/	PMC2659202	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E31	HAGH	41750552	10.3390/antiox15020171	Glyoxalase 2 Drives D-Lactate Oncometabolite Signaling to Promote Prostate Cancer Aggressiveness via FAK/Src Activation.	2026	https://www.mdpi.com/2076-3921/15/2/171	PMC12938239	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E32	NT5C3A	25000516	10.1097/fpc.0000000000000072	NT5C3 polymorphisms and outcome of first induction chemotherapy in acute myeloid leukemia.	2014	https://pubmed.ncbi.nlm.nih.gov/25000516/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E33	SLC15A3	42454485	10.1172/jci199709	SLC15A3-mediated dipeptide metabolism confers antimetabolite resistance in lymphoma via mTORC1 activation.	2026	https://www.jci.org/articles/view/199709	PMC13367966	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E34	SLC15A3	39719710	10.1016/j.str.2024.11.019	The structures of the peptide transporters SLC15A3 and SLC15A4 reveal the recognition mechanisms for substrate and TASL.	2025	https://pubmed.ncbi.nlm.nih.gov/39719710/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E35	SLC7A8	30419950	10.1186/s13046-018-0947-4	LAT2 regulates glutamine-dependent mTOR activation to promote glycolysis and chemoresistance in pancreatic cancer.	2018	https://pubmed.ncbi.nlm.nih.gov/30419950/	PMC6233565	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E36	UAP1	25241896	10.1038/onc.2014.307	UAP1 is overexpressed in prostate cancer and is protective against inhibitors of N-linked glycosylation.	2015	https://pubmed.ncbi.nlm.nih.gov/25241896/	NA	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E37	UPP2	21855639	10.1016/j.jsb.2011.08.002	A novel structural mechanism for redox regulation of uridine phosphorylase 2 activity.	2011	https://pubmed.ncbi.nlm.nih.gov/21855639/	PMC3190963	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E38	GSTT2	17250773	10.1186/1471-2407-7-16	GSTT2 promoter polymorphisms and colorectal cancer risk.	2007	https://pubmed.ncbi.nlm.nih.gov/17250773/	PMC1793996	ABSTRACT	CATEGORY_CONSISTENT_WITH_READ_SCOPE	NA	{}	Index metadata checked; not a systematic retraction/image audit
E39	ENTPD3	38755598	10.1186/s12964-024-01654-2	Tumor derived exosomal ENTPD2 impair CD8&lt;sup&gt;+&lt;/sup&gt; T cell function in colon cancer through ATP-adenosine metabolism reprogramming.	2024	https://pubmed.ncbi.nlm.nih.gov/38755598/	PMC11097558	ABSTRACT	INTENTIONAL_OTHER_GENE_EXCLUSION_CONFIRMED	NA	{}	Index metadata checked; not a systematic retraction/image audit
E40	ASPA	27705916	10.18632/oncotarget.12336	Asporin enhances colorectal cancer metastasis through activating the EGFR/src/cortactin signaling pathway.	2016	https://pubmed.ncbi.nlm.nih.gov/27705916/	PMC5341987	ABSTRACT	INTENTIONAL_OTHER_GENE_EXCLUSION_CONFIRMED	NA	{}	Index metadata checked; not a systematic retraction/image audit
