metabolite_name	metabolite_key	selected_paired_P_lt_005	paired_P	paired_q	up_pairs	down_pairs	equal_pairs	both_observed_pairs	original_effect	original_q	mapping_state	direct_relations	conditional_relations	unresolved_relations	identity_status	identity_note	legacy_feature	genes
UDP-N-acetylglucosamine	KEGG:C00043	True	1.0606732958025696e-05	8.876160738558345e-05	27	6	0	33	0.939007643120185	0.000290785192477196	HAS_DIRECT_RELATIONS	15	3	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	B3GNT2;B3GNT3;B3GNT4;DPAGT1;ENPP3;GALE;GNE;SLC35A2;SLC35A3;SLC35A5;SLC35B4;SLC35D1;SLC35D2;SLC35D4;UAP1
1-methylnicotinamide	KEGG:C02918	True	1.7295905123417605e-05	0.0001250022233919727	29	4	0	33	0.736754320620112	0.0104274039204103	HAS_DIRECT_RELATIONS	3	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NNMT;SLC22A1;SLC22A2
proline	KEGG:C00148	True	1.4692006662221896e-06	1.9466908827444013e-05	30	3	0	33	1.83185674666479	3.7774906946348e-08	HAS_DIRECT_RELATIONS	17	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	EPRS1;PARS2;PRODH;PYCR1;PYCR2;PYCR3;SLC1A4;SLC36A1;SLC36A2;SLC36A4;SLC38A1;SLC38A2;SLC38A4;SLC6A15;SLC6A17;SLC6A20;SLC6A7
kynurenine	KEGG:C00328	True	8.782118560905848e-05	0.00035804021825231537	28	5	0	30	1.03558795953485	0.000218307827746403	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;AFMID;GOT2;KMO;KYAT1;KYAT3;KYNU;SLC7A11;SLC7A5
5-methylthioadenosine (MTA)	KEGG:C00170	True	3.7242647279456434e-05	0.000219317811756799	24	6	3	20	0.794416000324265	0.00110684292910678	HAS_DIRECT_RELATIONS	4	1	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	LACC1;MTAP;SMS;SRM
3-hydroxy-3-methylglutarate	KEGG:C03761	True	1.404771606093229e-06	1.9466908827444013e-05	30	2	1	26	1.28253291327222	4.64513926849744e-06	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACOT8;SUGCT
glycylglycine	KEGG:C02037	True	7.02044012817468e-05	0.0003283088177587571	29	4	0	30	1.09439254708472	5.32472647854001e-06	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
xanthine	KEGG:C00385	True	0.01034635631729135	0.0203095142524608	24	9	0	28	0.38387480653592	0.12185706354843	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	GDA;XDH
taurine	KEGG:C00245	True	1.0246143586016148e-06	1.8101520335295194e-05	30	3	0	33	1.76824722222295	3.7774906946348e-08	HAS_DIRECT_RELATIONS	17	0	10	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AGMAT;BAAT;CSAD;FAAH;FMO1;FMO3;GADL1;GATM;LRRC8A;LRRC8B;LRRC8C;LRRC8D;LRRC8E;SLC16A6;SLC6A11;SLC6A13;SLC6A6
1-methyladenosine	KEGG:C02494	True	0.00020583772884590765	0.0007438227019658936	23	5	5	19	0.744539332175952	0.0104274039204103	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
N-Acetylglucosamine 1-phosphate	KEGG:C04501	True	0.0039060080746021477	0.008872218340882022	24	9	0	33	0.651874150570456	0.0233237692703757	HAS_DIRECT_RELATIONS	3	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENPP3;PGM3;UAP1
UDP-glucuronate	KEGG:C00167	True	8.782118560905848e-05	0.00035804021825231537	29	4	0	32	0.51439178620292	0.0104274039204103	HAS_DIRECT_RELATIONS	24	2	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	SLC35A5;SLC35B4;SLC35D1;UGDH;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A2;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7;UXS1
5-hydroxylysine	KEGG:C16741	True	8.782118560905848e-05	0.00035804021825231537	26	7	0	14	1.10235368258317	0.000106513585786417	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 只能匹配游离化合物参与的反应，不由名称跳接胶原蛋白残基羟化酶。	True	HYKK
adenine	KEGG:C00147	True	0.00038999365261257655	0.0012401798153079935	27	6	0	28	1.00605822007937	0.000171933865206755	HAS_DIRECT_RELATIONS	7	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	APRT;AQP9;LACC1;MTAP;SLC29A1;SLC29A2;SLC43A3
guanosine 5'- diphosphate (GDP)	KEGG:C00035	True	0.049498046027749744	0.07792266651893276	21	9	3	22	0.333738755268872	0.0903180799619314	HAS_DIRECT_RELATIONS	26	55	15	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ADSS1;ADSS2;AK3;AK4;AK9;CANT1;DPM1;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;GUK1;HDDC3;HYKK;NME1;NME2;NME3;NME4;PCK1;PCK2;SLC22A7;SLC25A33;SLC25A36;SUCLG1;SUCLG2
isoleucine	KEGG:C00407	True	0.0027637524655597713	0.006580946070312909	23	10	0	33	0.567578731556765	0.0446064691375585	HAS_DIRECT_RELATIONS	11	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	BCAT1;BCAT2;IARS1;IARS2;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A19;SLC7A5;SLC7A8
pantothenate	KEGG:C00864	True	0.001730676179816164	0.004438346977270485	19	3	11	21	0.326974894895062	0.166569309698962	HAS_DIRECT_RELATIONS	6	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	PANK1;PANK2;PANK3;SLC5A6;VNN1;VNN2
leucine	KEGG:C00123	True	0.004625048279580867	0.010339052808736149	23	10	0	33	0.50839089312706	0.0398980189569739	HAS_DIRECT_RELATIONS	22	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;BCAT1;BCAT2;LARS1;LARS2;SLC25A44;SLC38A10;SLC38A2;SLC38A8;SLC38A9;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A17;SLC6A19;SLC7A13;SLC7A5;SLC7A6;SLC7A7;SLC7A8;SLC7A9
tyrosine	KEGG:C00082	True	0.01034635631729135	0.0203095142524608	21	12	0	33	0.543601589293918	0.0398980189569739	HAS_DIRECT_RELATIONS	15	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;IL4I1;PAH;SLC16A10;SLC38A9;SLC6A14;SLC6A19;SLC7A13;SLC7A5;SLCO3A1;TAT;TH;TYR;YARS1;YARS2
asparagine	KEGG:C00152	True	0.00031776764072712137	0.0010983707581654848	26	7	0	33	0.690613414767693	0.0163500248519711	HAS_DIRECT_RELATIONS	14	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ASNS;ASRGL1;NARS1;NARS2;SLC1A4;SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A4;SLC38A7;SLC38A9;SLC6A14;SLC6A15
threonine	KEGG:C00188	True	0.003105214771290092	0.0072607227740459504	23	10	0	33	0.480107439619451	0.0684250522915698	HAS_DIRECT_RELATIONS	16	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	CNDP2;SDS;SDSL;SHMT1;SLC1A4;SLC1A5;SLC38A1;SLC38A2;SLC38A4;SLC6A14;SLC6A15;SLC7A10;TARS1;TARS2;TARS3;YRDC
S-adenosylhomocysteine (SAH)	KEGG:C00021	True	0.02271774835753083	0.04013468876497113	25	8	0	33	0.175751567715889	0.0807523280020274	HAS_DIRECT_RELATIONS	16	59	7	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	AHCY;ASMT;CARNMT1;COMT;COQ3;COQ5;GAMT;GNMT;HNMT;INMT;LRTOMT;NNMT;PEMT;PNMT;SLC25A26;TPMT
3-hydroxyproline	KEGG:C05147	True	0.0008074799318267016	0.002334351075644465	25	8	0	33	0.611551652327855	0.0128731320770819	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 只能匹配游离化合物参与的反应，不由名称跳接胶原蛋白残基羟化酶。	True	L3HYPDH
spermidine	KEGG:C00315	True	0.0327442210844028	0.054232616171042136	21	12	0	33	0.305948873264586	0.038270274465541	HAS_DIRECT_RELATIONS	12	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ATP13A2;PANX1;PAOX;SLC18B1;SLC22A1;SLC22A16;SLC22A2;SLC22A3;SLC45A4;SMOX;SMS;SRM
phenylalanine	KEGG:C00079	True	0.004890136763147199	0.010507185747843305	20	13	0	33	0.462912443149273	0.0539757777143879	HAS_DIRECT_RELATIONS	20	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	AADAT;CNDP2;FARS2;FARSA;FARSB;IL4I1;KYAT1;PAH;SLC16A10;SLC38A2;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A19;SLC7A13;SLC7A5;SLC7A8;SLC7A9;SLCO3A1
5-oxoproline	KEGG:C01879	True	0.026111816620290225	0.04464278325404458	20	13	0	33	0.554592396304544	0.127599886571314	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	CHAC1;CHAC2;GGCT;OPLAH;SLC5A8
deoxycarnitine	KEGG:C01181	True	0.015474009505206743	0.029290089420569907	22	11	0	33	0.401770332905077	0.127799215065539	HAS_DIRECT_RELATIONS	2	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALDH9A1;BBOX1
succinate	KEGG:C00042	True	0.007969184101149924	0.016244875283113306	25	8	0	33	0.337546713220222	0.120347758489168	HAS_DIRECT_RELATIONS	22	11	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8;ALDH2;ALDH5A1;BBOX1;OXCT1;OXCT2;SDHA;SDHB;SLC13A2;SLC13A3;SLC16A1;SLC22A24;SLC25A1;SLC25A10;SLC25A11;SLC25A14;SLC25A30;SUCLA2;SUCLG1;SUCLG2;SUGCT;TMLHE
glutamate	KEGG:C00025	True	3.0175463689848174e-05	0.0001919159490674344	26	7	0	33	0.752532488926264	0.00205315909153294	CONDITIONAL_IDENTITY	0	91	0	HOLD_ID_CONFLICT	KEGG C00025 为 L-Glutamate；原 HMDB03339 为 D-Glutamic acid。回查作者注释前保留两种假设，不确定为 L 型。	True	NA
adenosine 2'-monophosphate (2'-AMP)	KEGG:C00946	True	0.04833683244085745	0.07685556358096335	24	9	0	33	0.204733660018642	0.172918355303496	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
2-hydroxyglutarate	KEGG:C02630	True	0.03577549632825887	0.05864230841436247	24	9	0	33	0.302010203733919	0.170970135184171	CONDITIONAL_IDENTITY	0	5	0	HOLD_STEREOCHEMISTRY	Unresolved measured stereoisomer; R/S are hypotheses, not separate measurements.	False	NA
N-acetylglutamate	KEGG:C00624	True	0.0006645017384850796	0.0019609938677247972	25	8	0	30	0.396255826342602	0.127599886571314	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ABCC5;NAGS
uridine 5'-diphosphate (UDP)	KEGG:C00015	True	0.02167496397100788	0.03872268844258711	24	9	0	32	0.400708300009171	0.0458478582879108	HAS_DIRECT_RELATIONS	54	9	13	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AK4;AK9;ALG5;B3GNT2;B3GNT3;B3GNT4;B4GALNT1;B4GALT1;B4GALT2;B4GALT4;B4GALT5;B4GALT6;CANT1;CMPK1;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;GNE;GYG1;GYG2;GYS1;GYS2;NME1;NME2;NME3;NME4;NME6;SLC25A33;SLC25A36;SLC35B1;UGCG;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A2;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7;UGT8
serine	KEGG:C00065	True	0.02493472093799953	0.043567259660900276	8	25	0	33	-0.356571543699527	0.159943053674959	CONDITIONAL_IDENTITY	0	36	0	HOLD_D_L_ID_CONFLICT	Original KEGG L-serine vs HMDB0003406 D-serine; https://hmdb.ca/metabolites/HMDB0003406	False	NA
fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates	KEGG:C00354	True	0.04634221458528061	0.07442840524302644	19	14	0	32	0.336260528935214	0.133869593570965	CONDITIONAL_IDENTITY	0	8	0	HOLD_COMBINED_FEATURE	Only original fructose-1,6-bisphosphate hypothesis screened here; other combined components unresolved.	False	NA
betaine	KEGG:C00719	True	0.026111816620290225	0.04464278325404458	11	22	0	33	-0.296275896426128	0.296348707671649	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALDH7A1;BHMT;SLC22A15;SLC22A4;SLC22A5;SLC6A12;SLC6A20
UDP-glucose	KEGG:C00029	True	0.02993561432435854	0.050102765027084294	12	21	0	32	-0.479570976201485	0.118950274477379	HAS_DIRECT_RELATIONS	15	1	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALG5;GALE;GALT;GYG1;GYG2;GYS1;GYS2;SLC35A2;SLC35D1;SLC35D2;SLC35D3;UGCG;UGDH;UGP2;UGT2B7
3-methylhistidine	KEGG:C01152	True	0.0027637524655597713	0.006580946070312909	8	25	0	33	-0.284211103884199	0.355731040548491	CONDITIONAL_IDENTITY	0	2	0	HOLD_METHYL_POSITION_NOMENCLATURE	Source feature and KEGG historical 1/3-methyl synonyms require position-specific annotation check; no histone residue enzyme jump.	False	NA
2-hydroxybutyrate (AHB)	KEGG:C05984	True	0.0005409786482367017	0.0016541462513391457	5	22	6	26	-0.336422998573065	0.12185706354843	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
uridine	KEGG:C00299	True	0.0004463766618392549	0.0013916448869106183	8	25	0	33	-0.928810287622812	0.00111232647907128	HAS_DIRECT_RELATIONS	16	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CDA;NT5C;NT5C2;NT5E;NT5M;SLC28A1;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3;UCK1;UCK2;UCKL1;UPP1;UPP2
2-Hydroxypentanoate	NAME:2-Hydroxypentanoate	True	0.045484489171984846	0.07379626304434275	9	20	4	25	-0.343884307751192	0.296348707671649	CONDITIONAL_IDENTITY	0	0	0	HOLD_NO_EXACT_DATABASE_ID	Original KEGG/HMDB empty; scoped KEGG name search returned no entry. Not negative biological evidence.	False	NA
1-methylhistamine	KEGG:C05127	True	0.002773103061075251	0.006580946070312909	8	24	1	30	-0.596838488935626	0.0258711210739767	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AOC1;HNMT
guanidinoacetate	KEGG:C00581	True	0.00019497298967102218	0.0007269690833274863	6	27	0	33	-0.522523018986262	0.0074791702312904	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	GAMT;GATM
glucuronate	KEGG:C00191	True	0.026398980713274567	0.04465359503628358	7	16	10	18	-0.445301518249616	0.102697311380866	HAS_DIRECT_RELATIONS	4	1	19	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	GUSB;KL;MIOX;SLC17A5
sebacate (decanedioate)	KEGG:C08277	True	0.017873515819031526	0.03273084757547438	6	22	5	24	-0.289870484694869	0.12185706354843	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8
uridine 5'-monophosphate (UMP)	KEGG:C00105	True	0.015474009505206743	0.029290089420569907	12	21	0	33	-0.495355829225026	0.0859555339031192	HAS_DIRECT_RELATIONS	28	0	6	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ASMTL;CANT1;CMPK1;DPAGT1;ENPP1;ENPP3;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;NT5C;NT5C2;NT5E;NT5M;SLC25A36;SLC35A1;SLC35A2;SLC35A3;SLC35A5;SLC35D1;SLC35D2;SLC35D4;UCK1;UCK2;UCKL1;UMPS
inosine	KEGG:C00294	True	0.006433188589840646	0.01345890770769293	8	25	0	33	-0.467146949402204	0.00317493716792095	HAS_DIRECT_RELATIONS	13	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADA;ADA2;LACC1;NT5C;NT5C1A;NT5C2;NT5E;PNP;SLC28A2;SLC28A3;SLC29A1;SLC29A2;SLC29A3
3-hydroxybutyrate (BHBA)	KEGG:C01089	True	0.0001756918371506169	0.0006813415148036119	6	23	4	28	-0.337141033258101	0.201308384491351	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	BDH1;BDH2;SLC16A1;SLC16A7;SLC5A8
creatine	KEGG:C00300	True	9.456859109027828e-05	0.0003759101495838562	6	27	0	33	-0.803110403962142	0.0051099208710439	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	CKB;CKM;CKMT1A;CKMT1B;CKMT2;GAMT;SLC16A9;SLC22A15;SLC6A8
