file	row_grain	data_scope	n_columns	status	result_paths	reason
mapping_evidence.tsv	one evidence source per relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/mapping_evidence.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
direct_relations.tsv	one unique direct relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/direct_relations.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
conditional_relations.tsv	one unresolved conditional relation	PUBLIC_ANNOTATION	20	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/conditional_relations.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
gene_pool_current.tsv	one stable gene identity	PUBLIC_ANNOTATION	11	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/gene_pool_current.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
gene_pool_history_union.tsv	one stable gene identity	PUBLIC_ANNOTATION	11	DONE	results/PDAC/02_MAPPING/20260922T112600Z_sop_v3_mapping/gene_pool_history_union.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
tumor_association.tsv	one exact metabolite-gene relation in one cohort/family	PUBLIC_AGGREGATE	42	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/tumor_association.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
tumor_association_available.tsv	one exact metabolite-gene relation in one cohort/family	PUBLIC_AGGREGATE	42	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/tumor_association_available.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
relation_coverage.tsv	one relation and cohort	PUBLIC_AGGREGATE	13	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/relation_coverage.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
paired_RNA.tsv	one gene within RNA contrast/family	PUBLIC_AGGREGATE	44	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/paired_RNA.tsv;results/PDAC/03_PATIENT/20260922T120300Z_sop_v3_internal/paired_RNA.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
RNA_P005_view.tsv	one gene within RNA contrast/family	PUBLIC_AGGREGATE	44	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/RNA_P005_view.tsv;results/PDAC/03_PATIENT/20260922T120300Z_sop_v3_internal/RNA_P005_view.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
RNA_identity_coverage.tsv	one requested gene and platform	PUBLIC_ANNOTATION	10	DONE	results/PDAC/03_PATIENT/20260922T112700Z_sop_v3_patient/RNA_identity_coverage.tsv;results/PDAC/03_PATIENT/20260922T120300Z_sop_v3_internal/RNA_identity_coverage.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
sc_dataset_registry.tsv	one scRNA study release	PUBLIC_PROVENANCE	15	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_dataset_registry.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_annotation_map.tsv	one author class to coarse class	PUBLIC_ANNOTATION	9	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_annotation_map.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_gene_coverage.tsv	one requested gene and study	PUBLIC_ANNOTATION	10	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_gene_coverage.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_donor_profiles_private.tsv	one donor-celltype-gene-partition	SERVER_PRIVATE	13	DONE_SERVER_PRIVATE	/public3/xuzx/Cancer/pancancer_metabolomics_direct_matrix_20260716/results/collaborative/PDAC/B/20260922T131800Z_author_identity_v4/private/GSE*_sc_donor_profiles_private.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_celltype_profiles.tsv	one gene-celltype-study-partition	PUBLIC_AGGREGATE	36	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE263733.tsv;results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE278688.tsv;results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_celltype_profiles_GSE242230.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_source_stability.tsv	one gene-study-partition	PUBLIC_AGGREGATE	22	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_source_stability.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
sc_cross_study.tsv	one gene and explicit study pair	PUBLIC_AGGREGATE	17	DONE	results/PDAC/06_EXTERNAL/20260922T131800Z_author_identity_v4/sc_cross_study.tsv	v4 retains author identity;GSE242230 split;other2 ductal identities unresolved;not all3 malignant validation
candidate_relations_integrated.tsv	one relation with explicit source versions	PUBLIC_AGGREGATE	31	DONE	results/PDAC/07_INTEGRATION/20260922T131900Z_author_identity_v4/candidate_relations_integrated.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
candidate_genes_integrated.tsv	one gene in history union	PUBLIC_AGGREGATE	17	DONE	results/PDAC/07_INTEGRATION/20260922T131900Z_author_identity_v4/candidate_genes_integrated.tsv	Complete planned rows and individual not-evaluable statuses retained;not mechanism/external validation
