cancer	dataset	gene	in_feature_dictionary	expression_detection	cells_expressing	patients_evaluable	interpretation
BRCA	GSE161529	CMPK2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CPT1A	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CPT1B	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CPT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CRAT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CROT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	CTNS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	DPYD	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	DPYS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ETNK1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ETNK2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	FDFT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	FH	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	FOLH1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GAMT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GCLC	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GDA	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GDPD5	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GLS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GLS2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GLUL	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GNPNAT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GOT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GOT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GPCPD1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GPI	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GSR	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	GSS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	HAL	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	HPD	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	HPRT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	IDNK	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	IMPA1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	IMPA2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	KHK	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	KMO	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	KYNU	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	LDHA	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	LDHB	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MAT1A	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MAT2A	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MDH1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MDH2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MGAM	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	MPI	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	NAGK	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	NAMPT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	NNMT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	NPL	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	OAT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	ODC1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	OTC	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PAH	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PANK1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PANK2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PANK3	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PCYT1A	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PCYT1B	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PCYT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PEPD	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PFKL	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PFKM	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PFKP	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PGD	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PGM3	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PMM1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PMM2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PNP	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PPA1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PPA2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PRODH	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PRODH2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PYCR1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PYCR2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	PYCR3	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	RBKS	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	RFK	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SHMT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SHMT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SLC6A6	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SLC6A8	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SLC7A11	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SOAT1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SOAT2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SORD	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SPHK1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SPHK2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	SQLE	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	TAT	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	UPB1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	UPP1	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
BRCA	GSE161529	UPP2	True	NOT_RUN	NA	NA	Dictionary inclusion is not observed expression
