gene	n_shared_celltypes	interpretation	ER+_status	ER+_reason	ER+_top	ER+_second	ER+_effect	ER+_gap	ER+_n	ER+_detection	ER+_top_cn	ER+_shared_top	ER+_shared_status	HER2+_status	HER2+_reason	HER2+_top	HER2+_second	HER2+_effect	HER2+_gap	HER2+_n	HER2+_detection	HER2+_top_cn	HER2+_shared_top	HER2+_shared_status	TNBC_status	TNBC_reason	TNBC_top	TNBC_second	TNBC_effect	TNBC_gap	TNBC_n	TNBC_detection	TNBC_top_cn	TNBC_shared_top	TNBC_shared_status	same_top_all3	same_top_shared3	status	pattern	equal_subtype_top	omit_ER+_top	omit_HER2+_top	omit_TNBC_top	omit_one_equal_subtype_top_changes
AFMID	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2139588850036147	0.020646371189417007	9	0.2606214130097049	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Perivascular	0.2173330516442388	0.1067452941689647	3	0.3403589396464296	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2419593532911231	0.05229607377424361	8	0.304087577123169	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
AHCY	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.4830274672784189	0.011409060462823195	4	0.5875712480263721	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.5581727325910968	0.2623542103631681	3	0.6605256203632061	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.5795939284686691	0.02068341311421318	8	0.5617927060827225	恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
ALOX15	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Malignant_epithelial	0.009117683499219	0.00038545602748919945	11	0.0055931631884532	髓系细胞	NA	NOT_EVALUABLE	DONE		Malignant_epithelial	Myeloid	0.0087555446068293	0.005765538255910099	3	0.0234968265569163	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Myeloid	0.0059132424447243	0.0013547607372646998	4	0.0110969387755102	非恶性上皮	NA	NOT_EVALUABLE	False	False	DONE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
ALOX5	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	B_cells	0.3779040850696756	0.2426278820784408	11	0.300971334979194	髓系细胞	Myeloid	DONE	DONE		Myeloid	B_cells	0.4576474324562952	0.2712804585302566	5	0.4658313353374913	髓系细胞	Myeloid	DONE	DONE		Myeloid	B_cells	0.3902222026966774	0.177875758407516	10	0.3287586104233807	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
AMDHD2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Myeloid	0.1371363318328202	0.016895398845384907	9	0.1892988411520939	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.153287801188657	0.03308893116752011	3	0.3290775981649641	恶性上皮	Malignant_epithelial	DONE	DONE		Myeloid	Fibroblasts	0.1332236006142615	0.0614364207238159	10	0.1347766765800915	髓系细胞	Myeloid	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Malignant_epithelial	True
AOX1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Malignant_epithelial	0.067006126242311	0.028941671089502602	9	0.0613843545861588	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Perivascular	0.0528579997815681	0.049291525927620095	5	0.0651723135564898	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Malignant_epithelial	0.0688778863631875	0.06287628343866869	9	0.0730771541609315	成纤维细胞	Fibroblasts	DONE	True	True	DONE	SAME_TOP	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
ARG1	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0015292235081081	0.0014992473813089933	11	0.0008829210096898	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0007883577335881	0.0006289898581264001	5	0.0004456190542028	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0013162349087768	0.0006056880661186	10	0.0005633802816901	不可判定	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
ARG2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	B_cells	0.0791330454241994	0.0081794636141478	4	0.1432640771815025	非恶性上皮	B_cells	DONE	DONE		Perivascular	T_NK_cells	0.1362432586164815	0.0639446891749643	4	0.1535186859553948	血管周细胞	Perivascular	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1226577971978288	0.0637763269559232	4	0.1359703263203736	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Perivascular	Perivascular	Malignant_epithelial	Perivascular	True
ASNS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Plasma_cells	Nonmalignant_epithelial	0.0599631987192039	0.005606213831158301	7	0.0972912774818019	浆细胞	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Perivascular	0.127703325278349	0.0789132840899901	3	0.2504492595554652	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1538436666405636	0.08193666705120609	8	0.2113061763133907	恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
ASS1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Malignant_epithelial	0.4253412805006586	0.12169258986035919	11	0.2983011695148664	内皮细胞	Endothelial	DONE	DONE		Endothelial	Malignant_epithelial	0.3768908744417281	0.05035336089224651	4	0.2607037546126182	内皮细胞	Endothelial	DONE	DONE		Malignant_epithelial	Endothelial	0.4547966043550441	0.10222383484007269	8	0.4498230274733863	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Endothelial	Malignant_epithelial	Endothelial	Endothelial	True
BBOX1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Plasma_cells	0.261036326223417	0.2482349333591691	4	0.2814932202504601	非恶性上皮	NA	NOT_EVALUABLE	DONE		Malignant_epithelial	T_NK_cells	0.0185469629917903	0.018057280727023898	3	0.0441972235409089	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1773951088687367	0.09496980122099578	4	0.1780479907194666	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
BCAT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Fibroblasts	0.1757197768005304	0.10819057404080999	11	0.1649467173394736	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.2198497128690496	0.0635453925088992	5	0.2900990270251556	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.2595747298772711	0.09982037558251058	10	0.2257122253621543	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
BCAT2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2213664309843296	0.07267856890487348	9	0.2631997476929185	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Endothelial	0.2128270352960184	0.1208117667068019	3	0.3628220111049349	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1586232785366532	0.021622061942570714	8	0.2609535139334025	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CDO1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Perivascular	0.1437965546244251	0.1054959509110478	9	0.1361895579844602	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Perivascular	0.112766390347594	0.0815680077414594	5	0.1353275969619885	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Nonmalignant_epithelial	0.1075313561771048	0.06928657310042749	9	0.1030298419577234	成纤维细胞	Fibroblasts	DONE	True	True	DONE	SAME_TOP	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
CEPT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		B_cells	Malignant_epithelial	0.1296236611644051	0.021717828811397097	8	0.0772406584351645	B细胞	B_cells	DONE	DONE		B_cells	Myeloid	0.1510479610846184	0.0263659299574142	5	0.0937420138542226	B细胞	B_cells	DONE	DONE		B_cells	Myeloid	0.1115977997917812	0.0135414193899277	7	0.0767930943048138	B细胞	B_cells	DONE	True	True	DONE	SAME_TOP	B_cells	B_cells	B_cells	B_cells	False
CHKA	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Myeloid	0.1471466320790615	0.034077189488970414	4	0.2554872817516146	非恶性上皮	Myeloid	DONE	DONE		Malignant_epithelial	Myeloid	0.1516888238567835	0.022439812145536114	3	0.326286291836504	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.1551837375579702	0.046692280255979615	4	0.1873718858404288	非恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Myeloid	True
CHKB	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Fibroblasts	Myeloid	0.0743807073578302	0.007526980447498902	9	0.0787586734621268	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	B_cells	0.0879748814920566	0.016746881510324996	5	0.1456891954257409	成纤维细胞	Fibroblasts	DONE	DONE		T_NK_cells	Fibroblasts	0.0661102781252981	0.009365268088848598	10	0.0415660199803361	T/NK细胞	T_NK_cells	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Fibroblasts	Fibroblasts	Fibroblasts	Fibroblasts	False
CHPT1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.7593918040198067	0.27145467460907335	4	0.6028519015197065	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.2478061195218136	0.05505242591279641	3	0.3715782783064489	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.3628017786087607	0.14373714952583974	4	0.3750666381342824	非恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CKB	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Perivascular	Fibroblasts	0.2701596144779624	0.12572639446578399	11	0.1775565174576426	血管周细胞	Perivascular	DONE	DONE		Perivascular	Malignant_epithelial	0.2397491882591118	0.06499331578730899	4	0.2214788024914607	血管周细胞	Perivascular	DONE	DONE		Malignant_epithelial	Perivascular	0.4978535191183456	0.29103844580898697	8	0.3414315522464514	恶性上皮	Malignant_epithelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Perivascular	True
CKM	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0061026470368792	0.0055617987153886005	11	0.0083585436545865	不可判定	NA	NOT_EVALUABLE	DONE		Myeloid	Malignant_epithelial	0.0131120638600392	0.0062189679986272	5	0.0309818093935741	髓系细胞	Myeloid	DONE	DONE		Myeloid	Perivascular	0.0095019042114913	0.0075202214989755	10	0.0145720647933562	髓系细胞	Myeloid	DONE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
CMAS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2504903415167277	0.05170689279563942	9	0.2901642558798267	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Endothelial	0.3439890506744715	0.197901190663937	3	0.5176190812922009	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4720685394563212	0.2030931353279416	8	0.4816732353987769	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CMPK1	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Malignant_epithelial	0.5107581245532845	0.09400862752801303	4	0.5645551187848125	非恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Fibroblasts	0.7313176010527993	0.3180037467443173	3	0.73765386014548	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.4707506921675429	0.1385194151204947	8	0.5020328501429856	恶性上皮	Malignant_epithelial	DONE	False	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CMPK2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Endothelial	0.1073857797608023	0.012184632302526102	11	0.0870344045490246	髓系细胞	Myeloid	DONE	DONE		Myeloid	Endothelial	0.0880652020348071	0.015200791815941597	5	0.1302655974803717	髓系细胞	Myeloid	DONE	DONE		Endothelial	Fibroblasts	0.1401776911412612	0.010111821999337384	9	0.1210360927713403	内皮细胞	Endothelial	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Myeloid	Myeloid	Myeloid	Myeloid	False
CPT1A	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Endothelial	Malignant_epithelial	0.1224885949683811	0.025303076850354503	11	0.1300328428500816	内皮细胞	Endothelial	DONE	DONE		Endothelial	Fibroblasts	0.1716158793736804	0.07717612479365049	4	0.1952640278612062	内皮细胞	Endothelial	DONE	DONE		Endothelial	Perivascular	0.1458042861679213	0.05475982190834089	9	0.1390747234609636	内皮细胞	Endothelial	DONE	True	True	DONE	SAME_TOP	Endothelial	Endothelial	Endothelial	Endothelial	False
CPT1B	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0123613312432459	0.0033556281391813013	9	0.0166082740937183	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.0089222099033313	0.005419235237101101	3	0.0261347299908033	恶性上皮	Malignant_epithelial	DONE	DONE		Nonmalignant_epithelial	Myeloid	0.0087230558327807	0.004934014052331001	4	0.0150884691624994	非恶性上皮	NA	NOT_EVALUABLE	False	False	DONE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
CPT2	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.052621821537879	0.007661022307286394	9	0.0853009789967397	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.0767495069537502	0.022088143898870198	3	0.2000727125972866	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0628677703138821	0.011637668903810301	8	0.1230981477658669	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CRAT	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Fibroblasts	0.2263289358469642	0.1242790674047827	9	0.2611845560827783	恶性上皮	Malignant_epithelial	DONE	DONE		Fibroblasts	Malignant_epithelial	0.1626803173730168	0.012321384390950207	5	0.2355343124563963	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Perivascular	0.1074641757864744	0.017901479789296695	9	0.1178365453086522	成纤维细胞	Fibroblasts	DONE	False	False	DONE	DIFFERENT_TOP_DESCRIPTIVE	Malignant_epithelial	Fibroblasts	Malignant_epithelial	Malignant_epithelial	True
CROT	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1729916284517206	0.07207746778203641	9	0.1927649175227116	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Endothelial	0.0777318643945308	0.0128742454062101	3	0.1724120373589127	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.0657326804738742	0.012894722389469704	8	0.1158059658266986	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.1582318241447264	0.003956833054865494	9	0.2195965906253479	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Myeloid	0.217904362046911	0.03787794362063909	3	0.4375936601493269	恶性上皮	Malignant_epithelial	DONE	DONE		Malignant_epithelial	Nonmalignant_epithelial	0.2119783864892538	0.0855582506651685	8	0.3095644836347996	恶性上皮	Malignant_epithelial	DONE	True	True	DONE	SAME_TOP	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	False
CTNS	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Nonmalignant_epithelial	Myeloid	0.0556911360365773	0.005691840750626398	4	0.0986387798749454	非恶性上皮	Myeloid	DONE	DONE		Myeloid	Perivascular	0.0826316482000875	0.013300689312459507	5	0.1546852630491481	髓系细胞	Myeloid	DONE	DONE		Myeloid	Nonmalignant_epithelial	0.0673421136346894	0.01374463029228419	10	0.0783747777985333	髓系细胞	Myeloid	DONE	False	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
CYP4F2	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0009320152485022	0.0004937724313423999	9	0.0010875371678758	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0	0.0	5	0.0	不可判定	NA	NOT_EVALUABLE	NOT_EVALUABLE	low_detection	NA	NA	0.0003823866051821	0.00034533972541141535	9	0.000903342366757	不可判定	NA	NOT_EVALUABLE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
DPYD	7	descriptive_only;not_subtype_specificity_or_causality	DONE		Myeloid	Fibroblasts	0.2213094886277124	0.08610974750216771	11	0.2060383075062052	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.306231392045824	0.11394363491014681	5	0.3800509893109072	髓系细胞	Myeloid	DONE	DONE		Myeloid	Fibroblasts	0.2387738263314936	0.1202580874918089	10	0.230083473376631	髓系细胞	Myeloid	DONE	True	True	DONE	SAME_TOP	Myeloid	Myeloid	Myeloid	Myeloid	False
DPYS	7	descriptive_only;not_subtype_specificity_or_causality	NOT_EVALUABLE	low_detection	NA	NA	0.0053788735235133	0.0024314809998524	9	0.0038175928547022	不可判定	NA	NOT_EVALUABLE	DONE		Fibroblasts	Myeloid	0.008129859959942	0.006062639491062	5	0.0101543460142157	成纤维细胞	Fibroblasts	DONE	DONE		Fibroblasts	Myeloid	0.0225856038425114	0.0197555836809583	9	0.0222649418997777	成纤维细胞	Fibroblasts	DONE	False	False	NOT_EVALUABLE	LOW_DETECTION_OR_COVERAGE	NA	NA	NA	NA	NA
