cancer	cohort	relation_id	metabolite_key	gene	metabolite	n_specimens	er_available_partial_rank_rho	er_available_q	er_primary_q	status	effect_scale	statistics_version	family_n_evaluable	source_url	statistical_unit	availability_mask	work_priority	functional_class	study_ids	functional_annotation_scope	new_statistics_computed
BRCA	BRCA1	KEGG:C00025|FOLH1	KEGG:C00025	FOLH1	glutamate	61.0	0.12424510416334508	0.5986693069306931	0.5814	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	观察性或非基因特异背景	S037	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GCLC	KEGG:C00025	GCLC	glutamate	61.0	0.1354059021646802	0.5210999999999999	0.515671875	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	功能线索待方法/模型核定	S038	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GLS	KEGG:C00025	GLS	glutamate	61.0	0.17606962221577607	0.4637117647058824	0.420432	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S041	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GLS2	KEGG:C00025	GLS2	glutamate	61.0	-0.17114091196050626	0.48046250000000007	0.4279275	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S042; S043	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GLUL	KEGG:C00025	GLUL	glutamate	61.0	0.05716132332092965	0.8051657142857144	0.7994553191489362	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S044	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GOT1	KEGG:C00025	GOT1	glutamate	61.0	0.31006368776251353	0.19665000000000002	0.1512692307692307	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S114	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|GOT2	KEGG:C00025	GOT2	glutamate	61.0	0.24306255222656958	0.33799787234042555	0.2923682926829268	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S114	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|OAT	KEGG:C00025	OAT	glutamate	61.0	-0.11491356732846962	0.6258280373831776	0.6124221238938053	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	观察性或非基因特异背景	S072	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|SLC7A11	KEGG:C00025	SLC7A11	glutamate	61.0	0.28394762397228174	0.22435200000000002	0.1903064516129032	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S101; S102; S103	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00025|TAT	KEGG:C00025	TAT	glutamate	61.0	-0.1403281593427693	0.5210999999999999	0.5113627659574469	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S112	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00037|GSS	KEGG:C00037	GSS	glycine	61.0	0.12149015980852206	0.5986693069306931	0.5814	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	遗传干预仅分子终点	S119	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00037|PEPD	KEGG:C00037	PEPD	glycine	61.0	-0.037942943033566066	0.8704235294117647	0.8601077922077922	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	外源非催化蛋白干预	S080; S081	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00037|SHMT1	KEGG:C00037	SHMT1	glycine	61.0	-0.29809153616233874	0.19705714285714288	0.1532666666666666	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S096	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00037|SHMT2	KEGG:C00037	SHMT2	glycine	61.0	0.16719049538882153	0.48046250000000007	0.4279275	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S097; S098	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00047|AASS	KEGG:C00047	AASS	lysine	61.0	0.22567446233909372	0.33799787234042555	0.3074711538461538	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00049|ASNS	KEGG:C00049	ASNS	aspartate	61.0	0.09173352662775623	0.7008126050420168	0.6660921259842519	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S006; S007	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00049|ASS1	KEGG:C00049	ASS1	aspartate	61.0	-0.18767347429336137	0.4201293103448276	0.3916714285714286	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S008; S009; S010	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00049|GOT1	KEGG:C00049	GOT1	aspartate	61.0	0.1826195374881001	0.43498125000000004	0.3920957746478873	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S114	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00049|GOT2	KEGG:C00049	GOT2	aspartate	61.0	0.3359330402304327	0.10917692307692309	0.09918	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S114	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00051|GSR	KEGG:C00051	GSR	glutathione, reduced (GSH)	43.0	-0.024616674527690435	0.9286043478260869	0.8793812903225807	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	仅他癌或不适用乳腺癌	S120	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00051|GSS	KEGG:C00051	GSS	glutathione, reduced (GSH)	43.0	-0.12274628270650068	0.6776837837837838	0.4382132530120482	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	遗传干预仅分子终点	S119	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00055|CEPT1	KEGG:C00055	CEPT1	cytidine 5'-monophosphate (5'-CMP)	42.0	0.10134306149924525	0.731196	0.2793	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	功能线索待方法/模型核定	S015	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00055|CHPT1	KEGG:C00055	CHPT1	cytidine 5'-monophosphate (5'-CMP)	42.0	-0.05544096601058405	0.8594813793103449	0.7265541984732824	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S017	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00055|CMPK1	KEGG:C00055	CMPK1	cytidine 5'-monophosphate (5'-CMP)	42.0	-0.18834085251115976	0.5021364705882353	0.8589551020408163	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	观察性或非基因特异背景	S021	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00055|CMPK2	KEGG:C00055	CMPK2	cytidine 5'-monophosphate (5'-CMP)	42.0	0.040075080666768646	0.8795677215189873	0.9959	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00062|ARG1	KEGG:C00062	ARG1	arginine	61.0	-0.1310992836131721	0.55824375	0.5524886597938145	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00062|ARG2	KEGG:C00062	ARG2	arginine	61.0	-0.22094361120551703	0.33799787234042555	0.3074711538461538	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S074	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00064|ASNS	KEGG:C00064	ASNS	glutamine	61.0	-0.3948321624319598	0.053437500000000006	0.0534375	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S006; S007	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00064|GLS	KEGG:C00064	GLS	glutamine	61.0	-0.18455300814865822	0.43498125000000004	0.3920957746478873	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S041	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00064|GLS2	KEGG:C00064	GLS2	glutamine	61.0	0.1273648034371768	0.5835154639175257	0.56601	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S042; S043	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00064|GLUL	KEGG:C00064	GLUL	glutamine	61.0	-0.07318245571856251	0.7394142857142856	0.73834	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S044	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00065|SHMT1	KEGG:C00065	SHMT1	serine	61.0	-0.1539941933155276	0.49610602409638554	0.4626606741573033	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S096	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00065|SHMT2	KEGG:C00065	SHMT2	serine	61.0	0.03854510235269686	0.8704235294117647	0.8601077922077922	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S097; S098	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00073|MAT1A	KEGG:C00073	MAT1A	methionine	61.0	-0.08524301881309108	0.7211677685950413	0.68172890625	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00073|MAT2A	KEGG:C00073	MAT2A	methionine	61.0	-0.17554860774140843	0.4508181818181818	0.4075890410958904	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S064	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00077|ARG1	KEGG:C00077	ARG1	ornithine	61.0	-0.2681057211758422	0.2528357142857143	0.22123125	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	暂挂	本轮未取得适用干预报告		gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00077|ARG2	KEGG:C00077	ARG2	ornithine	61.0	0.1943168071183287	0.4091333333333334	0.3744610169491525	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	优先核查	功能线索待方法/模型核定	S074	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00077|OAT	KEGG:C00077	OAT	ornithine	61.0	-0.03842012911884621	0.8704235294117647	0.8601077922077922	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	观察性或非基因特异背景	S072	gene-level literature; does not prove mediation by this metabolite	False
BRCA	BRCA1	KEGG:C00077|ODC1	KEGG:C00077	ODC1	ornithine	61.0	0.19175393929011375	0.4201293103448276	0.3916714285714286	DONE	partial rank correlation after ER adjustment	ER_availability_v3; reused; no recomputation	171	https://github.com/Asukasssss/-/blob/227245e3171ac3b8530835624711c1a0a69363cf/results/BRCA/20260919_ER_availability_v3/er_availability_all_174.tsv	author-mapped tumor specimens; independent patient identity not verified	author data-sheet nonmissing; not verified raw detection mask	保留	有乳腺癌遗传干预报告	S073	gene-level literature; does not prove mediation by this metabolite	False
