cancer	gene	direct_metabolites	imported_functional_class	imported_work_priority	patient_evidence	original_best_q	receiver_source_cautions	next_minimal_action	study_ids	source_urls
BRCA	ASNS	glutamate; aspartate; glutamine; asparagine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.01995	原文有2018 Erratum；本轮确认记录身份，尚未完成官方更正正文影响核定。	引用S006实验细节前读取更正；保留ASNS和其他独立证据。	S006; S007	"https://pubmed.ncbi.nlm.nih.gov/29414946/
https://pubmed.ncbi.nlm.nih.gov/40531994/"
BRCA	ASS1	aspartate; citrulline	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.3768035294117647	No additional issue identified within limited receipt checks;not a clean bill for all literature	结合TNBC/丝氨酸背景解释，不自动列抑制ASS1	S008; S009; S010	"https://www.nature.com/articles/s41419-024-06672-z
https://pubmed.ncbi.nlm.nih.gov/24692592/
https://www.nature.com/articles/s41467-021-22235-8"
BRCA	BBOX1	deoxycarnitine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.1611675	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分BBOX1酶活、IP3R3联系及CAMP底物丰度，避免首次靶点表述	S011	https://pubmed.ncbi.nlm.nih.gov/32690540/
BRCA	BCAT1	glutamate; isoleucine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.12426	No additional issue identified within limited receipt checks;not a clean bill for all literature	按激素/IGF背景核对公开资料；与BCAT2分开	S012; S013	"https://pubmed.ncbi.nlm.nih.gov/28319069/
https://pubmed.ncbi.nlm.nih.gov/32523652/"
BRCA	BCAT2	glutamate; isoleucine	本轮未取得适用干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0800590909090909	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留患者线索，补查BCAT2基因特异乳腺癌扰动；不反复换种子		
BRCA	CDO1	cysteine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.1056535714285714	No additional issue identified within limited receipt checks;not a clean bill for all literature	优先确认恢复CDO1后的半胱氨酸利用及药物背景	S014	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type
BRCA	CEPT1	cytidine 5'-monophosphate (5'-CMP); cytidine 5'-diphosphocholine	功能线索待方法/模型核定	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.1624499999999999	No additional issue identified within limited receipt checks;not a clean bill for all literature	先定位特异敲低/救援，区分药物多靶性与基因作用	S015	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179
BRCA	CHKA	choline; ethanolamine; phosphoethanolamine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.21717	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留SUM44与MDA-MB134-VI差异，不把低原RNA差异当排除项	S016	https://link.springer.com/article/10.1186/s13058-015-0532-0
BRCA	CHKB	choline; ethanolamine; phosphoethanolamine	本轮未取得适用干预报告	暂挂	无可评估RNA对应，不能作阴性		No additional issue identified within limited receipt checks;not a clean bill for all literature	先解决测量映射，CHKA证据不得替代CHKB		
BRCA	CHPT1	cytidine 5'-monophosphate (5'-CMP); cytidine 5'-diphosphocholine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	原文关联2019 Editor's Note；元数据被归入Erratum，不能据此当作普通排版勘误。	先核查编辑说明全文及涉及图/结论；在此之前S017不作确定性主线依据，不据此删除CHPT1。	S017	https://pubmed.ncbi.nlm.nih.gov/27457520/
BRCA	CKB	creatine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.20270625	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分CKB与肌酸类似物药效；不把CKM结果或全身肌酸生理混用	S018	https://pubmed.ncbi.nlm.nih.gov/35008190/
BRCA	CKM	creatine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.8839384615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留肌酸关系，禁止借CKB功能赋值		
BRCA	CMAS	N-acetylneuraminate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.5552470588235294	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核清Neu5Ac游离丰度与细胞唾液酸化/免疫作用层级	S019; S020	"https://pubs.acs.org/doi/10.1021/acschembio.6b00433
https://www.nature.com/articles/s41467-026-73401-9"
BRCA	CMPK1	cytidine 5'-monophosphate (5'-CMP)	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.7550211678832117	No additional issue identified within limited receipt checks;not a clean bill for all literature	不把核IHC预后或circ-CMPK1肺癌研究升级为BRCA功能	S021	https://pubmed.ncbi.nlm.nih.gov/27558661/
BRCA	CMPK2	cytidine 5'-monophosphate (5'-CMP)	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.899314024390244	No additional issue identified within limited receipt checks;not a clean bill for all literature	与CMPK1分开，保留后续线索入口		
BRCA	CPT1A	palmitoylcarnitine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.8830125000000001	No additional issue identified within limited receipt checks;not a clean bill for all literature	分开CPT1A-v2核功能、经典FAO以及药物非特异性	S022; S023; S024	"https://pubmed.ncbi.nlm.nih.gov/34514415/
https://pubmed.ncbi.nlm.nih.gov/26799588/
https://pubmed.ncbi.nlm.nih.gov/31803610/"
BRCA	CPT1B	palmitoylcarnitine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.7550211678832117	更正涉及leptin中和抗体条目及MMTV-PyMT小鼠来源；更正声明结果/结论不变。	复现方法用更正后的试剂与模型来源；是否有CPT1B直接干预仍以原研究方法核定。	S025	https://pubmed.ncbi.nlm.nih.gov/29249690/
BRCA	CPT2	palmitoylcarnitine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.7206992307692309	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留HRD1/泛素化措辞疑点，核对蛋白稳定性和具体营养条件	S024; S026	"https://pubmed.ncbi.nlm.nih.gov/31803610/
https://pubmed.ncbi.nlm.nih.gov/33207079/"
BRCA	CRAT	octanoylcarnitine (C8); butyrylcarnitine	功能线索待方法/模型核定	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	先取得CRAT基因特异干预；不因Enzalutamide有效就记CRAT有效	S029	https://academic.oup.com/endo/article/167/1/bqaf168/8320418
BRCA	CROT	octanoylcarnitine (C8)	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2489863636363636	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留肉碱关系，关注区室/底物与CRAT区别		
BRCA	CS	citrate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.318288	No additional issue identified within limited receipt checks;not a clean bill for all literature	核查独立CS构建和代谢物读数，排除CS缩写噪声	S027	https://pubmed.ncbi.nlm.nih.gov/36866961/
BRCA	CTNS	cystine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.7333568181818183	No additional issue identified within limited receipt checks;not a clean bill for all literature	直接定位CTNS而不是MFSD12的扰动终点与GSH读数	S028	https://pubmed.ncbi.nlm.nih.gov/37751742/
BRCA	DPYD	uracil; 5,6-dihydrouracil	功能线索待方法/模型核定	保留	本轮ER关联未过0.05；不以此排除功能价值	0.1611675	No additional issue identified within limited receipt checks;not a clean bill for all literature	先查基因本体操作；不把53BP1下游改变当DPYD独立抗癌	S030	https://pubmed.ncbi.nlm.nih.gov/24040364/
BRCA	DPYS	5,6-dihydrouracil	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.1406	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留二氢尿嘧啶关系；药物代谢/毒性资料不能当肿瘤依赖		
BRCA	ETNK1	ethanolamine; phosphoethanolamine	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.0418	No additional issue identified within limited receipt checks;not a clean bill for all literature	逐图核定两文构建与处理；本轮暂不赋予普适抑制/激活方向	S031; S032	"https://pubmed.ncbi.nlm.nih.gov/38694857/
https://pubmed.ncbi.nlm.nih.gov/42003071/"
BRCA	ETNK2	ethanolamine; phosphoethanolamine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2478184615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留两条代谢关系，核查ETNK2特异乳腺癌研究		
BRCA	FDFT1	squalene	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.7798821428571429	No additional issue identified within limited receipt checks;not a clean bill for all literature	按细胞系、药物、救援和营养背景核对，不给统一抑制方向	S033; S034; S035	"https://pubmed.ncbi.nlm.nih.gov/39461203/
https://pmc.ncbi.nlm.nih.gov/articles/PMC12116638/
https://pubmed.ncbi.nlm.nih.gov/40619388/"
BRCA	FH	malate	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.1056535714285714	No additional issue identified within limited receipt checks;not a clean bill for all literature	比较独立构建、剂量、代谢区室及ROS背景，先解释冲突	S027; S036	"https://pubmed.ncbi.nlm.nih.gov/36866961/
https://link.springer.com/article/10.1186/s40170-025-00397-z"
BRCA	FOLH1	glutamate; gamma-glutamylglutamate; N-acetyl-aspartyl-glutamate (NAAG)	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2592260869565218	No additional issue identified within limited receipt checks;not a clean bill for all literature	区别抗原递送、血管来源与细胞内代谢酶作用	S037	https://pubmed.ncbi.nlm.nih.gov/38664014/
BRCA	GAMT	creatine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.55632	No additional issue identified within limited receipt checks;not a clean bill for all literature	肌酸补充/转运研究不可直接算为GAMT功能		
BRCA	GCLC	glutamate; cysteine	功能线索待方法/模型核定	保留	本轮ER关联未过0.05；不以此排除功能价值	0.4405548387096774	No additional issue identified within limited receipt checks;not a clean bill for all literature	只补具体基因敲低/救援，别追加泛铁死亡关联图	S038	https://pubs.acs.org/doi/10.1021/tx200090n
BRCA	GDA	guanine; xanthine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2478184615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	与PNP/HPRT1区分；保留鸟嘌呤/黄嘌呤关系		
BRCA	GDPD5	choline; glycerophosphorylcholine (GPC)	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.4955679611650485	No additional issue identified within limited receipt checks;not a clean bill for all literature	作为GPCPD1比较节点，不由GPC上升自动推断抑增殖	S039; S040	"https://pubmed.ncbi.nlm.nih.gov/27356959/
https://pubmed.ncbi.nlm.nih.gov/24764256/"
BRCA	GLS	glutamate; glutamine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2592260869565218	No additional issue identified within limited receipt checks;not a clean bill for all literature	把GLS2旁路和非TNBC无效背景纳入比较	S041	https://pubmed.ncbi.nlm.nih.gov/28950000/
BRCA	GLS2	glutamate; glutamine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.125216129032258	No additional issue identified within limited receipt checks;not a clean bill for all literature	按GATA3/亚型/营养选择既有数据，区分GLS和GLS2	S042; S043	"https://pubmed.ncbi.nlm.nih.gov/31541193/
https://pubmed.ncbi.nlm.nih.gov/31577957/"
BRCA	GLUL	glutamate; glutamine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.8626775510204082	No additional issue identified within limited receipt checks;not a clean bill for all literature	寻找该模型以外复现或反证，不重新堆预后图	S044	https://pubmed.ncbi.nlm.nih.gov/27791265/
BRCA	GNPNAT1	N-acetylglucosamine 6-phosphate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.4955679611650485	No additional issue identified within limited receipt checks;not a clean bill for all literature	先核实具体HBP代谢读数及是否有独立体内证据	S045	https://pubmed.ncbi.nlm.nih.gov/37387422/
BRCA	GOT1	glutamate; aspartate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0693	No additional issue identified within limited receipt checks;not a clean bill for all literature	比较GOT2/GPT2代偿和天冬氨酸救援，不把AOA当专一抑制剂	S114	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/
BRCA	GOT2	glutamate; aspartate	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0800590909090909	No additional issue identified within limited receipt checks;not a clean bill for all literature	按GOT1/GOT2区室核对，保留非普适生长结论	S114	https://pmc.ncbi.nlm.nih.gov/articles/PMC4696069/
BRCA	GPCPD1	choline; glycerophosphorylcholine (GPC)	有乳腺癌遗传干预报告	保留	同一批ER主分析与可用性子集的相同关系均过阈值；不是独立复现	0.0171	No additional issue identified within limited receipt checks;not a clean bill for all literature	先做独立关系复现或具体亚型问题，不再宣称新发现靶点	S039; S047; S115	"https://pubmed.ncbi.nlm.nih.gov/27356959/
https://link.springer.com/article/10.1186/s13058-024-01849-y
https://link.springer.com/article/10.1186/s13046-022-02578-w"
BRCA	GPI	glucose 6-phosphate; fructose-6-phosphate	有乳腺癌遗传干预报告	优先核查	同一批ER主分析与可用性子集的相同关系均过阈值；不是独立复现	0.0171	No additional issue identified within limited receipt checks;not a clean bill for all literature	全文区分GPI与HP干预，查糖磷酸测量及可复用扰动数据	S046	https://pubmed.ncbi.nlm.nih.gov/33042622/
BRCA	GSR	glutathione, reduced (GSH)	仅他癌或不适用乳腺癌	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.8839384615384615	No additional issue identified within limited receipt checks;not a clean bill for all literature	不把Stattic其他癌种结果移用；等待直接乳腺癌来源	S120	https://pmc.ncbi.nlm.nih.gov/articles/PMC8275107/
BRCA	GSS	glycine; glutathione, reduced (GSH)	遗传干预仅分子终点	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.4087087912087912	No additional issue identified within limited receipt checks;not a clean bill for all literature	先查Figure8P具体模型、GSS/GSH区分；不自动赋予肿瘤转移功能	S119	https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202500722
BRCA	HAL	histidine	观察性或非基因特异背景	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.7550211678832117	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留关联资料，但不为填满功能列增加泛预后分析	S048	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264/
BRCA	HPD	4-hydroxyphenylpyruvate	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.54705	No additional issue identified within limited receipt checks;not a clean bill for all literature	只补HPD本体操纵，避免potential target题名被当成证据	S049	https://pubmed.ncbi.nlm.nih.gov/31277952/
BRCA	HPRT1	guanine; hypoxanthine	遗传干预仅分子终点	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.0693	No additional issue identified within limited receipt checks;not a clean bill for all literature	检查公开扰动RNA能否回答嘌呤代谢响应；不冒充已完成代谢中介	S050	https://www.mdpi.com/2072-6694/12/6/1522
BRCA	IDNK	gluconate; 6-phosphogluconate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.6172682926829269	No additional issue identified within limited receipt checks;not a clean bill for all literature	确认别名与葡萄糖酸反应身份，不借PGD结果补位		
BRCA	IMPA1	inositol 1-phosphate (I1P)	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.4955679611650485	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分I1P静态水平与肌醇循环，优先查已有扰动可复用性	S051	https://pubmed.ncbi.nlm.nih.gov/35796646/
BRCA	IMPA2	inositol 1-phosphate (I1P)	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.4967221153846153	No additional issue identified within limited receipt checks;not a clean bill for all literature	不因旧IMPA1论文中IMPA2不可检出就否定新模型	S052	https://pubmed.ncbi.nlm.nih.gov/38048842/
BRCA	KHK	fructose	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.3892193181818182	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分KHK-A/C，保留葡萄糖条件无效背景	S053; S054	"https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605/
https://www.nature.com/articles/s41467-020-19263-1"
BRCA	KMO	kynurenine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.1406	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留蛋白功能，暂不认定犬尿氨酸催化介导或抑酶策略	S055	https://pubmed.ncbi.nlm.nih.gov/32268268/
BRCA	KYNU	kynurenine	有乳腺癌遗传干预报告	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.01995	No additional issue identified within limited receipt checks;not a clean bill for all literature	核查增表达方向与患者正相关的不同问题，避免治疗方向反置	S056	https://pubmed.ncbi.nlm.nih.gov/31332944/
BRCA	LDHA	lactate	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.5252603773584905	No additional issue identified within limited receipt checks;not a clean bill for all literature	比较同工酶、克隆适应、培养和时间，不选择性删反证	S057; S058	"https://www.nature.com/articles/srep21735
https://pubmed.ncbi.nlm.nih.gov/28314283/"
BRCA	LDHB	lactate	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.54705	No additional issue identified within limited receipt checks;not a clean bill for all literature	按细胞来源整理功能方向并核查公开扰动资源，暂停统一抑制主张	S059; S060; S061	"https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an
https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate
https://pubmed.ncbi.nlm.nih.gov/38525901/"
BRCA	MAT1A	methionine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.7798821428571429	No additional issue identified within limited receipt checks;not a clean bill for all literature	与MAT2A/B和肝脏资料区分，保留甲硫氨酸关系		
BRCA	MAT2A	methionine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.4857795918367346	No additional issue identified within limited receipt checks;not a clean bill for all literature	优先补完整摘要/正文，而不是仅据通路上调认定依赖	S064	https://pubmed.ncbi.nlm.nih.gov/26418898/
BRCA	MDH1	malate	功能线索待方法/模型核定	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	找到MDH1特异遗传或靶点救援再纳入功能支持	S063	https://pubmed.ncbi.nlm.nih.gov/39818404/
BRCA	MDH2	malate	有乳腺癌遗传干预报告	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.1622414634146341	No additional issue identified within limited receipt checks;not a clean bill for all literature	先查数据可获得性和苹果酸是否直接变化；不把对接计成功能	S062	https://pubmed.ncbi.nlm.nih.gov/41179294/
BRCA	MGAM	maltose; maltotriose	观察性或非基因特异背景	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.7550211678832117	No additional issue identified within limited receipt checks;not a clean bill for all literature	先解决基因身份，不借MGAM2结论给MGAM	S065	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114/
BRCA	MPI	mannose 6-phosphate; fructose-6-phosphate	特定条件的无效/反向证据	保留	本轮ER关联未过0.05；不以此排除功能价值	0.3743231707317073	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留2026反例，不能等同MPI在所有条件无功能	S118	https://pmc.ncbi.nlm.nih.gov/articles/PMC12934312/
BRCA	NAGK	N-acetylglucosamine; N-acetylglucosamine 6-phosphate	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.1126241379310344	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分药物活化与肿瘤依赖，补直接遗传证据再判断	S117	https://pubmed.ncbi.nlm.nih.gov/29515119/
BRCA	NAMPT	nicotinamide	有干预但情境/方向分歧	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.7798821428571429	No additional issue identified within limited receipt checks;not a clean bill for all literature	拆分原发增长、迁移/转移、内分泌耐药和宿主效应	S069; S070; S071	"https://pubmed.ncbi.nlm.nih.gov/25263164/
https://pubmed.ncbi.nlm.nih.gov/31141164/
https://doi.org/10.1021/acs.jmedchem.6c00454"
BRCA	NNMT	S-adenosylhomocysteine (SAH); nicotinamide; 1-methylnicotinamide	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0418	原文有2025 Corrigendum；元数据可核对，正文未取得，影响尚不明。	读取更正全文后再使用S067具体图/结论；不将未知影响说成撤稿或无效。	S066; S067; S068	"https://pubmed.ncbi.nlm.nih.gov/38126621/
https://pubmed.ncbi.nlm.nih.gov/35988817/
https://pubmed.ncbi.nlm.nih.gov/31101119/"
BRCA	NPL	N-acetylneuraminate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.9540585798816568	No additional issue identified within limited receipt checks;not a clean bill for all literature	不要用总体唾液酸化研究替代NPL酶本体证据		
BRCA	OAT	glutamate; ornithine	观察性或非基因特异背景	保留	本轮ER关联未过0.05；不以此排除功能价值	0.5552470588235294	No additional issue identified within limited receipt checks;not a clean bill for all literature	排除有机阴离子转运体OAT缩写及其他癌种结果	S072	https://pubmed.ncbi.nlm.nih.gov/33499132/
BRCA	ODC1	ornithine; putrescine	有乳腺癌遗传干预报告	保留	本轮ER关联未过0.05；不以此排除功能价值	0.2554791044776119	No additional issue identified within limited receipt checks;not a clean bill for all literature	按复发终点研究；腐胺与亚精胺不能直接混用	S073	https://doi.org/10.1002/advs.202404853
BRCA	OTC	ornithine; citrulline	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.54705	No additional issue identified within limited receipt checks;not a clean bill for all literature	排除非处方OTC缩写和其他癌种尿素循环研究		
BRCA	PAH	phenylalanine; tyrosine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.899314024390244	No additional issue identified within limited receipt checks;not a clean bill for all literature	必须用phenylalanine hydroxylase全名核对；不以命中数优先		
BRCA	PANK1	pantothenate	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.1956999999999999	No additional issue identified within limited receipt checks;not a clean bill for all literature	区分PANK家族与CoA通路整体干预		
BRCA	PANK2	pantothenate	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.8350300699300699	No additional issue identified within limited receipt checks;not a clean bill for all literature	只核定PANK2构建、模型与终点，不转移PANK4证据	S075	https://pubmed.ncbi.nlm.nih.gov/35896750/
BRCA	PANK3	pantothenate	观察性或非基因特异背景	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.899314024390244	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留候选，出现直接实验来源再推进	S076	https://doi.org/10.1038/s41598-018-20215-5
BRCA	PCYT1A	cytidine 5'-diphosphocholine	功能线索待方法/模型核定	优先核查	本轮ER关联未过0.05；不以此排除功能价值	0.2100857142857142	No additional issue identified within limited receipt checks;not a clean bill for all literature	查PCYT1A直接敲低/回补及药物特异性	S077	https://pubmed.ncbi.nlm.nih.gov/37230459/
BRCA	PCYT1B	cytidine 5'-diphosphocholine	本轮未取得适用干预报告	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.32535	No additional issue identified within limited receipt checks;not a clean bill for all literature	不能用PCYT1A的通路结果补位		
BRCA	PCYT2	phosphoethanolamine	功能线索待方法/模型核定	保留	本轮ER关联未过0.05；不以此排除功能价值	0.0342	No additional issue identified within limited receipt checks;not a clean bill for all literature	保留患者磷酸乙醇胺线索，卵巢癌敲低不作为乳腺癌验证	S078; S079	"https://pubmed.ncbi.nlm.nih.gov/22339418/
https://www.nature.com/articles/s41598-025-96405-9"
BRCA	PEPD	glycylproline; glycine; proline	外源非催化蛋白干预	暂挂	本轮ER关联未过0.05；不以此排除功能价值	0.3768035294117647	No additional issue identified within limited receipt checks;not a clean bill for all literature	暂挂当前Gly-Pro/甘氨酸/脯氨酸介导主张，另保留外源蛋白功能	S080; S081	"https://pubmed.ncbi.nlm.nih.gov/38503142/
https://pubmed.ncbi.nlm.nih.gov/42009845/"
