cancer	study_id	genes	source_url	pmid	doi	canonical_title	status	publication_types	linked_notices	statistical_unit	n_patient	new_patient_tests
BRCA	S040	GDPD5	https://pubmed.ncbi.nlm.nih.gov/24764256/	24764256	10.1002/nbm.3106	Silencing of the glycerophosphocholine phosphodiesterase GDPD5 alters the phospholipid metabolite profile in a breast cancer model in vivo as monitored by (31) P MRS.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S041	GLS	https://pubmed.ncbi.nlm.nih.gov/28950000/	28950000	10.1371/journal.pone.0185092	Glutaminase is essential for the growth of triple-negative breast cancer cells with a deregulated glutamine metabolism pathway and its suppression synergizes with mTOR inhibition.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S042	GLS2	https://pubmed.ncbi.nlm.nih.gov/31541193/	31541193	10.1038/s41388-019-1007-z	GLS2 is protumorigenic in breast cancers.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S043	GLS2	https://pubmed.ncbi.nlm.nih.gov/31577957/	31577957	10.1016/j.celrep.2019.08.076	Liver-Type Glutaminase GLS2 Is a Druggable Metabolic Node in Luminal-Subtype Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S044	GLUL	https://pubmed.ncbi.nlm.nih.gov/27791265/	27791265	10.1002/jcb.25775	GLUL Promotes Cell Proliferation in Breast Cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S045	GNPNAT1	https://pubmed.ncbi.nlm.nih.gov/37387422/	37387422	10.3892/or.2023.8594	GNPNAT1 promotes the stemness of breast cancer and serves as a potential prognostic biomarker.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S046	GPI	https://pubmed.ncbi.nlm.nih.gov/33042622/	33042622	NA	Human haptoglobin contributes to breast cancer oncogenesis through glycolytic activity modulation.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S047	GPCPD1	https://link.springer.com/article/10.1186/s13058-024-01849-y	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S048	HAL	https://pmc.ncbi.nlm.nih.gov/articles/PMC9161264/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S049	HPD	https://pubmed.ncbi.nlm.nih.gov/31277952/	31277952	10.1016/j.prp.2019.152524	HPD overexpression predicts poor prognosis in breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S050	HPRT1	https://www.mdpi.com/2072-6694/12/6/1522	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S051	IMPA1	https://pubmed.ncbi.nlm.nih.gov/35796646/	35796646	10.1002/cam4.4970	Inositol monophosphatase 1 (IMPA1) promotes triple-negative breast cancer progression through regulating mTOR pathway and EMT process.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S052	IMPA2	https://pubmed.ncbi.nlm.nih.gov/38048842/	38048842	10.1016/j.canlet.2023.216527	IMPA2 promotes basal-like breast cancer aggressiveness by a MYC-mediated positive feedback loop.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S053	KHK	https://pmc.ncbi.nlm.nih.gov/articles/PMC5622605/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S054	KHK	https://www.nature.com/articles/s41467-020-19263-1	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S055	KMO	https://pubmed.ncbi.nlm.nih.gov/32268268/	32268268	10.1016/j.ebiom.2020.102717	Kynurenine 3-monooxygenase upregulates pluripotent genes through β-catenin and promotes triple-negative breast cancer progression.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	"[{""source"": ""MED"", ""id"": ""32339939"", ""reference"": ""EBioMedicine. 2020 May;55:102762. doi: 10.1016/j.ebiom.2020.102762"", ""type"": ""Comment in"", ""orderIn"": 1}]"	publication_record	NA	0
BRCA	S056	KYNU	https://pubmed.ncbi.nlm.nih.gov/31332944/	31332944	10.1111/jcmm.14547	A novel role of kynureninase in the growth control of breast cancer cells and its relationships with breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S057	LDHA	https://www.nature.com/articles/srep21735	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S058	LDHA	https://pubmed.ncbi.nlm.nih.gov/28314283/	28314283	10.21873/anticanres.11435	Stable shRNA Silencing of Lactate Dehydrogenase A (LDHA) in Human MDA-MB-231 Breast Cancer Cells Fails to Alter Lactic Acid Production, Glycolytic Activity, ATP or Survival.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S059	LDHB	https://aacrjournals.org/cancerres/article/72/22/5812/576593/An-Integrated-Genomic-Screen-Identifies-LDHB-as-an	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S060	LDHB	https://aacrjournals.org/cancerres/article/86/11/2703/785310/LDHB-Deficiency-in-Fibroblasts-Induces-Lactate	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S061	LDHB	https://pubmed.ncbi.nlm.nih.gov/38525901/	38525901	10.20892/j.issn.2095-3941.2023.0382	Decreased <i>LDHB</i> expression in breast tumor cells causes NK cell activation and promotes tumor progression.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S062	MDH2	https://pubmed.ncbi.nlm.nih.gov/41179294/	41179294	10.32604/or.2025.068119	Multi-Omics Insights into the Impact of MDH2 on Breast Cancer Progression: A Promising Druggable Target.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S063	MDH1	https://pubmed.ncbi.nlm.nih.gov/39818404/	39818404	10.1016/j.cellsig.2025.111608	Unveiling the role of MDH1 in breast cancer drug resistance through single-cell sequencing and schottenol intervention.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S064	MAT2A	https://pubmed.ncbi.nlm.nih.gov/26418898/	26418898	10.18632/oncotarget.5298	Induction of methionine adenosyltransferase 2A in tamoxifen-resistant breast cancer cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S065	MGAM	https://pmc.ncbi.nlm.nih.gov/articles/PMC6451114/	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S066	NNMT	https://pubmed.ncbi.nlm.nih.gov/38126621/	38126621	10.1002/advs.202305907	NNMT/1-MNA Promote Cell-Cycle Progression of Breast Cancer by Targeting UBC12/Cullin-1-Mediated Degradation of P27 Proteins.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S067	NNMT	https://pubmed.ncbi.nlm.nih.gov/35988817/	35988817	10.1016/j.canlet.2022.215884	NNMT contributes to high metastasis of triple negative breast cancer by enhancing PP2A/MEK/ERK/c-Jun/ABCA1 pathway mediated membrane fluidity.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	"[{""source"": ""MED"", ""id"": ""39755471"", ""reference"": ""Cancer Lett. 2025 Jan 3:217424. doi: 10.1016/j.canlet.2024.217424"", ""type"": ""Erratum in"", ""orderIn"": 1}]"	publication_record	NA	0
BRCA	S068	NNMT	https://pubmed.ncbi.nlm.nih.gov/31101119/	31101119	10.1186/s13058-019-1150-z	Nicotinamide N-methyltransferase enhances chemoresistance in breast cancer through SIRT1 protein stabilization.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article	[]	publication_record	NA	0
BRCA	S069	NAMPT	https://pubmed.ncbi.nlm.nih.gov/25263164/	25263164	10.1016/j.dnarep.2014.08.006	Nicotinamide phosphoribosyltransferase can affect metastatic activity and cell adhesive functions by regulating integrins in breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Research Support, U.S. Gov't, Non-P.H.S.;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S070	NAMPT	https://pubmed.ncbi.nlm.nih.gov/31141164/	31141164	10.1002/jcp.28910	NAMPT regulates PKM2 nuclear location through 14-3-3ζ: Conferring resistance to tamoxifen in breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S071	NAMPT	https://doi.org/10.1021/acs.jmedchem.6c00454	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S072	OAT	https://pubmed.ncbi.nlm.nih.gov/33499132/	33499132	10.3390/biomedicines9020107	Breast Cancer-Derived Microvesicles Are the Source of Functional Metabolic Enzymes as Potential Targets for Cancer Therapy.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S073	ODC1	https://doi.org/10.1002/advs.202404853	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S074	ARG2	https://pubmed.ncbi.nlm.nih.gov/30759381/	30759381	10.1016/j.celrep.2019.01.059	Mapping Metabolic Events in the Cancer Cell Cycle Reveals Arginine Catabolism in the Committed SG<sub>2</sub>M Phase.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S075	PANK2	https://pubmed.ncbi.nlm.nih.gov/35896750/	35896750	10.1038/s41586-022-04984-8	PI3K drives the de novo synthesis of coenzyme A from vitamin B5.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S076	PANK3	https://doi.org/10.1038/s41598-018-20215-5	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S077	PCYT1A	https://pubmed.ncbi.nlm.nih.gov/37230459/	37230459	10.1016/j.fct.2023.113855	The bound polyphenols of foxtail millet (Setaria italica) inner shell inhibit breast cancer by promoting lipid accumulation-induced autophagic death.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S078	PCYT2	https://pubmed.ncbi.nlm.nih.gov/22339418/	22339418	10.1139/o11-081	Breast cancer cells adapt to metabolic stress by increasing ethanolamine phospholipid synthesis and CTP:ethanolaminephosphate cytidylyltransferase-Pcyt2 activity.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	[]	publication_record	NA	0
BRCA	S079	PCYT2	https://www.nature.com/articles/s41598-025-96405-9	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S080	PEPD	https://pubmed.ncbi.nlm.nih.gov/38503142/	38503142	10.1016/j.drup.2024.101078	Targeted dual degradation of HER2 and EGFR obliterates oncogenic signaling, overcomes therapy resistance, and inhibits metastatic lesions in HER2-positive breast cancer models.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;research-article;Journal Article;Research Support, N.I.H., Extramural	[]	publication_record	NA	0
BRCA	S081	PEPD	https://pubmed.ncbi.nlm.nih.gov/42009845/	42009845	10.1038/s41598-026-47444-3	A degrader of HER2 and EGFR abolishes p95HER2 and shows robust antitumor efficacy in HER2-positive breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S082	PFKL	https://doi.org/10.1021/acs.jmedchem.6c01360	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S083	PFKP	https://pubmed.ncbi.nlm.nih.gov/34751415/	34751415	10.3892/or.2021.8220	Platelet isoform of phosphofructokinase accelerates malignant features in breast cancer.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Journal Article	[]	publication_record	NA	0
BRCA	S084	PFKP	https://link.springer.com/article/10.1186/s43556-026-00454-z	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S085	PGD	https://www.mdpi.com/2079-7737/10/2/85	NA	NA	NA	NOT_CHECKED_IN_PMID_BATCH	NA	[]	publication_record	NA	0
BRCA	S086	PMM2	https://pubmed.ncbi.nlm.nih.gov/38266771/	38266771	10.1016/j.mce.2024.112160	PMM2 controls ERα levels and cell proliferation in ESR1 Y537S variant expressing breast cancer cells.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	Research Support, Non-U.S. Gov't;Journal Article	"[{""source"": ""PPR"", ""id"": ""PPR674755"", ""type"": ""Preprint in"", ""note"": ""CrossRef Pre-print loader"", ""orderIn"": 10002}]"	publication_record	NA	0
BRCA	S087	PNP	https://pubmed.ncbi.nlm.nih.gov/41502507/	41502507	10.32604/or.2025.070808	PNP as a Metabolic and Prognostic Driver of Breast Cancer Aggressiveness: Insights from Patient Tissue and Cell Models.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
BRCA	S088	PPA1	https://pubmed.ncbi.nlm.nih.gov/34595179/	34595179	10.3389/fcell.2021.730558	PPA1 Promotes Breast Cancer Proliferation and Metastasis Through PI3K/AKT/GSK3β Signaling Pathway.	IDENTIFIER_RESOLVED_NOT_CLAIM_VERIFIED	research-article;Journal Article	[]	publication_record	NA	0
