feature_name	metabolite_key	gene	uniprot_accession	matched_chebi	matched_participant_names	reaction	relation_type	rhea_ids	compartment	annotation_evidence	human_experimental_annotation	subunit_notes	source_url	status	reason
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	DDHD2	O94830	75342	1-(9Z-octadecenoyl)-glycerol	1,3-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:39939	Cytoplasm, cytosol; Endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus, cis-Golgi network	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q80Y98""}]"	False	"[{""texts"": [{""value"": ""Forms homooligomers and, to a much smaller extent, heterooligomers with DDHD1""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/O94830/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	DDHD2	O94830	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Cytoplasm, cytosol; Endoplasmic reticulum-Golgi intermediate compartment; Golgi apparatus, cis-Golgi network	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q80Y98""}]"	False	"[{""texts"": [{""value"": ""Forms homooligomers and, to a much smaller extent, heterooligomers with DDHD1""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/O94830/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD16A	O95870	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""25290914""}]"	True	[]	https://www.uniprot.org/uniprotkb/O95870/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	LIPA	P38571	75342	1-(9Z-octadecenoyl)-glycerol	1,2-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:40967	Lysosome	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""7204383""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""8112342""}], ""value"": ""Monomer""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/P38571/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	LIPA	P38571	75342	1-(9Z-octadecenoyl)-glycerol	1,3-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:39939	Lysosome	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""7204383""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""8112342""}], ""value"": ""Monomer""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/P38571/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA4	P41247	75342	1-(9Z-octadecenoyl)-glycerol	2 1-(9Z-octadecenoyl)-glycerol = 1,2-di-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38323	Mitochondrion	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	[]	https://www.uniprot.org/uniprotkb/P41247/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA4	P41247	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + 1,2-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38327	Mitochondrion	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	[]	https://www.uniprot.org/uniprotkb/P41247/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA4	P41247	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + 1,3-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38331	Mitochondrion	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	[]	https://www.uniprot.org/uniprotkb/P41247/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNLIPRP2	P54317	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Secreted; Zymogen granule membrane; Cell projection, neuron projection	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17401110""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""18702514""}]"	True	[]	https://www.uniprot.org/uniprotkb/P54317/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	LIPE	Q05469	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Cell membrane; Membrane, caveola; Cytoplasm, cytosol; Lipid droplet	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P54310""}]"	False	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P15304""}, {""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P54310""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17026959""}], ""value"": ""Monomer and homodimer (By similarity). Interacts with CAVIN1 in the adipocyte cytoplasm (PubMed:17026959). Interacts with PLIN5 (By similarity)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q05469/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	LIPE	Q05469	75342	1-(9Z-octadecenoyl)-glycerol	1,3-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:39939	Cell membrane; Membrane, caveola; Cytoplasm, cytosol; Lipid droplet	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P54310""}]"	False	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P15304""}, {""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""P54310""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17026959""}], ""value"": ""Monomer and homodimer (By similarity). Interacts with CAVIN1 in the adipocyte cytoplasm (PubMed:17026959). Interacts with PLIN5 (By similarity)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q05469/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	MOGAT2	Q3SYC2	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane; Cytoplasm, perinuclear region	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""12621063""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q3SYC2/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	AWAT2	Q6E213	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q6E1M8""}], ""value"": ""Monomer""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q6E213/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PLB1	Q6P1J6	75342	1-(9Z-octadecenoyl)-glycerol	1,3-di-(9Z-octadecenoyl)-glycerol + H2O = 1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:39939	Apical cell membrane	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q05017""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q6P1J6/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PLB1	Q6P1J6	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Apical cell membrane	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q05017""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q6P1J6/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	DGAT2L6	Q6ZPD8	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q6ZPD8/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA6	Q8IY17	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""11927584""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q8IY17/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	ABHD12	Q8N2K0	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""30237167""}]"	True	[]	https://www.uniprot.org/uniprotkb/Q8N2K0/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA2	Q96AD5	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + 1,3-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38331	Lipid droplet; Cell membrane; Cytoplasm	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q8BJ56""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17032652""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""23297223""}], ""value"": ""Interacts with ABHD5; this association stimulates PNPLA2 triglyceride hydrolase activity (By similarity). Interacts with SERPINF1; this interaction stimulates the phospholipase A2 activity of PNPLA2 (PubMed:17032652). Despite a colocalization in lipid droplets, it probably does not interact with PLIN (By similarity). Interacts with PLIN5; prevents interaction with ABHD5 (By similarity). Interacts with FAF2 (PubMed:23297223)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q96AD5/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA2	Q96AD5	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + 1,2-di-(9Z-octadecenoyl)-glycerol = 1,2,3-tri-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38327	Lipid droplet; Cell membrane; Cytoplasm	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q8BJ56""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17032652""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""23297223""}], ""value"": ""Interacts with ABHD5; this association stimulates PNPLA2 triglyceride hydrolase activity (By similarity). Interacts with SERPINF1; this interaction stimulates the phospholipase A2 activity of PNPLA2 (PubMed:17032652). Despite a colocalization in lipid droplets, it probably does not interact with PLIN (By similarity). Interacts with PLIN5; prevents interaction with ABHD5 (By similarity). Interacts with FAF2 (PubMed:23297223)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q96AD5/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	PNPLA2	Q96AD5	75342	1-(9Z-octadecenoyl)-glycerol	2 1-(9Z-octadecenoyl)-glycerol = 1,2-di-(9Z-octadecenoyl)-glycerol + glycerol	DIRECT_REACTION	RHEA:38323	Lipid droplet; Cell membrane; Cytoplasm	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15364929""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q8BJ56""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17032652""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""23297223""}], ""value"": ""Interacts with ABHD5; this association stimulates PNPLA2 triglyceride hydrolase activity (By similarity). Interacts with SERPINF1; this interaction stimulates the phospholipase A2 activity of PNPLA2 (PubMed:17032652). Despite a colocalization in lipid droplets, it probably does not interact with PLIN (By similarity). Interacts with PLIN5; prevents interaction with ABHD5 (By similarity). Interacts with FAF2 (PubMed:23297223)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q96AD5/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	MOGAT1	Q96PD6	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane	"[{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q91ZV4""}]"	False	[]	https://www.uniprot.org/uniprotkb/Q96PD6/entry	CONDITIONAL	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	DGAT2	Q96PD7	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + (9Z)-octadecenoyl-CoA = 1,2-di-(9Z-octadecenoyl)-glycerol + CoA	DIRECT_REACTION	RHEA:37915	Endoplasmic reticulum membrane; Lipid droplet; Cytoplasm, perinuclear region	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""28420705""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000250"", ""source"": ""UniProtKB"", ""id"": ""Q9DCV3""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""30970241""}], ""value"": ""Forms multimeric complexes consisting of several DGAT2 subunits (By similarity). Interacts with SLC27A1 and this interaction is enhanced in the presence of ZFYVE1 (PubMed:30970241)""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q96PD7/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
1-oleoylglycerol (1-monoolein)	NAME:1-oleoylglycerol (1-monoolein)	MGLL	Q99685	75342	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol + H2O = glycerol + (9Z)-octadecenoate + H(+)	DIRECT_REACTION	RHEA:38487	Cytoplasm, cytosol; Membrane	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""20079333""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""22969151""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""24368842""}]"	True	"[{""texts"": [{""evidences"": [{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""19957260""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""19962385""}], ""value"": ""Homodimer""}], ""commentType"": ""SUBUNIT""}]"	https://www.uniprot.org/uniprotkb/Q99685/entry	DIRECT_ANNOTATION	Exact small-molecule ID in reviewed human catalytic annotation; not PDAC function or new chemical identification
