cancer	feature_name	metabolite_key	n_preimputation_available	n_processed_finite	identity_status	mapping_status	identity_note	locked_primary_relations	primary_evaluable	availability_evaluable	availability_feature_n_gate	review_reason
PDAC	methionine sulfoxide	KEGG:C02989	27	27	HOLD	IDENTITY_REVIEW_REQUIRED	Sulfoxide S/R configuration unspecified; keep both hypotheses conditional; free amino acid not protein residue.	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	myristoleate (14:1n5)	KEGG:C08322	27	27	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	N1-methylguanosine	HMDB:HMDB01563	21	27	NO_EXACT_ID_BRIDGE	NO_RELIABLE_EXACT_RELATION_FOUND_IN_SCOPE	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	nicotinamide adenine dinucleotide (NAD+)	KEGG:C00003	5	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	125	124	0	N_LT_8	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	ornithine	KEGG:C00077	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	13	13	13	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	pro-hydroxy-pro	HMDB:HMDB06695	26	27	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	0	0	0	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	taurine	KEGG:C00245	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	9	9	9	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	thymidine	KEGG:C00214	8	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	11	11	11	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	thymidine 3'-monophosphate	NAME:thymidine 3'-monophosphate	9	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	1	1	1	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	thymine	KEGG:C00178	15	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	4	4	4	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
PDAC	tryptophan	KEGG:C00078	27	27	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	15	14	14	CHECK_PAIRWISE_FINITE_N_AND_VARIATION	Locked v1 primary uses author-processed finite pairs, n>=8 and variable values; no preimputation minimum for primary. Availability uses preimputation-available subset. Not equal observation support; not MS detection certification.
