metabolite	metabolite_direction	gene	mapping_level	reaction_role	GSE263733_top_celltype	GSE278688_top_celltype	celltype_bias_replicated	tumor_normal_effect_gse263733	tumor_normal_fdr_gse263733	tumor_normal_effect_gse278688	tumor_normal_fdr_gse278688	tumor_normal_direction_replicated	top_celltype_fdr_significant_both	proliferation_association_both_datasets	malignant_label_required	final_gene_evidence_status	interpretation_boundary	original_label	reviewed_label	review_reason
aspartylphenylalanine	DOWN	CNDP2	near_direct	broad dipeptide hydrolysis	Myeloid	Myeloid	YES	0.545279779531386	0.1510770166288561	-0.22276376808100426	0.5284090909090909	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
glycylvaline	DOWN	DPEP1	near_direct	dipeptide hydrolysis	Acinar	Acinar	YES	-0.5801200595523563	NA	-0.03852263335894568	NA	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
aspartylphenylalanine	DOWN	DPEP1	near_direct	dipeptide hydrolysis	Acinar	Acinar	YES	-0.5801200595523563	NA	-0.03852263335894568	NA	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
glycylvaline	DOWN	SLC15A1	near_direct	dipeptide transport	Ductal	Ductal	YES	-0.9602151483613866	0.21264822134387348	0.6807015611245779	0.94453125	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	PROLIFERATION_ASSOCIATED	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	PROLIFERATION_ASSOCIATED	PROLIFERATION_ASSOCIATED	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
aspartylphenylalanine	DOWN	SLC15A1	near_direct	dipeptide transport	Ductal	Ductal	YES	-0.9602151483613866	0.21264822134387348	0.6807015611245779	0.94453125	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	PROLIFERATION_ASSOCIATED	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	PROLIFERATION_ASSOCIATED	PROLIFERATION_ASSOCIATED	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
2-palmitoylglycerol	DOWN	MGLL	direct	monoacylglycerol hydrolysis	Ductal	Ductal	YES	1.4888261949987331	0.12999695956217694	1.2611860098281018	0.5567901364386983	YES	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	DIRECTION_CONCORDANT_NOT_FDR_SIGNIFICANT	Mean effects have the same sign; neither listed within-celltype disease comparison passes FDR<0.05. Not significant replication; not proof of no effect. Median direction may differ.
2-palmitoylglycerol	DOWN	ABHD6	direct	monoacylglycerol hydrolysis	Myeloid	Myeloid	YES	0.22419082343696672	0.9849802371541503	-0.2560056729008878	0.8303571428571429	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
2-palmitoylglycerol	DOWN	MOGAT1	near_direct	monoacylglycerol acylation	Myeloid	Ductal	NO	0.5439678893525595	0.21929296000442247	0.841282133865794	0.5284090909090909	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	LOW_EXPRESSION_NOT_EVALUABLE	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	LOW_EXPRESSION_NOT_EVALUABLE	LOW_EXPRESSION_NOT_EVALUABLE	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
9,10-DiHOME	DOWN	EPHX1	direct_or_near_direct	epoxide hydrolase conversion	Endothelial	Fibroblast/CAF	NO	-1.277408083465068	0.12999695956217694	-0.6063108942709423	0.44711538461538464	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	DATASET_DEPENDENT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	DATASET_DEPENDENT	DATASET_DEPENDENT	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
9,10-DiHOME	DOWN	EPHX2	direct_or_near_direct	epoxide hydrolase conversion	T/NK	T/NK	YES	0.04626588343590443	0.7690492505547665	-0.18851848821039202	0.5567901364386983	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
