source_kind	source_url	version	git_blob_sha1	sha256	hash_scope
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/36921492/	E11;PMID=36921492;year=2023		2451681dd61902d58816bf6d1af3e1a59388489d15438de71dcdff2a6a10d031	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.nature.com/articles/s41418-026-01831-5	E12;PMID=42527521;year=2026		ce7c08411ef609f430a669ea5f6f556a3ddc3889b58982e59ec43091e6b62e49	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/28640255/	E13;PMID=28640255;year=2017		b8f26bce34480dcb5d1aadcb89db5d51075a99b5760e8d727b3288a613790971	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://academic.oup.com/gastro/article/doi/10.1093/gastro/goad033/7205477	E14;PMID=37360194;year=2023		51331629b09a8fda86e75dd57b10c583fc782e24282dd6505af4fd33ebbc5e2e	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/40210882/	E15;PMID=40210882;year=2025		773ade1344e55fe03d1cc4bc5fb1d80ecde5742477c6f5e2b9385993424e129c	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/37541527/	E16;PMID=37541527;year=2023		ec264b7235fe46ac8ff3683bb5ffb761ad6f4830154f4e6b6c607db01300efec	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubs.acs.org/doi/abs/10.1021/acsomega.4c00901	E17;PMID=38764627;year=2024		88bab9de953d1fd3d4260a924976ac8472270cad9e56282a6cd11d72303e6775	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/39642324/	E18;PMID=39642324;year=2025		f298037372dd26a48e3b5e6925694100cdd595684560d4644360194897e6d87e	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/15784746/	E19;PMID=15784746;year=2005		70bedd37d95ba5ab5b10b796951a78702624060c23ac9dfd501890960bb7ac4e	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/27710830/	E20;PMID=27710830;year=2016		fd6868cba3f7206300822ef514f232f7195b5b9f3716420660f92fdc8e11d970	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/4931650	E21;PMID=36688005;year=2023		ebfb632c834ea6b9d4cf54200870d68c17a0bfaa1110e188ebdfaa7e206eaffc	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.jstage.jst.go.jp/article/bpb/38/8/38_b14-00622/_html/-char/ja	E22;PMID=26235575;year=2015		4903ea4e0d861d799ed5ac45d4b097ae7512645e7c86f690be772291d0d9d63f	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.nature.com/articles/srep23642	E23;PMID=27004849;year=2016		4c4774fad0ec20eb2736a32c9fcdbf5eb45e0159da64cef0470c609a50f50dce	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/29909608/	E24;PMID=29909608;year=2019		2725aac726ea4b89f23abec9809547212a979e1f8e115ded5050fc0406ded559	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/34789336/	E25;PMID=34789336;year=2021		839733afdf5842623bf4255297ddda2a034e02f2d0e04b706225214239b1c88b	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/37770567/	E26;PMID=37770567;year=2023		7c73305f0f9d05814bfbb0e7d25d3c48e55b1040f4252ed1ad0116ea3982c540	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/37439264/	E27;PMID=37439264;year=2023		ccf066f13b6f721bdfe81fb0cdff4f00db61f3093b689a0528f912d1c4fbffae	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/39273527/	E28;PMID=39273527;year=2024		8b4328b3b50a1e8b499fbe7263711f75d0e27b5ef0d46b9359946cf23a7ff997	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/18768736/	E29;PMID=18768736;year=2008		d8984621a221d1d3c8be1b152196b826c1d5d347fad9dea986bf0b542dd3b26c	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/19147495/	E30;PMID=19147495;year=2009		4e3a55fbd9d2f6c143da2ed9d8b758f8be47c8da7e492f924ac26b3fe17f2c62	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.mdpi.com/2076-3921/15/2/171	E31;PMID=;year=2026		2a90dea91dcb1218e7b2fd7d02bd3e410e68e92eab2ddde4d50cba5884b7a823	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/25000516/	E32;PMID=25000516;year=2014		625368a705500ca4639881edaa7978ed991d9143f62c44222e10f1eecd0f3e78	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://www.jci.org/articles/view/199709	E33;PMID=42454485;year=2026		05901711b16e1b75837b299e05ba571a9ed14806fcec079cedeeb7bc104eefb6	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/39719710/	E34;PMID=39719710;year=2025		eb8cc85fb1a256104f629b9ca846e45d1622733f60ff00b7cc54a74a236cb28b	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/30419950/	E35;PMID=30419950;year=2018		b77e2b9dea14a9350fb3ee4c8b336bf979cd5353e2f34dc2853c0852a7013b22	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/25241896/	E36;PMID=25241896;year=2015		afcf1d391a2c0261048dba9ab8ee5e87f3ae29731b513bf77d621b253df5720d	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/21855639/	E37;PMID=21855639;year=2011		5b1e6dd426746014660cc735910c0a72dd47502426ccb46d4af0f4f4ab200023	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/17250773/	E38;PMID=17250773;year=2007		de6ec8b14a8a4d77c8f5d2a40e543370be31ec51f0f0197f5c5a4c854505bb6d	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/38755598/	E39;PMID=38755598;year=2024		3d2a218fdaea5db220c7d21b84b57ca948684d0ce0c43e92a1cd7d9e38b375c5	SHA256 of curated record ONLY, not article text or source-page bytes
Curated primary-source record	https://pubmed.ncbi.nlm.nih.gov/27705916/	E40;PMID=27705916;year=2016		c001a8d1a57ff726a94e38fcfcb55f29bc7ec81f857875d9fce4f0d97bf1fc5d	SHA256 of curated record ONLY, not article text or source-page bytes
