gene	all_top	naive_top	treated_top	all_naive_same	interpretation
CHKA	Nonmalignant_epithelial	Nonmalignant_epithelial	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CHKB	Fibroblasts	Fibroblasts	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CHPT1	Nonmalignant_epithelial	Nonmalignant_epithelial	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CKB	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CKM	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CMAS	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CMPK1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CMPK2	Myeloid	Myeloid	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CPT1A	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CPT1B	Malignant_epithelial	Malignant_epithelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CPT2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CRAT	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CROT	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CS	Malignant_epithelial	Malignant_epithelial	Perivascular	True	descriptive rank; low detection flags in gene117 comparison must also be checked
CTNS	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
DPYD	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
DPYS	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ETNK1	Nonmalignant_epithelial	Malignant_epithelial	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
ETNK2	Malignant_epithelial	Malignant_epithelial	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
FDFT1	Nonmalignant_epithelial	Malignant_epithelial	Perivascular	False	descriptive rank; low detection flags in gene117 comparison must also be checked
FH	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
FOLH1	Endothelial	Nonmalignant_epithelial	Endothelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
GAMT	Malignant_epithelial	Malignant_epithelial	Perivascular	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GCLC	Myeloid	Myeloid	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GDA	B_cells	B_cells	T_NK_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GDPD5	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GLS	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GLS2	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GLUL	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GNPNAT1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GOT1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GOT2	Malignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
GPCPD1	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GPI	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GSR	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
GSS	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
HAL	Malignant_epithelial	Malignant_epithelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
HPD	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
HPRT1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
IDNK	Nonmalignant_epithelial	Nonmalignant_epithelial	T_NK_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
IMPA1	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
IMPA2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
KHK	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
KMO	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
KYNU	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
LDHA	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
LDHB	Perivascular	Nonmalignant_epithelial	Perivascular	False	descriptive rank; low detection flags in gene117 comparison must also be checked
MAT1A	Malignant_epithelial	Malignant_epithelial	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
MAT2A	Perivascular	Perivascular	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
MDH1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
MDH2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
MGAM	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
MPI	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
NAGK	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
NAMPT	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
NNMT	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
NPL	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
OAT	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
ODC1	B_cells	B_cells	T_NK_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
OTC	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PAH	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PANK1	Malignant_epithelial	Malignant_epithelial	Perivascular	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PANK2	Malignant_epithelial	Endothelial	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
PANK3	Nonmalignant_epithelial	Nonmalignant_epithelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PCYT1A	Endothelial	Endothelial	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PCYT1B	Nonmalignant_epithelial	Nonmalignant_epithelial	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PCYT2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PEPD	Myeloid	Myeloid	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PFKL	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PFKM	Perivascular	Perivascular	Perivascular	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PFKP	Malignant_epithelial	Endothelial	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
PGD	Malignant_epithelial	Myeloid	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
PGM3	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PMM1	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PMM2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PNP	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PPA1	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PPA2	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PRODH	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PRODH2	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PYCR1	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PYCR2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
PYCR3	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
RBKS	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
RFK	Endothelial	Endothelial	Endothelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SHMT1	Nonmalignant_epithelial	Nonmalignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SHMT2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SLC6A6	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SLC6A8	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SLC7A11	Malignant_epithelial	Myeloid	Malignant_epithelial	False	descriptive rank; low detection flags in gene117 comparison must also be checked
SOAT1	Myeloid	Myeloid	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SOAT2	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SORD	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SPHK1	Fibroblasts	Fibroblasts	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SPHK2	Malignant_epithelial	Malignant_epithelial	B_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
SQLE	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
TAT	Nonmalignant_epithelial	Nonmalignant_epithelial	T_NK_cells	True	descriptive rank; low detection flags in gene117 comparison must also be checked
UPB1	Endothelial	Endothelial	Fibroblasts	True	descriptive rank; low detection flags in gene117 comparison must also be checked
UPP1	Endothelial	Endothelial	Myeloid	True	descriptive rank; low detection flags in gene117 comparison must also be checked
UPP2	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	True	descriptive rank; low detection flags in gene117 comparison must also be checked
