evidence_id	gene	pmid	source_url	title	evidence_class	applicable_model	intervention	outcome_cn	counterevidence_and_limits_cn	reading_depth	own_patient_statistics	resource_status	full_figure_audit
N39E011	ENPP2	37296899	https://pubmed.ncbi.nlm.nih.gov/37296899/	Autotaxin Inhibition with IOA-289 Decreases Breast Tumor Growth in Mice Whereas Knockout of Autotaxin in Adipocytes Does Not.	BRCA_PHARMACOLOGY_WITH_GENETIC_NULL	E0771;MMTV-PyMT;脂肪细胞特异敲除	脂肪细胞敲除;IOA-289	脂肪细胞敲除未降低生长或肺转移；全身抑制在E0771降低生长	细胞来源重要；负结果必须保留；GSE176078是背景不是自身干预	abstract_and_data_availability	False	NOT_YET_ELIGIBLE	False
N39E012	LPCAT1	36909375	https://pubmed.ncbi.nlm.nih.gov/36909375/	LPCAT1 is transcriptionally regulated by FOXA1 to promote breast cancer progression and paclitaxel resistance.	BRCA_GENETIC	MDA-MB-231;紫杉醇耐药株	shRNA	降低后增殖、迁移、侵袭和紫杉醇耐受降低	FOXA1救援不等于证明CAMP特定LPC介导	abstract_and_methods_excerpt	False	NOT_YET_ELIGIBLE	False
N39E013	LYPLA1	41992085	https://pubmed.ncbi.nlm.nih.gov/41992085/	Acyl-protein thioesterase 1 (&lt;i&gt;LYPLA1&lt;/i&gt;) activity promotes the growth of MDA-MB-468 triple-negative breast cancer cells.	BRCA_PHARMACOLOGY	MDA-MB-468 TNBC	ML348抑制	增殖下降;以细胞周期停滞为主	不是本项目新DepMap分析；主要药理证据，未证明当前LPC关联介导	abstract	False	NOT_YET_ELIGIBLE	False
N39E014	LYPLA2	28065656	https://pubmed.ncbi.nlm.nih.gov/28065656/	APT2 Inhibition Restores Scribble Localization and S-Palmitoylation in Snail-Transformed Cells.	EPITHELIAL_MODEL_PENDING	Snail转化的上皮细胞;具体来源待核对	APT2抑制与敲低	Scrib定位与棕榈酰化恢复;MEK降低	不能仅凭摘要称为已验证乳腺癌模型；全文取得失败	abstract	False	NOT_YET_ELIGIBLE	False
N39E015	MGLL	35351947	https://pubmed.ncbi.nlm.nih.gov/35351947/	Inhibition of triple negative breast cancer-associated inflammation, tumor growth and brain colonization by targeting monoacylglycerol lipase.	BRCA_PHARMACOLOGY	TNBC-HBMEC共培养;4T1-BrM5	AM9928	减少脑内皮穿越、相关炎症与脑定植	药理为主；不能由CAMP整体RNA下降判定抑制方向	abstract_and_selected_methods	False	NOT_YET_ELIGIBLE	False
N39E016	PTGS2	40370195	https://pubmed.ncbi.nlm.nih.gov/40370195/	The lncRNA DANCR promotes breast cancer brain metastasis by acting as a ceRNA for miR-758-3p to regulate PTGS2 expression.	BRCA_GENETIC	DANCR/脑转移背景乳腺癌细胞	PTGS2沉默	逆转DANCR诱导的部分体外促肿瘤效应	公开GEO多为背景队列，不能当PTGS2直接干预数据	abstract_and_data_availability	False	NOT_YET_ELIGIBLE	False
N39E017	SDHA	40821099	https://pubmed.ncbi.nlm.nih.gov/40821099/	Exploring the critical role of SDHA in breast cancer proliferation: implications for novel therapeutic strategies.	BRCA_GENETIC	MCF7;SKBR3	敲低	增殖、克隆形成与迁移下降	全文取得失败；不据此把所有SDH亚基统一抑制	abstract	False	NOT_YET_ELIGIBLE	False
N39E018	SDHC	31164982	https://pubmed.ncbi.nlm.nih.gov/31164982/	Epithelial to mesenchymal transition (EMT) is associated with attenuation of succinate dehydrogenase (SDH) in breast cancer through reduced expression of <i>SDHC</i>.	BRCA_GENETIC_DIRECTION_CAUTION	MCF7	CRISPR杂合降低	出现EMT表型及细胞形态改变	球体生长/稳定性也下降；不能只用一种终点判断促癌抑癌	abstract_and_methods_results_excerpt	False	NOT_YET_ELIGIBLE	False
N39E019	SDHD	37974462	https://pubmed.ncbi.nlm.nih.gov/37974462/	Multi-omics integration analysis unveils heterogeneity in breast cancer at the individual level.	BRCA_GENETIC_DIRECTION_CAUTION	MCF7	siRNA	降低后增殖、迁移、侵袭增强并伴EMT标记变化	不能把SDHA的干预方向直接移到SDHD	abstract_and_results_excerpt	False	NOT_YET_ELIGIBLE	False
N39E020	SLC13A3	39515327	https://pubmed.ncbi.nlm.nih.gov/39515327/	Itaconate transporter SLC13A3 impairs tumor immunity via endowing ferroptosis resistance.	FUNCTION_MODEL_DETAIL_PENDING	肿瘤-巨噬细胞;模型谱待核对	基因缺失;候选抑制剂	衣康酸摄取与铁死亡抵抗/免疫治疗响应相关	摘要未确认具体乳腺模型；此衣康酸关系不等于CAMP当前映射底物	abstract	False	NOT_YET_ELIGIBLE	False
N39E021	SLC25A10	30205167	https://pubmed.ncbi.nlm.nih.gov/30205167/	Targeting SLC25A10 alleviates improved antioxidant capacity and associated radioresistance of cancer cells induced by chronic-cycling hypoxia.	FUNCTION_MODEL_DETAIL_PENDING	慢性循环低氧;肿瘤模型待核对	遗传或药理抑制	增强放射杀伤与抗氧化背景有关	乳腺患者生存证据不等于乳腺模型直接干预；全文未取得	abstract	False	NOT_YET_ELIGIBLE	False
N39E022	SLC47A1	37583829	https://pubmed.ncbi.nlm.nih.gov/37583829/	Platinum-Acridine Agents with High Activity in Cancers Expressing the Solute Carrier MATE1 (<i>SLC47A1</i>).	BRCA_DRUG_TRANSPORT_CONTEXT	MDA-MB-436及其他癌细胞	MATE1抑制;铂-吖啶化合物	转运抑制降低药物活性	涉及药物摄取敏感性，非当前肌酐异常的功能解释	abstract	False	NOT_YET_ELIGIBLE	False
N39E023	SLC47A2	27959931	https://pubmed.ncbi.nlm.nih.gov/27959931/	MATE2 Expression Is Associated with Cancer Cell Response to Metformin.	ASSOCIATION_NOT_SELF_PERTURBATION	19癌细胞系;非乳腺专属	二甲双胍处理	MATE2表达与药物反应相关	未证明SLC47A2自身干预；不能借用为直接遗传功能支持	abstract	False	NOT_YET_ELIGIBLE	False
N39E024	SUCLA2	37253003	https://pubmed.ncbi.nlm.nih.gov/37253003/	Succinyl-CoA ligase ADP-forming subunit beta promotes stress granule assembly to regulate redox and drive cancer metastasis.	BRCA_GENETIC	MDA-MB231;MDA-MB468;脱附条件	稳定敲低;过表达;构建救援	降低后失巢凋亡增强，贴壁增殖/凋亡未显著改变	乳腺细胞与肺癌小鼠实验分开；琥珀酸未变且补充不救援，提示非经典功能	abstract_and_results_figure_excerpt	False	NOT_YET_ELIGIBLE	False
N39E025	SUCLG1	37253003	https://pubmed.ncbi.nlm.nih.gov/37253003/	Succinyl-CoA ligase ADP-forming subunit beta promotes stress granule assembly to regulate redox and drive cancer metastasis.	BRCA_GENETIC_NULL_SPECIFIC_ENDPOINT	A549及MDA-MB231;脱附	敲低	未像SUCLA2降低那样诱导失巢凋亡	只限定该研究终点；不是无任何生物学作用	results_figure3_excerpt	False	NOT_YET_ELIGIBLE	False
N39E026	SUCLG2	37253003	https://pubmed.ncbi.nlm.nih.gov/37253003/	Succinyl-CoA ligase ADP-forming subunit beta promotes stress granule assembly to regulate redox and drive cancer metastasis.	BRCA_GENETIC_NULL_SPECIFIC_ENDPOINT	A549及MDA-MB231;脱附	敲低	未像SUCLA2降低那样诱导失巢凋亡	不能从同一复合体成员推断相同功能	results_figure3_excerpt	False	NOT_YET_ELIGIBLE	False
