基因	本轮定位	CAMP直接代谢物及方向	CAMP原未调关联（逐关系）	FUSCC原关联（逐关系）	Tang原关联（逐关系）	Tang可评估性	GSE42568肿瘤减正常log2差	GSE42568 RNA q	既有功能类别（未新增文献审核）	既有功能摘要	既有功能限制	既有细胞背景	本轮逐病例留出	本轮矛盾及缺项	本轮下一步范围	历史工作优先级（未重排）	历史最小工作（非新任务）	功能来源
ASNS	保留既有支持；新增Tang不精确结果	glutamate(升高); aspartate(升高); glutamine(降低); asparagine(降低)	"glutamate: ρ=0.2327; q=0.2127
aspartate: ρ=0.08593; q=0.6893
glutamine: ρ=-0.4305; q=0.01995
asparagine: ρ=-0.1457; q=0.4764"	"glutamate: ρ=-0.2358; q=0.007457
aspartate: ρ=-0.1859; q=0.03356
glutamine: ρ=-0.3073; q=0.00348
asparagine: ρ=-0.01156; q=1"	"glutamate: ρ=0.2331; q=0.7302
aspartate: ρ=0.3624; q=0.5208
glutamine: ρ=-0.1489; q=0.8842
asparagine: ρ=0.3549; q=0.5208"	DONE	0.8351788303204195	4.280174162074904e-06	有乳腺癌遗传干预报告	S006（2018）：限制天冬酰胺减少转移，但不减少该研究中的原发肿瘤生长；增强天冬酰胺供应促进转移 | S007（2025）：脑转移抑制，支持ASNS—天冬酰胺轴的脑转移背景	S006：营养/转移终点和模型特异；并非针对CAMP谷氨酰胺关联的患者因果验证 | S007：当前可见摘要主要为上游调控；不能记为已经核实的独立ASNS敲除实验	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	Tang谷氨酰胺负向但不显著；FUSCC与小鼠Asns干预各有适用范围，仍未证明人类谷氨酰胺机制	作为已有数据专题保留；不因Tang未显著取消，也不扩写已闭合机制	保留	作为功能参照保留，区分原发增长/转移及谷氨酰胺与天冬酰胺	"https://pubmed.ncbi.nlm.nih.gov/29414946/
https://pubmed.ncbi.nlm.nih.gov/40531994/"
ASS1	保留原候选池；本轮未专项重评	aspartate(升高); citrulline(降低)	"aspartate: ρ=-0.171; q=0.3768
citrulline: ρ=-0.1151; q=0.5494"	"aspartate: ρ=0.01764; q=1
citrulline: ρ=0.03997; q=0.9526"	"aspartate: ρ=-0.04511; q=0.9491
citrulline: ρ=-0.2977; q=0.6132"	DONE	-1.6087107440005628	0.0060676103100875	有乳腺癌遗传干预报告	S008（2024）：ASS1限制成瘤；缺失可部分缓解丝/甘氨酸缺乏抑制，丝氨酸补充影响过表达表型 | S009（2014）：诱导线粒体损伤和细胞死亡/生长抑制 | S010（2021）：ASS1激活和抗肿瘤表型	S008：不是简单的ASS1抑制策略；CAMP天冬氨酸/瓜氨酸关系不能直接等同该机制 | S009：ASS1缺失是响应背景，不等于干预ASS1可普遍治疗；题名为内容概述 | S010：药物靶向归属及基因救援需进一步全文定位；不可作临床用药建议	Wu: Endothelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	结合TNBC/丝氨酸背景解释，不自动列抑制ASS1	"https://www.nature.com/articles/s41419-024-06672-z
https://pubmed.ncbi.nlm.nih.gov/24692592/
https://www.nature.com/articles/s41467-021-22235-8"
BBOX1	保留原候选池；本轮未专项重评	deoxycarnitine(升高)	deoxycarnitine: ρ=-0.2709; q=0.1612	deoxycarnitine: ρ=未测/不可评估; q=未测/不可评估	deoxycarnitine: ρ=0.191; q=0.7822	DONE	-0.309837393170814	0.5699246535433041	有乳腺癌遗传干预报告	S011（2020）：TNBC生长、细胞周期和存活受损；所测正常乳腺细胞影响较小；体内肿瘤生长下降	S011：有限正常细胞比较不是临床安全；机制为酶依赖的BBOX1–IP3R3联系，不能称催化无关	Wu: Nonmalignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	区分BBOX1酶活、IP3R3联系及CAMP底物丰度，避免首次靶点表述	https://pubmed.ncbi.nlm.nih.gov/32690540/
BCAT1	保留原候选池；本轮未专项重评	glutamate(升高); isoleucine(降低)	"glutamate: ρ=0.2942; q=0.1243
isoleucine: ρ=-0.1548; q=0.4406"	"glutamate: ρ=0.1214; q=0.3095
isoleucine: ρ=未测/不可评估; q=未测/不可评估"	"glutamate: ρ=0.01805; q=0.9818
isoleucine: ρ=-0.05113; q=0.9491"	DONE	-0.5413174485455317	0.1635299162015918	有乳腺癌遗传干预报告	S012（2017）：敲低抑制增殖、迁移、侵袭和原位肿瘤；过表达使敏感细胞在抗雌激素下仍可生长 | S013（2020）：增殖、迁移、侵袭减少，PI3K/Akt与Ras/ERK信号变化	S012：激素背景特异，不能外推所有BRCA | S013：体外/刺激条件；BCATc=BCAT1，不是BCAT2	Wu: Myeloid; Pal: Myeloid; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	按激素/IGF背景核对公开资料；与BCAT2分开	"https://pubmed.ncbi.nlm.nih.gov/28319069/
https://pubmed.ncbi.nlm.nih.gov/32523652/"
BCAT2	保留原候选池；本轮未专项重评	glutamate(升高); isoleucine(降低)	"glutamate: ρ=0.3253; q=0.08006
isoleucine: ρ=-0.2387; q=0.2101"	"glutamate: ρ=-0.07713; q=0.6087
isoleucine: ρ=未测/不可评估; q=未测/不可评估"	"glutamate: ρ=-0.3338; q=0.5466
isoleucine: ρ=-0.2812; q=0.633"	DONE	0.2017569664592757	0.2651425969227192	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	保留患者线索，补查BCAT2基因特异乳腺癌扰动；不反复换种子	NA
CDO1	保留原候选池；本轮未专项重评	cysteine(升高)	cysteine: ρ=-0.3072; q=0.1057	cysteine: ρ=未测/不可评估; q=未测/不可评估	cysteine: ρ=-0.3323; q=0.5466	DONE	-3.49528263767138	7.48809756296058e-07	有乳腺癌遗传干预报告	S014（2013）：ROS升高、细胞存活和生长降低、蒽环类敏感性增加	S014：去甲基化药非CDO1特异；不能把低表达基因自动列为抑制靶点	Wu: Fibroblasts; Pal: Fibroblasts; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	优先确认恢复CDO1后的半胱氨酸利用及药物背景	https://aacrjournals.org/clincancerres/article/19/12/3201/77652/Frequent-Inactivation-of-Cysteine-Dioxygenase-Type
CEPT1	保留原候选池；本轮未专项重评	cytidine 5'-monophosphate (5'-CMP)(升高); cytidine 5'-diphosphocholine(升高)	"cytidine 5'-monophosphate (5'-CMP): ρ=0.2451; q=0.2027
cytidine 5'-diphosphocholine: ρ=0.2591; q=0.1624"	"cytidine 5'-monophosphate (5'-CMP): ρ=-0.03426; q=1
cytidine 5'-diphosphocholine: ρ=0.03315; q=1"	"cytidine 5'-monophosphate (5'-CMP): ρ=-0.1414; q=0.8869
cytidine 5'-diphosphocholine: ρ=-0.6556; q=0.07335"	DONE	1.2107268985865378	8.267060363493367e-05	功能线索待方法/模型核定	S015（2023）：制剂抗肿瘤效果；摘要不足以确认CEPT1基因特异干预	S015：不能由标题写着regulating CEPT1就认定CEPT1敲除抑癌	Wu: B_cells; Pal: Myeloid; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	先定位特异敲低/救援，区分药物多靶性与基因作用	https://www.sciencedirect.com/science/article/abs/pii/S1001841722006179
CHKA	保留原候选池；本轮未专项重评	choline(降低); ethanolamine(升高); phosphoethanolamine(升高)	"choline: ρ=0.04971; q=0.835
ethanolamine: ρ=0.2302; q=0.2172
phosphoethanolamine: ρ=0.08255; q=0.6893"	"choline: ρ=-0.05627; q=0.805
ethanolamine: ρ=未测/不可评估; q=未测/不可评估
phosphoethanolamine: ρ=0.05206; q=0.8317"	"choline: ρ=-0.07519; q=0.9242
ethanolamine: ρ=0.1444; q=0.8867
phosphoethanolamine: ρ=0.08421; q=0.9242"	DONE	1.1557662327429306	1.2602922850482714e-06	有乳腺癌遗传干预报告	S016（2015）：SUM44细胞存活减少，但MDA-MB134-VI未显示同样效应；调节ER驱动增殖	S016：拷贝数相似不保证表达/依赖相同；必须保留细胞系阴性结果	Wu: Nonmalignant_epithelial; Pal: Mast_cells; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	保留SUM44与MDA-MB134-VI差异，不把低原RNA差异当排除项	https://link.springer.com/article/10.1186/s13058-015-0532-0
CHKB	保留原候选池；本轮未专项重评	choline(降低); ethanolamine(升高); phosphoethanolamine(升高)	"choline: ρ=未测/不可评估; q=未测/不可评估
ethanolamine: ρ=未测/不可评估; q=未测/不可评估
phosphoethanolamine: ρ=未测/不可评估; q=未测/不可评估"	"choline: ρ=0.1747; q=0.04785
ethanolamine: ρ=未测/不可评估; q=未测/不可评估
phosphoethanolamine: ρ=-0.03296; q=1"	"choline: ρ=-0.3098; q=0.5935
ethanolamine: ρ=-0.1639; q=0.8443
phosphoethanolamine: ρ=-0.06917; q=0.9242"	DONE	-0.2479846819762441	0.1962424391795668	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Fibroblasts; Pal: Fibroblasts; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	先解决测量映射，CHKA证据不得替代CHKB	NA
CHPT1	保留原候选池；本轮未专项重评	cytidine 5'-monophosphate (5'-CMP)(升高); cytidine 5'-diphosphocholine(升高)	"cytidine 5'-monophosphate (5'-CMP): ρ=-0.09998; q=0.6208
cytidine 5'-diphosphocholine: ρ=-0.2384; q=0.2101"	"cytidine 5'-monophosphate (5'-CMP): ρ=-0.1301; q=0.2273
cytidine 5'-diphosphocholine: ρ=0.2141; q=0.009491"	"cytidine 5'-monophosphate (5'-CMP): ρ=-0.03158; q=0.9778
cytidine 5'-diphosphocholine: ρ=-0.5759; q=0.1711"	DONE	-0.4175496178433251	0.2179550176040739	有乳腺癌遗传干预报告	S017（2016）：软琼脂生长、增殖和侵袭下降；斑马鱼早期播散下降，LCC2影响较强	S017：斑马鱼早期播散非完整自发转移；CAMP的CDP-choline/CMP不能直接当膜PC通量	Wu: Nonmalignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	区别CDP-choline/CMP丰度和膜磷脂通量，保留亚型范围	https://pubmed.ncbi.nlm.nih.gov/27457520/
CKB	保留原候选池；本轮未专项重评	creatine(降低)	creatine: ρ=0.2409; q=0.2027	creatine: ρ=0.07697; q=0.6087	creatine: ρ=-0.06015; q=0.9491	DONE	-1.6449043698150456	0.0001535697592221	有乳腺癌遗传干预报告	S018（2022）：侵袭、体内生长与肺转移受CKB调控；药物与化疗可增效	S018：肌酸类似物不等于CKB专一抑制；治疗背景与宿主差异保留	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	区分CKB与肌酸类似物药效；不把CKM结果或全身肌酸生理混用	https://pubmed.ncbi.nlm.nih.gov/35008190/
CKM	保留原候选池；本轮未专项重评	creatine(降低)	creatine: ρ=0.03236; q=0.8839	creatine: ρ=-0.008628; q=1	creatine: ρ=0.09283; q=0.9233	DONE	0.1120403285130091	0.4235181435743975	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Myeloid; Pal: Myeloid; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	保留肌酸关系，禁止借CKB功能赋值	NA
CMAS	保留原候选池；本轮未专项重评	N-acetylneuraminate(升高)	N-acetylneuraminate: ρ=0.1152; q=0.5552	N-acetylneuraminate: ρ=-0.1159; q=0.3122	N-acetylneuraminate: ρ=0.3383; q=0.5466	DONE	0.4781788400610853	0.0046931959754676	有乳腺癌遗传干预报告	S019（2016）：长期无血清存活和异种移植生长降低；蛋白唾液酸化改变 | S020（2026）：体外生长相近，但免疫完整宿主体内生长下降；CD8 T细胞和免疫抑制背景改变	S019：机制不等于某单一游离代谢物；作者未完全解析转录变化原因 | S020：不能拿体外无依赖判为无功能；游离Neu5Ac不是唾液酸化总量；未宣称已逐图复核	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	先核清Neu5Ac游离丰度与细胞唾液酸化/免疫作用层级	"https://pubs.acs.org/doi/10.1021/acschembio.6b00433
https://www.nature.com/articles/s41467-026-73401-9"
CMPK1	保留原候选池；本轮未专项重评	cytidine 5'-monophosphate (5'-CMP)(升高)	cytidine 5'-monophosphate (5'-CMP): ρ=0.06687; q=0.755	cytidine 5'-monophosphate (5'-CMP): ρ=-0.01183; q=1	cytidine 5'-monophosphate (5'-CMP): ρ=0.4105; q=0.4752	DONE	-1.083380334874434	0.0009964320195112	观察性或非基因特异背景	S021（2016）：预后相关证据，不等于功能依赖	S021：circ-CMPK1非小细胞肺癌研究不归属BRCA CMPK1编码蛋白功能	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	不把核IHC预后或circ-CMPK1肺癌研究升级为BRCA功能	https://pubmed.ncbi.nlm.nih.gov/27558661/
CMPK2	保留原候选池；本轮未专项重评	cytidine 5'-monophosphate (5'-CMP)(升高)	cytidine 5'-monophosphate (5'-CMP): ρ=0.02409; q=0.8993	cytidine 5'-monophosphate (5'-CMP): ρ=0.02192; q=1	cytidine 5'-monophosphate (5'-CMP): ρ=-0.3143; q=0.5935	DONE	1.146376651910634	0.0019013344603114	本轮未取得适用干预报告	已进行该基因定向检索；本轮未取得足以归属乳腺癌的基因特异功能来源。不是证明该基因无作用。	有限检索范围，未完成无限制系统综述；低命中可能受别名/缩写和索引覆盖影响。	Wu: Myeloid; Pal: Myeloid; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	暂挂	与CMPK1分开，保留后续线索入口	NA
CPT1A	保留原候选池；本轮未专项重评	palmitoylcarnitine(升高)	palmitoylcarnitine: ρ=-0.03589; q=0.883	palmitoylcarnitine: ρ=0.09676; q=0.4876	palmitoylcarnitine: ρ=0.5429; q=0.2094	DONE	0.2237361530964365	0.109364734516935	有乳腺癌遗传干预报告	S022（2021）：增殖、存活、克隆和乳腺球形成受影响；药理抑制体内生长、促进凋亡 | S023（2016）：凋亡增加；HDAC活性和组蛋白乙酰化改变 | S024（2019）：放射诱导ERK、侵袭性生长和放射耐受下降	S022：不同亚型/异构体；广谱FAO药物不能单独证明CPT1A专一作用 | S023：核CPT1A-v2不能直接作为棕榈酰肉碱转运/FAO催化证据 | S024：放射应激/耐药模型，不是所有未治疗BRCA；药物部分不可单独归属	Wu: Endothelial; Pal: Endothelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	分开CPT1A-v2核功能、经典FAO以及药物非特异性	"https://pubmed.ncbi.nlm.nih.gov/34514415/
https://pubmed.ncbi.nlm.nih.gov/26799588/
https://pubmed.ncbi.nlm.nih.gov/31803610/"
CPT1B	保留原候选池；本轮未专项重评	palmitoylcarnitine(升高)	palmitoylcarnitine: ρ=-0.06532; q=0.755	palmitoylcarnitine: ρ=0.009693; q=1	palmitoylcarnitine: ρ=-0.1173; q=0.9172	DONE	NA	NA	功能线索待方法/模型核定	S025（2018）：干细胞自我更新和化疗耐受受FAO通路调节	S025：当前摘要不能把上游/FAO药物全归属CPT1B基因直接干预	Wu: Malignant_epithelial; Pal: Endothelial; 稳定标记: False	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	优先核查	定位PMID29249690的CPT1B特异敲低与救援，避免把上游结果全归因	https://pubmed.ncbi.nlm.nih.gov/29249690/
CPT2	保留原候选池；本轮未专项重评	palmitoylcarnitine(升高)	palmitoylcarnitine: ρ=0.07656; q=0.7207	palmitoylcarnitine: ρ=0.01311; q=1	palmitoylcarnitine: ρ=0.07368; q=0.9242	DONE	-0.3871940535961533	0.0908894031633168	有乳腺癌遗传干预报告	S024（2019）：放射诱导ERK、侵袭性生长和放射耐受下降 | S026（2021）：降低HRD1敲低所致体内外生长增加；代谢补偿与CB839响应不同	S024：放射应激/耐药模型，不是所有未治疗BRCA；药物部分不可单独归属 | S026：摘要中ubiquitinates and stabilizes措辞与降解叙述需全文核对，不复制为确定分子方向	Wu: Malignant_epithelial; Pal: Malignant_epithelial; 稳定标记: True	本轮未安排；不是阴性	新队列未显著或缺测不作淘汰；患者关联、RNA背景、功能和细胞来源分层保留	沿用既有适用证据安排，不新增统一显著性门槛	保留	保留HRD1/泛素化措辞疑点，核对蛋白稳定性和具体营养条件	"https://pubmed.ncbi.nlm.nih.gov/31803610/
https://pubmed.ncbi.nlm.nih.gov/33207079/"
