metabolite_name	metabolite_key	selected_paired_P_lt_005	paired_P	paired_q	up_pairs	down_pairs	equal_pairs	both_observed_pairs	original_effect	original_q	mapping_status	direct_relations	conditional_relations	unresolved_relations	identity_status	identity_note	legacy_feature	genes
UDP-N-acetylglucosamine	KEGG:C00043	True	1.0606732958025696e-05	8.876160738558345e-05	27	6	0	33	0.939007643120185	0.000290785192477196	HAS_DIRECT_RELATIONS	15	3	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	B3GNT2;B3GNT3;B3GNT4;DPAGT1;ENPP3;GALE;GNE;SLC35A2;SLC35A3;SLC35A5;SLC35B4;SLC35D1;SLC35D2;SLC35D4;UAP1
1-methylnicotinamide	KEGG:C02918	True	1.7295905123417605e-05	0.0001250022233919727	29	4	0	33	0.736754320620112	0.0104274039204103	HAS_DIRECT_RELATIONS	3	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NNMT;SLC22A1;SLC22A2
proline	KEGG:C00148	True	1.4692006662221896e-06	1.9466908827444013e-05	30	3	0	33	1.83185674666479	3.7774906946348e-08	HAS_DIRECT_RELATIONS	17	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	EPRS1;PARS2;PRODH;PYCR1;PYCR2;PYCR3;SLC1A4;SLC36A1;SLC36A2;SLC36A4;SLC38A1;SLC38A2;SLC38A4;SLC6A15;SLC6A17;SLC6A20;SLC6A7
kynurenine	KEGG:C00328	True	8.782118560905848e-05	0.00035804021825231537	28	5	0	30	1.03558795953485	0.000218307827746403	HAS_DIRECT_RELATIONS	9	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;AFMID;GOT2;KMO;KYAT1;KYAT3;KYNU;SLC7A11;SLC7A5
5-methylthioadenosine (MTA)	KEGG:C00170	True	3.7242647279456434e-05	0.000219317811756799	24	6	3	20	0.794416000324265	0.00110684292910678	HAS_DIRECT_RELATIONS	4	1	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	LACC1;MTAP;SMS;SRM
3-hydroxy-3-methylglutarate	KEGG:C03761	True	1.404771606093229e-06	1.9466908827444013e-05	30	2	1	26	1.28253291327222	4.64513926849744e-06	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ACOT8;SUGCT
glycylglycine	KEGG:C02037	True	7.02044012817468e-05	0.0003283088177587571	29	4	0	30	1.09439254708472	5.32472647854001e-06	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
xanthine	KEGG:C00385	True	0.01034635631729135	0.0203095142524608	24	9	0	28	0.38387480653592	0.12185706354843	HAS_DIRECT_RELATIONS	2	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	GDA;XDH
taurine	KEGG:C00245	True	1.0246143586016148e-06	1.8101520335295194e-05	30	3	0	33	1.76824722222295	3.7774906946348e-08	HAS_DIRECT_RELATIONS	17	0	10	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AGMAT;BAAT;CSAD;FAAH;FMO1;FMO3;GADL1;GATM;LRRC8A;LRRC8B;LRRC8C;LRRC8D;LRRC8E;SLC16A6;SLC6A11;SLC6A13;SLC6A6
1-methyladenosine	KEGG:C02494	True	0.00020583772884590765	0.0007438227019658936	23	5	5	19	0.744539332175952	0.0104274039204103	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
N-Acetylglucosamine 1-phosphate	KEGG:C04501	True	0.0039060080746021477	0.008872218340882022	24	9	0	33	0.651874150570456	0.0233237692703757	HAS_DIRECT_RELATIONS	3	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ENPP3;PGM3;UAP1
UDP-glucuronate	KEGG:C00167	True	8.782118560905848e-05	0.00035804021825231537	29	4	0	32	0.51439178620292	0.0104274039204103	HAS_DIRECT_RELATIONS	24	2	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	SLC35A5;SLC35B4;SLC35D1;UGDH;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A2;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7;UXS1
5-hydroxylysine	KEGG:C16741	True	8.782118560905848e-05	0.00035804021825231537	26	7	0	14	1.10235368258317	0.000106513585786417	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 只能匹配游离化合物参与的反应，不由名称跳接胶原蛋白残基羟化酶。	True	HYKK
adenine	KEGG:C00147	True	0.00038999365261257655	0.0012401798153079935	27	6	0	28	1.00605822007937	0.000171933865206755	HAS_DIRECT_RELATIONS	7	0	2	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	APRT;AQP9;LACC1;MTAP;SLC29A1;SLC29A2;SLC43A3
guanosine 5'- diphosphate (GDP)	KEGG:C00035	True	0.049498046027749744	0.07792266651893276	21	9	3	22	0.333738755268872	0.0903180799619314	HAS_DIRECT_RELATIONS	26	55	15	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ADSS1;ADSS2;AK3;AK4;AK9;CANT1;DPM1;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;GUK1;HDDC3;HYKK;NME1;NME2;NME3;NME4;PCK1;PCK2;SLC22A7;SLC25A33;SLC25A36;SUCLG1;SUCLG2
ADP-glucose	KEGG:C00498	False	0.06414149904296203	0.09621224856444305	22	10	1	25	0.388646001175217	0.0652838691197924	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
isoleucine	KEGG:C00407	True	0.0027637524655597713	0.006580946070312909	23	10	0	33	0.567578731556765	0.0446064691375585	HAS_DIRECT_RELATIONS	11	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	BCAT1;BCAT2;IARS1;IARS2;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A19;SLC7A5;SLC7A8
pantothenate	KEGG:C00864	True	0.001730676179816164	0.004438346977270485	19	3	11	21	0.326974894895062	0.166569309698962	HAS_DIRECT_RELATIONS	6	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	PANK1;PANK2;PANK3;SLC5A6;VNN1;VNN2
2,3-diphosphoglycerate	KEGG:C01159	False	0.5699338801555559	0.6289230118871498	14	8	11	6	0.245487877804297	0.341075036067847	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
leucine	KEGG:C00123	True	0.004625048279580867	0.010339052808736149	23	10	0	33	0.50839089312706	0.0398980189569739	HAS_DIRECT_RELATIONS	22	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;BCAT1;BCAT2;LARS1;LARS2;SLC25A44;SLC38A10;SLC38A2;SLC38A8;SLC38A9;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A17;SLC6A19;SLC7A13;SLC7A5;SLC7A6;SLC7A7;SLC7A8;SLC7A9
tyrosine	KEGG:C00082	True	0.01034635631729135	0.0203095142524608	21	12	0	33	0.543601589293918	0.0398980189569739	HAS_DIRECT_RELATIONS	15	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AADAT;IL4I1;PAH;SLC16A10;SLC38A9;SLC6A14;SLC6A19;SLC7A13;SLC7A5;SLCO3A1;TAT;TH;TYR;YARS1;YARS2
asparagine	KEGG:C00152	True	0.00031776764072712137	0.0010983707581654848	26	7	0	33	0.690613414767693	0.0163500248519711	HAS_DIRECT_RELATIONS	14	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ASNS;ASRGL1;NARS1;NARS2;SLC1A4;SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A4;SLC38A7;SLC38A9;SLC6A14;SLC6A15
guanosine 5'- monophosphate (5'-GMP)	KEGG:C00144	False	0.05705048839754517	0.08806822966222991	23	10	0	32	0.177439150440661	0.0925657730292134	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
threonine	KEGG:C00188	True	0.003105214771290092	0.0072607227740459504	23	10	0	33	0.480107439619451	0.0684250522915698	HAS_DIRECT_RELATIONS	16	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	CNDP2;SDS;SDSL;SHMT1;SLC1A4;SLC1A5;SLC38A1;SLC38A2;SLC38A4;SLC6A14;SLC6A15;SLC7A10;TARS1;TARS2;TARS3;YRDC
S-adenosylhomocysteine (SAH)	KEGG:C00021	True	0.02271774835753083	0.04013468876497113	25	8	0	33	0.175751567715889	0.0807523280020274	HAS_DIRECT_RELATIONS	16	59	7	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	AHCY;ASMT;CARNMT1;COMT;COQ3;COQ5;GAMT;GNMT;HNMT;INMT;LRTOMT;NNMT;PEMT;PNMT;SLC25A26;TPMT
3-hydroxyproline	KEGG:C05147	True	0.0008074799318267016	0.002334351075644465	25	8	0	33	0.611551652327855	0.0128731320770819	HAS_DIRECT_RELATIONS	1	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。 只能匹配游离化合物参与的反应，不由名称跳接胶原蛋白残基羟化酶。	True	L3HYPDH
spermidine	KEGG:C00315	True	0.0327442210844028	0.054232616171042136	21	12	0	33	0.305948873264586	0.038270274465541	HAS_DIRECT_RELATIONS	12	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ATP13A2;PANX1;PAOX;SLC18B1;SLC22A1;SLC22A16;SLC22A2;SLC22A3;SLC45A4;SMOX;SMS;SRM
phenylalanine	KEGG:C00079	True	0.004890136763147199	0.010507185747843305	20	13	0	33	0.462912443149273	0.0539757777143879	HAS_DIRECT_RELATIONS	20	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	AADAT;CNDP2;FARS2;FARSA;FARSB;IL4I1;KYAT1;PAH;SLC16A10;SLC38A2;SLC43A1;SLC43A2;SLC6A14;SLC6A15;SLC6A19;SLC7A13;SLC7A5;SLC7A8;SLC7A9;SLCO3A1
5-oxoproline	KEGG:C01879	True	0.026111816620290225	0.04464278325404458	20	13	0	33	0.554592396304544	0.127599886571314	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	CHAC1;CHAC2;GGCT;OPLAH;SLC5A8
deoxycarnitine	KEGG:C01181	True	0.015474009505206743	0.029290089420569907	22	11	0	33	0.401770332905077	0.127799215065539	HAS_DIRECT_RELATIONS	2	0	4	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ALDH9A1;BBOX1
succinate	KEGG:C00042	True	0.007969184101149924	0.016244875283113306	25	8	0	33	0.337546713220222	0.120347758489168	HAS_DIRECT_RELATIONS	22	11	2	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ACOT8;ALDH2;ALDH5A1;BBOX1;OXCT1;OXCT2;SDHA;SDHB;SLC13A2;SLC13A3;SLC16A1;SLC22A24;SLC25A1;SLC25A10;SLC25A11;SLC25A14;SLC25A30;SUCLA2;SUCLG1;SUCLG2;SUGCT;TMLHE
glutamate	KEGG:C00025	True	3.0175463689848174e-05	0.0001919159490674344	26	7	0	33	0.752532488926264	0.00205315909153294	CONDITIONAL_IDENTITY	0	91	0	HOLD_ID_CONFLICT	KEGG C00025 为 L-Glutamate；原 HMDB03339 为 D-Glutamic acid。回查作者注释前保留两种假设，不确定为 L 型。	True	NA
aspartate	KEGG:C00049	False	0.07841099916059824	0.11600891716356022	19	14	0	33	0.460320933856228	0.26789160626745	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
methionine	KEGG:C00073	False	0.2718241227473204	0.33765652747518704	18	15	0	33	0.217278268189552	0.464735018892266	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
carnitine	KEGG:C00318	False	0.22097248719684515	0.28564736149836084	18	15	0	33	0.350784241534305	0.117573788216169	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
adenosine 2'-monophosphate (2'-AMP)	KEGG:C00946	True	0.04833683244085745	0.07685556358096335	24	9	0	33	0.204733660018642	0.172918355303496	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	NA
valine	KEGG:C00183	False	0.059422281027878526	0.08998231127078749	18	15	0	33	0.367717780392191	0.248368955996083	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
N-acetylglucosamine	KEGG:C00140	False	0.10781134723402	0.15583640191099254	19	13	1	25	0.408972159000264	0.133869593570965	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
glycine	KEGG:C00037	False	0.1951762053243511	0.2607816524922002	19	14	0	33	0.249779039675655	0.338008097447384	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
2-hydroxyglutarate	KEGG:C02630	True	0.03577549632825887	0.05864230841436247	24	9	0	33	0.302010203733919	0.170970135184171	CONDITIONAL_IDENTITY	0	5	0	HOLD_STEREOCHEMISTRY	Unresolved measured stereoisomer; R/S are hypotheses, not separate measurements.	False	NA
cadaverine	KEGG:C01672	False	0.4140400034242331	0.4840614745915667	12	9	12	16	0.113438061039415	0.604140297351027	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
phosphoethanolamine	KEGG:C00346	False	0.20778411760699356	0.27080061229108177	19	14	0	33	0.327960993824218	0.560245149769853	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
putrescine	KEGG:C00134	False	0.16072881574779385	0.22222505829477585	18	15	0	33	0.295031285155746	0.341075036067847	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
glycerol 3-phosphate (G3P)	KEGG:C00093	False	0.879284305885663	0.8980308790698314	17	16	0	33	-0.159417539744643	0.899362766790787	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
tryptophan	KEGG:C00078	False	0.6745629021199344	0.7103013340203282	15	18	0	33	0.131027316394432	0.464735018892266	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
Butanoate	NAME:Butanoate	False	0.11695534472429554	0.1675306289293963	19	10	4	18	0.245426492650899	0.340045076615972	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
lactate	KEGG:C00186	False	0.09131339894269486	0.13320027919163746	21	12	0	33	0.381210710154525	0.225170546576447	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
N-acetylglutamate	KEGG:C00624	True	0.0006645017384850796	0.0019609938677247972	25	8	0	30	0.396255826342602	0.127599886571314	HAS_DIRECT_RELATIONS	2	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	Original identifier/name compatible; no independent chemical authentication or full HMDB stereochemistry crosscheck.	False	ABCC5;NAGS
arginine	KEGG:C00062	False	0.6105888230253922	0.6649563209660093	14	19	0	33	0.15773851619423	0.921511123241085	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
nicotinamide	KEGG:C00153	False	0.18313858346106204	0.24888063906246893	12	21	0	33	-0.234433423237569	0.520910815457932	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
phosphocholine	KEGG:C00588	False	0.1554643746373847	0.21683189094161548	18	15	0	33	0.343644380770675	0.135476998216188	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
histidine	KEGG:C00135	False	0.39603606581187456	0.4664424775117634	17	16	0	33	0.0981949210123386	0.750811448774356	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
S7P	NAME:S7P	False	0.44762363615246936	0.519504804001771	16	17	0	33	-0.190785763552638	0.541926741990423	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
lysine	KEGG:C00047	False	0.6486563230628954	0.6875757024466692	14	19	0	33	0.0455983972069536	0.919001463236155	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
uridine 5'-diphosphate (UDP)	KEGG:C00015	True	0.02167496397100788	0.03872268844258711	24	9	0	32	0.400708300009171	0.0458478582879108	HAS_DIRECT_RELATIONS	54	9	13	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AK4;AK9;ALG5;B3GNT2;B3GNT3;B3GNT4;B4GALNT1;B4GALT1;B4GALT2;B4GALT4;B4GALT5;B4GALT6;CANT1;CMPK1;ENTPD1;ENTPD3;ENTPD4;ENTPD5;ENTPD6;ENTPD8;GNE;GYG1;GYG2;GYS1;GYS2;NME1;NME2;NME3;NME4;NME6;SLC25A33;SLC25A36;SLC35B1;UGCG;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A2;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7;UGT8
alanine	KEGG:C00041	False	0.5614396639119171	0.6242580878461177	15	18	0	33	-0.0138895194123145	0.932445515622828	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
alanylalanine	KEGG:C00993	False	0.0529563739506483	0.08254964174659882	19	10	4	14	0.320022545283237	0.232747619539446	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
acetylcarnitine	KEGG:C02571	False	0.3042320687118558	0.3749837125983339	21	12	0	33	0.256028297603105	0.248368955996083	OUTSIDE_CURRENT_P_WORK_POOL	0	0	0	NOT_REVIEWED_THIS_POOL	Outside paired-P work pool; not deleted	False	NA
