gene	aliases_searched	linked_metabolites	n_nominal_relations	evidence_class_code	evidence_class_cn	functional_conclusion_cn	metabolic_link_cn	counterevidence_or_limit_cn	research_increment_cn	research_decision_cn	next_action_cn	mapping_note_cn	patient_evidence_cn	evidence_ids	evidence_urls	n_evidence_records	review_scope_cn	depmap_status	depmap_score	depmap_n_models	full_pool_status	patient_statistics_status	review_status
GNPAT	GNPAT;DHAPAT;glyceronephosphate O-acyltransferase	dihydroxyacetone phosphate (DHAP)	1	I	本轮未确认适用CRC功能	未确认GNPAT自身的CRC肿瘤扰动证据	DHAP/醚脂生化候选未变为功能机制	不能用AGPS或其他醚脂酶的作用替代GNPAT	先查对应区室和脂质反应，不把整个醚脂通路算成支持	保留	等待直接GNPAT扰动或相应代谢数据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	dihydroxyacetone phosphate (DHAP): rho≈-0.3623, q≈0.7335			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
GSTA4	GSTA4;glutathione S transferase A4	glutathione, reduced (GSH)	1	A	CRC肿瘤模型基因干预报告	有HCT116敲除及移植瘤支持，同时有宿主髓系/炎症条件的不同后果	与氧化应激/铁死亡相关；GSH—RNA负相关尚非介导证据	肿瘤上皮和正常巨噬细胞作用不能混写，部分宿主背景炎症反而更重	从细胞来源与微生物/治疗背景拆解功能，避免统一抑制叙述	优先核查	比较上皮和髓系定位，梳理GSH及脂质过氧化原始终点	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glutathione, reduced (GSH): rho≈-0.5324, q≈0.3423	E02;E03	"https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.887127/full
https://www.tandfonline.com/doi/abs/10.1080/19490976.2025.2451090"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
GSTO2	GSTO2;glutathione S transferase omega 2	glutathione, reduced (GSH)	1	A	CRC肿瘤模型基因干预报告	有HCT116、HT29的siRNA体外增殖/迁移报告	未测GSH通量，也未建立GSH介导	体外范围有限；主要使用筛选后siRNA，救援和动物支持本轮未确认	需要独立重复或更明确基因特异证据，而不是继续堆数据库	保留	保留有限功能标签；升级前核读原图与独立研究	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glutathione, reduced (GSH): rho≈0.3844, q≈0.6878	E21	https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/4931650	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
GSTT2	GSTT2;glutathione S transferase theta 2	glutathione, reduced (GSH)	1	H	仅其他模型/生化背景	有CRC风险/启动子调控研究，未确认本轮所需肿瘤表型干预	GSH负相关不能由遗传风险关联直接解释	与GSTT2B高度相似，探针特异性及基因归属需核查	优先解决测量对象，再考虑功能深挖	保留	核对探针/转录本和独立CRC扰动	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glutathione, reduced (GSH): rho≈-0.4071, q≈0.6878	E38	https://pubmed.ncbi.nlm.nih.gov/17250773/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
GSTT2B	GSTT2B;GSTT2	glutathione, reduced (GSH)	1	I	本轮未确认适用CRC功能	未确认GSTT2B特异的CRC肿瘤功能干预	保留GSH名义关联，不借用GSTT2功能	高度同源/近名基因可能导致文献和测量归属问题	先确认证据和RNA测量能否分开两基因	保留	仅有同家族证据时继续标记未确认	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glutathione, reduced (GSH): rho≈-0.4642, q≈0.4062			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
HAGH	HAGH;GLO2;glyoxalase II	glutathione, reduced (GSH)	1	H	仅其他模型/生化背景	检到前列腺癌Glo2/HAGH研究，尚无本轮确认的CRC干预	其他癌种报道D-乳酸/FAK-Src作用，并非GSH患者机制	GLO1不是HAGH；前列腺模型不当作CRC复现	只有对应癌种/反应数据就绪后再进入深入	保留	保留跨癌背景与未确认CRC状态	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glutathione, reduced (GSH): rho≈-0.3747, q≈0.6878	E31	https://www.mdpi.com/2076-3921/15/2/171	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
HDC	HDC;histidine decarboxylase	histamine	1	B	CRC宿主/髓系基因干预	宿主Hdc缺失促进炎症相关癌变，组胺/髓系分化有保护性作用	有组胺相关干预，但主要在宿主髓系背景	不能由正相关推出抑制HDC；bulk数据不能定位癌细胞来源	研究对象应先从癌细胞靶点转为髓系/炎症代谢背景	优先核查	优先查HDC在COAD细胞类型中的来源及相关公开炎症资料	原生化注释为暂定；本轮未重新验证全部反应/组织区室	histamine: rho≈0.5605, q≈0.3423	E05	https://pubmed.ncbi.nlm.nih.gov/21170045/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
ICMT	ICMT;isoprenylcysteine carboxyl methyltransferase	S-adenosylmethionine (SAM)	1	C	CRC药理及靶向救援	CRC有药理及过表达靶向救援背景，不同于完整遗传依赖证明	SAM是广泛甲基供体；未证明当前SAM相关介导	ICMT敲低减弱某药杀伤，不可改写成敲低本身抑瘤	分开药物靶向依赖和未治疗癌细胞依赖	保留	查清药物特异性、单基因敲低和救援终点	原生化注释为暂定；本轮未重新验证全部反应/组织区室	S-adenosylmethionine (SAM): rho≈-0.3867, q≈0.6878	E19;E20	"https://pubmed.ncbi.nlm.nih.gov/15784746/
https://pubmed.ncbi.nlm.nih.gov/27710830/"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
KMT5A	KMT5A;SETD8;PR-Set7	S-adenosylmethionine (SAM)	1	A	CRC肿瘤模型基因干预报告	SETD8有CRC基因功能研究，但2023促糖酵解与2026YAP抑癌方向不同	特定蛋白位点甲基化不能由bulk SAM—总RNA直接判断	不应合成一个统一的抑制建议；模型、底物和终点均需拆分	优先核查矛盾是否来自位点/非组蛋白功能而非简单表达差异	优先核查	对照两篇原文模型、操纵方式和救援，形成方向判定说明	原生化注释为暂定；本轮未重新验证全部反应/组织区室	S-adenosylmethionine (SAM): rho≈0.3730, q≈0.6878	E11;E12	"https://pubmed.ncbi.nlm.nih.gov/36921492/
https://www.nature.com/articles/s41418-026-01831-5"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
NME6	NME6;nm23-H6;RCC1L	uridine 5'-diphosphate (UDP)	1	H	仅其他模型/生化背景	有NME6–RCC1L/线粒体核苷酸机制，未确认适用CRC肿瘤功能	2023伴侣依赖活性修正了单体无活性的简单理解	K562及乳腺癌证据不是COAD功能；组织UDP不是线粒体UDP池	先明确区室和RCC1L背景；不按较小P值排成靶点	保留	核查蛋白伙伴/线粒体表达与真实CRC证据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	uridine 5'-diphosphate (UDP): rho≈0.5635, q≈0.3260	E25;E26;E27;E28	"https://pubmed.ncbi.nlm.nih.gov/34789336/
https://pubmed.ncbi.nlm.nih.gov/37770567/
https://pubmed.ncbi.nlm.nih.gov/37439264/
https://pubmed.ncbi.nlm.nih.gov/39273527/"	4	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
NNMT	NNMT;nicotinamide N-methyltransferase	1-methylnicotinamide；S-adenosylmethionine (SAM)	2	A	CRC肿瘤模型基因干预报告	已有CRC生长、1-MNA及5-FU耐药的较直接功能背景	1-MNA与SAM两条名义关联提供患者背景，但不是新机制	已知轴研究较多；癌细胞与基质作用需要区分	作为有依据参照候选，仅在独立队列或细胞来源问题明确时深入	保留	不默认最高优先；核实可新增的独立患者/微环境证据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	1-methylnicotinamide: rho≈0.4071, q≈0.6878；S-adenosylmethionine (SAM): rho≈-0.3870, q≈0.6878	E06;E07;E08	"https://pubmed.ncbi.nlm.nih.gov/25201588/
https://pubmed.ncbi.nlm.nih.gov/27323852/
https://pubmed.ncbi.nlm.nih.gov/34539890/"	3	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
NT5C3A	NT5C3A;NT5C3;pyrimidine 5 nucleotidase	cytidine	1	H	仅其他模型/生化背景	有其他疾病/药物遗传学背景，本轮未确认CRC直接扰动	胞苷关系仍为患者名义与生化候选	NT5C2/NT5C3及不同剪接名称不可混用；AML不作CRC证据	需要基因特异CRC来源，而非沿用嘧啶通路泛功能	保留	保持精确符号核查，等适用功能来源	原生化注释为暂定；本轮未重新验证全部反应/组织区室	cytidine: rho≈-0.4609, q≈0.4062	E32	https://pubmed.ncbi.nlm.nih.gov/25000516/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
PGAM2	PGAM2;phosphoglycerate mutase 2	2-phosphoglycerate	1	I	本轮未确认适用CRC功能	本轮未确认PGAM2适用CRC功能	2-PG可用性分析只剩11人且相关约-0.055	不能借用PGAM1论文；小样本不证明无功能但当前信号不足	短期更应解决测量/同工酶身份，而非追加机制推断	暂挂	先暂停本代谢轴深入，保留原结果	原生化注释为暂定；本轮未重新验证全部反应/组织区室	2-phosphoglycerate: rho≈0.3525, q≈0.7489			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
PLA2G15	PLA2G15;LPLA2;NFATC3-PLA2G15	glycerophosphorylcholine (GPC)	1	G	融合对象，不能归于野生型	可核实CRC干预针对NFATC3–PLA2G15融合，而不是野生型PLA2G15	无法由融合表型确认GPC处理酶功能	融合特异siRNA不能作为普通基因抑制的支持证据	先判断本队列是否研究同一分子对象；无融合信息时不得转用	暂挂	暂挂野生型GPC—PLA2G15靶点主张，继续保留统计	原生化注释为暂定；本轮未重新验证全部反应/组织区室	glycerophosphorylcholine (GPC): rho≈0.3697, q≈0.6878	E24	https://pubmed.ncbi.nlm.nih.gov/29909608/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
PRMT7	PRMT7;protein arginine methyltransferase 7;PRMT7-V2	S-adenosylmethionine (SAM)	1	A	CRC肿瘤模型基因干预报告	CRC研究支持特定PRMT7剪接变体的功能	总RNA与SAM相关无法区分V1/V2及位点甲基化	剪接背景未明时不能推广到全PRMT7或所有CRC	研究增量更可能在变体/剪接背景而非再次做总表达相关	优先核查	先确定公开数据能否辨识变体，并核读基因与药物干预区别	原生化注释为暂定；本轮未重新验证全部反应/组织区室	S-adenosylmethionine (SAM): rho≈0.4004, q≈0.6878	E16	https://pubmed.ncbi.nlm.nih.gov/37541527/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC15A3	SLC15A3;PHT2;peptide histidine transporter 2	carnosine	1	H	仅其他模型/生化背景	淋巴瘤有溶酶体二肽/6-MP耐药机制，本轮未确认CRC适用干预	肌肽特异运输与肿瘤介导仍未证实	淋巴瘤、SLC15A4或试验登记不能替代已完成CRC功能	先查细胞来源及肌肽/溶酶体的实际关联	保留	保留背景；出现真正CRC原始扰动证据再升级	原生化注释为暂定；本轮未重新验证全部反应/组织区室	carnosine: rho≈0.3660, q≈0.7268	E33;E34	"https://www.jci.org/articles/view/199709
https://pubmed.ncbi.nlm.nih.gov/39719710/"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC29A1	SLC29A1;ENT1;equilibrative nucleoside transporter 1	uridine	1	D	CRC运输/药物摄取干预	HCT116有ENT1敲低降低尿苷与地西他滨摄取的直接证据	运输关系较具体，但不等于一般抗肿瘤依赖	抑制转运可能降低特定药物疗效，不宜直接建议抑制	优先药物摄取/反应问题，而不是通用生长靶点	保留	将未治疗表型、药物摄取和药物作用分列	原生化注释为暂定；本轮未重新验证全部反应/组织区室	uridine: rho≈-0.4211, q≈0.6878	E22	https://www.jstage.jst.go.jp/article/bpb/38/8/38_b14-00622/_html/-char/ja	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC29A3	SLC29A3;ENT3;guanine;guanosine	guanine；guanosine	2	I	本轮未确认适用CRC功能	本轮未确认SLC29A3自身的CRC肿瘤表型干预	鸟苷/鸟嘌呤候选需保留ENT3运输区室与物种依据	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	优先精确底物和细胞区室；再决定是否值得患者复现	保留	核查人ENT3原始运输实验及样本细胞来源	本轮未完整核定人ENT3各嘌呤底物；保留原暂定注释并提出核查	guanine: rho≈-0.4132, q≈0.6878；guanosine: rho≈-0.3717, q≈0.7268			0	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC38A3	SLC38A3;SNAT3;SN1	asparagine	1	A	CRC肿瘤模型基因干预报告	有HCT116 siRNA体外表型及HSP70相关救援	没有天冬酰胺特异摄取/救援，功能不能直接归于当前代谢物	单主要模型；尚未获得广泛CRC体内证据	优先核查实际底物与HSP70功能能否区分	优先核查	精读干预特异性和救援，再决定是否补公开运输数据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	asparagine: rho≈0.4554, q≈0.4062	E17	https://pubs.acs.org/doi/abs/10.1021/acsomega.4c00901	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC6A17	SLC6A17;NTT4;B0AT3	leucine；proline	2	H	仅其他模型/生化背景	有神经/异源模型底物转运依据，本轮未确认CRC肿瘤干预	亮氨酸/脯氨酸关系具有生化可能性，但区室和细胞来源关键	相关较强不等于CRC依赖；不能把囊泡转运视作癌细胞质膜摄取	先查探针特异性及非肿瘤细胞来源，不急于宣称新靶点	保留	查公开COAD细胞定位和人蛋白运输证据	原生化注释为暂定；本轮未重新验证全部反应/组织区室	leucine: rho≈0.5475, q≈0.3260；proline: rho≈0.3941, q≈0.6878	E29;E30	"https://pubmed.ncbi.nlm.nih.gov/18768736/
https://pubmed.ncbi.nlm.nih.gov/19147495/"	2	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC6A6	SLC6A6;TauT;taurine transporter	taurine	1	A	CRC肿瘤模型基因干预报告	有多CRC细胞株敲低/过表达、牛磺酸摄取和移植瘤相关证据	直接运输证据较实，但不是本次CAMP已验证通量	主要为存活/耐药和侧群表型，非全部条件增殖加速；机制已知	限定耐药/细胞状态背景，寻找可复用患者证据	优先核查	查CAMP及外部资料是否有治疗/细胞状态信息，避免重复旧机制	原生化注释为暂定；本轮未重新验证全部反应/组织区室	taurine: rho≈0.3570, q≈0.7335	E01	https://www.nature.com/articles/srep04852	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
SLC7A8	SLC7A8;LAT2;large neutral amino acid transporter 2	isoleucine；leucine	2	H	仅其他模型/生化背景	可见其他癌种LAT2作用，本轮未确认CRC基因特异干预	异亮氨酸/亮氨酸相关仍不能决定净摄取和干预方向	LAT1/SLC7A5不是LAT2/SLC7A8；其他癌种不能自动迁移	先确定转运伙伴/区室及真正CRC来源	保留	精确基因检索；不依据家族名补阳性	原生化注释为暂定；本轮未重新验证全部反应/组织区室	isoleucine: rho≈0.3700, q≈0.6878；leucine: rho≈0.3670, q≈0.7268	E35	https://pubmed.ncbi.nlm.nih.gov/30419950/	1	定向检索及可访问原始研究核查；非系统综述/非全部全文逐图审计	NOT_RUN/DEFERRED			RETAIN_FULL_974_CATALOG	SOURCE_VALUES_UNCHANGED;DISPLAY_ROUNDED	DONE_SCOPED_SEARCH_AND_TRIAGE
