metabolite_key	metabolite_name	gene	n_display	rho_display	p_display	q_display	evidence_status	statistics_provenance	source_url	function_class_cn	function_summary_cn	counterevidence_cn	pair_mechanism_limit_cn	research_decision_cn	evidence_ids	depmap_score	depmap_n_models
KEGG:C00147	adenine	AQP9	33	-0.3887	0.0248	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有CRC基因功能报道，但促转移、药物增敏及抑增殖结果依背景不同	不能据同一基因标签确定统一抑制方向	当前功能多涉及5-FU摄取、DVL2/Wnt或KRAS背景；腺嘌呤介导未证明	优先核查	E13;E14;E15		
KEGG:C03794	adenylosuccinate	ADSS2	33	0.4643	0.008	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认针对ADSS2的适用CRC遗传干预研究	ADSS1、ADSL及其他癌种结果不能替代；未命中不等于无功能	腺苷酸代琥珀酸关系仍是生化候选与名义关联	保留			
KEGG:C00152	asparagine	SLC38A3	33	0.4554	0.008	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有HCT116 siRNA体外表型及HSP70相关救援	单主要模型；尚未获得广泛CRC体内证据	没有天冬酰胺特异摄取/救援，功能不能直接归于当前代谢物	优先核查	E17		
KEGG:C00386	carnosine	SLC15A3	33	0.366	0.0378	0.7268	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	淋巴瘤有溶酶体二肽/6-MP耐药机制，本轮未确认CRC适用干预	淋巴瘤、SLC15A4或试验登记不能替代已完成CRC功能	肌肽特异运输与肿瘤介导仍未证实	保留	E33;E34		
KEGG:C00475	cytidine	NT5C3A	33	-0.4609	0.0078	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有其他疾病/药物遗传学背景，本轮未确认CRC直接扰动	NT5C2/NT5C3及不同剪接名称不可混用；AML不作CRC证据	胞苷关系仍为患者名义与生化候选	保留	E32		
KEGG:C00111	dihydroxyacetone phosphate (DHAP)	GNPAT	33	-0.3623	0.0403	0.7335	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	未确认GNPAT自身的CRC肿瘤扰动证据	不能用AGPS或其他醚脂酶的作用替代GNPAT	DHAP/醚脂生化候选未变为功能机制	保留			
KEGG:C00051	glutathione, reduced (GSH)	GSTA4	33	-0.5324	0.0017	0.3423	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有HCT116敲除及移植瘤支持，同时有宿主髓系/炎症条件的不同后果	肿瘤上皮和正常巨噬细胞作用不能混写，部分宿主背景炎症反而更重	与氧化应激/铁死亡相关；GSH—RNA负相关尚非介导证据	优先核查	E02;E03		
KEGG:C00051	glutathione, reduced (GSH)	GSTO2	33	0.3844	0.0326	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有HCT116、HT29的siRNA体外增殖/迁移报告	体外范围有限；主要使用筛选后siRNA，救援和动物支持本轮未确认	未测GSH通量，也未建立GSH介导	保留	E21		
KEGG:C00051	glutathione, reduced (GSH)	GSTT2	33	-0.4071	0.0228	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有CRC风险/启动子调控研究，未确认本轮所需肿瘤表型干预	与GSTT2B高度相似，探针特异性及基因归属需核查	GSH负相关不能由遗传风险关联直接解释	保留	E38		
KEGG:C00051	glutathione, reduced (GSH)	GSTT2B	33	-0.4642	0.0063	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	未确认GSTT2B特异的CRC肿瘤功能干预	高度同源/近名基因可能导致文献和测量归属问题	保留GSH名义关联，不借用GSTT2功能	保留			
KEGG:C00051	glutathione, reduced (GSH)	HAGH	33	-0.3747	0.0308	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	检到前列腺癌Glo2/HAGH研究，尚无本轮确认的CRC干预	GLO1不是HAGH；前列腺模型不当作CRC复现	其他癌种报道D-乳酸/FAK-Src作用，并非GSH患者机制	保留	E31		
KEGG:C00670	glycerophosphorylcholine (GPC)	PLA2G15	33	0.3697	0.032	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	融合对象，不能归于野生型	可核实CRC干预针对NFATC3–PLA2G15融合，而不是野生型PLA2G15	融合特异siRNA不能作为普通基因抑制的支持证据	无法由融合表型确认GPC处理酶功能	暂挂	E24		
KEGG:C00242	guanine	SLC29A3	33	-0.4132	0.0188	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认SLC29A3自身的CRC肿瘤表型干预	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	鸟苷/鸟嘌呤候选需保留ENT3运输区室与物种依据	保留			
KEGG:C00387	guanosine	SLC29A3	33	-0.3717	0.0364	0.7268	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认SLC29A3自身的CRC肿瘤表型干预	不能借用ENT1功能，也不能因旧资料未列鸟嘌呤就直接否定	鸟苷/鸟嘌呤候选需保留ENT3运输区室与物种依据	保留			
KEGG:C00388	histamine	HDC	33	0.5605	0.0021	0.3423	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC宿主/髓系基因干预	宿主Hdc缺失促进炎症相关癌变，组胺/髓系分化有保护性作用	不能由正相关推出抑制HDC；bulk数据不能定位癌细胞来源	有组胺相关干预，但主要在宿主髓系背景	优先核查	E05		
KEGG:C00130	inosine 5'-monophosphate (IMP)	CANT1	33	0.4716	0.0064	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	未确认CANT1在CRC的适用干预功能	数据库反应注释不等同IMP特异性，其他癌种证据不代替	IMP的生成/底物角色须精确核对，不能直接写成IMP降解	保留			
KEGG:C00130	inosine 5'-monophosphate (IMP)	ENTPD3	33	0.3546	0.0452	0.7755	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认ENTPD3自身的CRC肿瘤干预	CRC外泌体研究命中为ENTPD2，不是ENTPD3	IMP候选反应角色仍需核查	暂挂	E39		
KEGG:C00130	inosine 5'-monophosphate (IMP)	GMPR	33	0.4699	0.0081	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	本轮未确认适用CRC功能	本轮未确认GMPR在CRC的直接功能干预	GMPR2、GMPS或其他癌种研究不能直接替代	保留IMP生化联系及患者名义关联	保留			
KEGG:C00407	isoleucine	BCAT2	33	-0.4051	0.0214	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC通路内线索，独立基因终点待核	CRC机制研究含BCAT2相关遗传操作及BCAA利用；单基因肿瘤终点仍需逐图核定	不可把全部上游circRNA小鼠表型都归于BCAT2单独敲低	蛋白稳定性受TRIM21/circRNA调控，未必由总RNA反映	优先核查	E18		
KEGG:C00407	isoleucine	SLC7A8	33	0.37	0.0325	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	可见其他癌种LAT2作用，本轮未确认CRC基因特异干预	LAT1/SLC7A5不是LAT2/SLC7A8；其他癌种不能自动迁移	异亮氨酸/亮氨酸相关仍不能决定净摄取和干预方向	保留	E35		
KEGG:C00123	leucine	SLC6A17	33	0.5475	0.0007	0.326	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有神经/异源模型底物转运依据，本轮未确认CRC肿瘤干预	相关较强不等于CRC依赖；不能把囊泡转运视作癌细胞质膜摄取	亮氨酸/脯氨酸关系具有生化可能性，但区室和细胞来源关键	保留	E29;E30		
KEGG:C00123	leucine	SLC7A8	33	0.367	0.0379	0.7268	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	可见其他癌种LAT2作用，本轮未确认CRC基因特异干预	LAT1/SLC7A5不是LAT2/SLC7A8；其他癌种不能自动迁移	异亮氨酸/亮氨酸相关仍不能决定净摄取和干预方向	保留	E35		
KEGG:C00148	proline	SLC6A17	33	0.3941	0.0255	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有神经/异源模型底物转运依据，本轮未确认CRC肿瘤干预	相关较强不等于CRC依赖；不能把囊泡转运视作癌细胞质膜摄取	亮氨酸/脯氨酸关系具有生化可能性，但区室和细胞来源关键	保留	E29;E30		
KEGG:C00245	taurine	SLC6A6	33	0.357	0.0405	0.7335	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	有多CRC细胞株敲低/过表达、牛磺酸摄取和移植瘤相关证据	主要为存活/耐药和侧群表型，非全部条件增殖加速；机制已知	直接运输证据较实，但不是本次CAMP已验证通量	优先核查	E01		
KEGG:C00299	uridine	SLC29A1	33	-0.4211	0.015	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC运输/药物摄取干预	HCT116有ENT1敲低降低尿苷与地西他滨摄取的直接证据	抑制转运可能降低特定药物疗效，不宜直接建议抑制	运输关系较具体，但不等于一般抗肿瘤依赖	保留	E22		
KEGG:C00299	uridine	UCKL1	33	-0.491	0.0041	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC肿瘤模型基因干预报告	CRC RNA干扰、救援及体内研究支持铁死亡防御	不能把非经典NRF2/SLC7A11功能改写成尿苷消耗机制	所报道作用明确不依赖UMP/CMP合成；RNA—尿苷联系不能直接解释它	优先核查	E04		
KEGG:C00299	uridine	UPP2	33	0.3823	0.03	0.6878	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有人UPP2生化结构依据，未确认本轮适用CRC肿瘤干预	UPP1不是UPP2；不得把UPP1肿瘤论文转记	尿苷磷酸解关系可保留，但患者相关方向不是净通量	保留	E37		
KEGG:C00015	uridine 5'-diphosphate (UDP)	B4GALT2	33	0.4699	0.0063	0.4062	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	CRC生化改变，所测迁移未改变	CRC相关A146V有酶活/修饰变化，但该研究SW480迁移未改变	不能把同文B3GNT2/ST6GALNAC2的迁移表型归给B4GALT2	UDP属于反应相关产物，不是该基因专属通量指标	暂挂	E23		
KEGG:C00015	uridine 5'-diphosphate (UDP)	NME6	33	0.5635	0.001	0.326	NOMINAL_P_ONLY_NOT_FDR	原README四位小数展示摘录；非新检验，不可替换原高精度统计	https://github.com/Asukasssss/-/blob/06921616d5914b6b45c61bdb6c1f259cf1608f84/results/COAD/07_INTEGRATION/20260919T125421Z_nominal_priority_v1/nominal_candidates.tsv	仅其他模型/生化背景	有NME6–RCC1L/线粒体核苷酸机制，未确认适用CRC肿瘤功能	K562及乳腺癌证据不是COAD功能；组织UDP不是线粒体UDP池	2023伴侣依赖活性修正了单体无活性的简单理解	保留	E25;E26;E27;E28		
