mode	subtype	bin_id	n_pairs	mean_tumor_minus_adjacent_log2
primary	ALL_MYELOID	chr12:4	15	0.004696504060518925
primary	ALL_MYELOID	chr12:5	15	0.0006248016520194047
primary	ALL_MYELOID	chr12:6	15	-0.0012373643768812347
primary	ALL_MYELOID	chr12:7	15	-0.004463954980912955
primary	ALL_MYELOID	chr12:8	1	0.0002722507214359751
primary	ALL_MYELOID	chr12:9	15	-0.002628066897751681
primary	ALL_MYELOID	chr13:10	1	-0.01651259729657915
primary	ALL_MYELOID	chr13:11	13	-0.0017130171462688916
primary	ALL_MYELOID	chr13:2	15	0.0004206064467584645
primary	ALL_MYELOID	chr13:3	13	0.0010725282968644051
primary	ALL_MYELOID	chr13:4	15	0.0016485166482438872
primary	ALL_MYELOID	chr13:5	1	-0.0033809732365794893
primary	ALL_MYELOID	chr13:7	13	-0.0006221865669390764
primary	ALL_MYELOID	chr13:9	11	0.006772705054883005
primary	ALL_MYELOID	chr14:10	15	-0.0005884803961631195
primary	ALL_MYELOID	chr14:2	15	0.0010804685525477738
primary	ALL_MYELOID	chr14:3	15	0.0021513176088188016
primary	ALL_MYELOID	chr14:4	11	0.003057122032931543
primary	ALL_MYELOID	chr14:5	15	-0.0010308426308215204
primary	ALL_MYELOID	chr14:6	15	-0.0027564688098815422
primary	ALL_MYELOID	chr14:7	15	-0.0044292142164410585
primary	ALL_MYELOID	chr14:9	15	-0.0037593159680009013
primary	ALL_MYELOID	chr15:2	2	-0.012899394247997052
primary	ALL_MYELOID	chr15:3	13	-0.005521505702041976
primary	ALL_MYELOID	chr15:4	15	-0.00239987063249852
primary	ALL_MYELOID	chr15:5	15	0.0005859542692393081
primary	ALL_MYELOID	chr15:6	15	0.001146108363284124
primary	ALL_MYELOID	chr15:7	15	0.0019901854157398776
primary	ALL_MYELOID	chr15:8	15	0.004066763872521005
primary	ALL_MYELOID	chr15:9	10	-0.00011268394202778899
primary	ALL_MYELOID	chr16:0	15	-0.004288603114469333
primary	ALL_MYELOID	chr16:1	15	-0.0034161495946264885
primary	ALL_MYELOID	chr16:2	15	-0.0017063157481995537
primary	ALL_MYELOID	chr16:3	15	-0.0028102003356614527
primary	ALL_MYELOID	chr16:4	5	-0.001730533855770266
primary	ALL_MYELOID	chr16:5	15	-0.0018123044591662827
primary	ALL_MYELOID	chr16:6	15	-0.001203257113072626
primary	ALL_MYELOID	chr16:7	15	-0.00046110665965143685
primary	ALL_MYELOID	chr16:8	15	-0.0033648538854669217
primary	ALL_MYELOID	chr17:0	15	0.0028787188107202823
primary	ALL_MYELOID	chr17:1	15	-0.00013971255393862523
primary	ALL_MYELOID	chr17:2	15	0.0005279292101676639
primary	ALL_MYELOID	chr17:3	15	0.00028147987723319625
primary	ALL_MYELOID	chr17:4	15	-0.0012596554540458707
primary	ALL_MYELOID	chr17:5	15	-0.004496568691247008
primary	ALL_MYELOID	chr17:6	15	-4.692736091100753e-06
primary	ALL_MYELOID	chr17:7	15	0.0007536485555723671
primary	ALL_MYELOID	chr17:8	15	0.0015947176058522118
primary	ALL_MYELOID	chr18:0	15	0.005614311090355261
primary	ALL_MYELOID	chr18:1	8	4.443809550259471e-05
primary	ALL_MYELOID	chr18:2	12	-0.0009672100265588797
primary	ALL_MYELOID	chr18:3	11	-0.0023190121342668503
primary	ALL_MYELOID	chr18:4	12	-0.0026281297366613095
primary	ALL_MYELOID	chr18:5	15	-0.0035632015595865388
primary	ALL_MYELOID	chr18:6	5	-0.007207148494576937
primary	ALL_MYELOID	chr18:7	8	-0.005706527049440699
primary	ALL_MYELOID	chr19:0	15	0.002335268959165567
primary	ALL_MYELOID	chr19:1	15	0.0036023466988049243
primary	ALL_MYELOID	chr19:2	7	-0.0016813253783486916
primary	ALL_MYELOID	chr19:3	15	0.002656803428178081
primary	ALL_MYELOID	chr19:4	15	-0.000263192918813826
primary	ALL_MYELOID	chr19:5	15	0.0019446173289862638
primary	ALL_MYELOID	chr1:0	15	0.0021832032750871656
primary	ALL_MYELOID	chr1:1	15	0.0010396588601371728
primary	ALL_MYELOID	chr1:10	15	-0.00042332482995887077
primary	ALL_MYELOID	chr1:11	15	-0.0022414423863771197
primary	ALL_MYELOID	chr1:14	13	-0.0029556911181637347
primary	ALL_MYELOID	chr1:15	15	0.0008889083104023016
primary	ALL_MYELOID	chr1:16	15	-0.0010590828257429443
primary	ALL_MYELOID	chr1:17	15	0.00011137580289428106
primary	ALL_MYELOID	chr1:18	15	0.0006458349797611847
primary	ALL_MYELOID	chr1:19	14	0.0012013583375043181
primary	ALL_MYELOID	chr1:2	15	0.002775778087872899
primary	ALL_MYELOID	chr1:20	15	0.004116626629312717
primary	ALL_MYELOID	chr1:21	13	0.002591028457033991
primary	ALL_MYELOID	chr1:22	15	-6.577471533532903e-05
primary	ALL_MYELOID	chr1:23	14	-0.0030951522137083027
primary	ALL_MYELOID	chr1:24	13	-0.003739168185106441
primary	ALL_MYELOID	chr1:3	15	0.0008005835456015189
primary	ALL_MYELOID	chr1:4	15	-0.004072746625027406
primary	ALL_MYELOID	chr1:5	15	-0.000660768464151699
primary	ALL_MYELOID	chr1:6	14	0.0016864193694320216
primary	ALL_MYELOID	chr1:7	14	0.00024734300283823417
primary	ALL_MYELOID	chr1:8	15	-0.0009660046408848027
primary	ALL_MYELOID	chr1:9	14	-8.731368922024481e-05
primary	ALL_MYELOID	chr20:0	15	0.0029679957953939857
primary	ALL_MYELOID	chr20:1	5	0.0007512919122019534
primary	ALL_MYELOID	chr20:2	13	0.004412896498264002
primary	ALL_MYELOID	chr20:3	15	0.0010135652869009291
primary	ALL_MYELOID	chr20:4	15	-0.0003952939978337054
primary	ALL_MYELOID	chr20:5	15	0.0011080110531882226
primary	ALL_MYELOID	chr20:6	14	0.001347109208197786
primary	ALL_MYELOID	chr21:2	3	0.00012137673661476225
primary	ALL_MYELOID	chr21:3	15	-0.0009189667605777471
primary	ALL_MYELOID	chr21:4	15	-0.0029301992430482648
primary	ALL_MYELOID	chr22:1	10	-0.0017165835460632949
primary	ALL_MYELOID	chr22:2	15	0.00331547844189623
primary	ALL_MYELOID	chr22:3	15	0.0035238927612711623
primary	ALL_MYELOID	chr22:4	15	0.00028816415044349196
primary	ALL_MYELOID	chr22:5	4	-0.016182730628043113
primary	ALL_MYELOID	chr2:0	14	-0.006335113229389349
primary	ALL_MYELOID	chr2:1	11	-0.004829748686155531
primary	ALL_MYELOID	chr2:10	15	0.002096154221307516
primary	ALL_MYELOID	chr2:11	15	0.0021130583965393137
primary	ALL_MYELOID	chr2:12	9	0.007823552990783685
primary	ALL_MYELOID	chr2:13	15	0.0035760271587553538
primary	ALL_MYELOID	chr2:14	1	-0.0048272449392312965
primary	ALL_MYELOID	chr2:15	13	0.004355884480793179
primary	ALL_MYELOID	chr2:16	14	0.002249617389428124
primary	ALL_MYELOID	chr2:17	15	0.003237935517700505
primary	ALL_MYELOID	chr2:18	12	0.0036095339827705614
primary	ALL_MYELOID	chr2:19	15	0.004697888223735665
primary	ALL_MYELOID	chr2:2	15	-0.0017933274119447085
primary	ALL_MYELOID	chr2:20	15	-7.600168506279499e-06
primary	ALL_MYELOID	chr2:21	14	-0.0015037851485218893
primary	ALL_MYELOID	chr2:22	6	-0.0015735016769163653
primary	ALL_MYELOID	chr2:23	15	-0.00017349363147213965
primary	ALL_MYELOID	chr2:24	13	0.0024305134339279583
primary	ALL_MYELOID	chr2:3	15	0.0003543498836348383
primary	ALL_MYELOID	chr2:4	15	0.00013236922504501988
primary	ALL_MYELOID	chr2:5	11	0.0015916052319153516
primary	ALL_MYELOID	chr2:6	15	0.00444738032305713
primary	ALL_MYELOID	chr2:7	15	0.0009694772391094402
primary	ALL_MYELOID	chr2:8	15	-0.0013280401311432405
primary	ALL_MYELOID	chr2:9	14	0.002611450267520968
primary	ALL_MYELOID	chr3:0	14	-0.0030456248351989827
primary	ALL_MYELOID	chr3:1	15	-0.00046531942227788465
primary	ALL_MYELOID	chr3:10	15	-0.0014184303919297034
primary	ALL_MYELOID	chr3:11	14	-0.0012641425118348859
primary	ALL_MYELOID	chr3:12	15	-3.7386995514360804e-05
primary	ALL_MYELOID	chr3:13	14	0.0006649834488892144
primary	ALL_MYELOID	chr3:14	15	0.002158534274591195
primary	ALL_MYELOID	chr3:15	15	0.002076089066005619
primary	ALL_MYELOID	chr3:17	14	-0.0014702693695491603
primary	ALL_MYELOID	chr3:18	15	0.0030846015063073886
primary	ALL_MYELOID	chr3:19	15	0.0033998869485780464
primary	ALL_MYELOID	chr3:2	10	-0.00021257913932843132
primary	ALL_MYELOID	chr3:3	15	0.0038713857710588953
primary	ALL_MYELOID	chr3:4	15	0.0020409492059569024
primary	ALL_MYELOID	chr3:5	15	9.050560685126264e-05
primary	ALL_MYELOID	chr3:6	10	-3.589533346669734e-05
primary	ALL_MYELOID	chr3:9	1	-0.030255677641192708
primary	ALL_MYELOID	chr4:0	15	-0.0031782949209369763
primary	ALL_MYELOID	chr4:1	10	-0.002489811510112847
primary	ALL_MYELOID	chr4:10	15	0.0017137585892317796
primary	ALL_MYELOID	chr4:11	11	0.001751513705341734
primary	ALL_MYELOID	chr4:12	10	0.001532525954076592
primary	ALL_MYELOID	chr4:14	12	0.0003682552684745491
primary	ALL_MYELOID	chr4:15	12	-0.0030565962724158173
primary	ALL_MYELOID	chr4:16	11	-0.0035523301176113645
primary	ALL_MYELOID	chr4:17	1	-0.00855402339088603
primary	ALL_MYELOID	chr4:18	13	-0.0018662416992700182
primary	ALL_MYELOID	chr4:3	11	-0.0025389459641270884
primary	ALL_MYELOID	chr4:4	14	-0.001834329133205718
primary	ALL_MYELOID	chr4:5	14	-0.0051322137220601366
primary	ALL_MYELOID	chr4:7	15	-0.0059089513229224665
primary	ALL_MYELOID	chr4:8	15	0.0010340728053897658
primary	ALL_MYELOID	chr4:9	11	0.0033750805020541634
primary	ALL_MYELOID	chr5:0	13	-0.008400026888026877
primary	ALL_MYELOID	chr5:1	7	-0.006501224923956891
primary	ALL_MYELOID	chr5:11	15	0.001979878891687902
primary	ALL_MYELOID	chr5:12	8	-0.0017846704267478108
primary	ALL_MYELOID	chr5:13	15	0.0006710705908496387
primary	ALL_MYELOID	chr5:14	15	0.0014583185269448073
primary	ALL_MYELOID	chr5:15	15	0.0031558920232840904
primary	ALL_MYELOID	chr5:16	11	0.0019102792681252494
primary	ALL_MYELOID	chr5:17	15	0.0017245227227969827
primary	ALL_MYELOID	chr5:3	15	0.0008201702746617592
primary	ALL_MYELOID	chr5:4	12	-4.7814831313979074e-05
primary	ALL_MYELOID	chr5:5	15	0.006599855503825095
primary	ALL_MYELOID	chr5:6	14	0.005119155914764735
primary	ALL_MYELOID	chr5:7	15	0.0025379084378169227
primary	ALL_MYELOID	chr5:8	14	0.003301595616398839
primary	ALL_MYELOID	chr5:9	15	0.005564408015025594
primary	ALL_MYELOID	chr6:0	15	0.004358745762840845
primary	ALL_MYELOID	chr6:1	15	0.0008686987966786055
primary	ALL_MYELOID	chr6:10	15	-0.0024214980589298846
primary	ALL_MYELOID	chr6:11	15	-0.0015601196911743406
primary	ALL_MYELOID	chr6:12	9	-0.0029919909271634956
primary	ALL_MYELOID	chr6:13	15	-0.0015227002306688999
primary	ALL_MYELOID	chr6:14	15	0.0007046961509606998
primary	ALL_MYELOID	chr6:15	15	0.0010395180783984302
primary	ALL_MYELOID	chr6:16	6	-0.002912431387396675
primary	ALL_MYELOID	chr6:2	15	0.0010387589220796794
primary	ALL_MYELOID	chr6:3	15	-0.005175928841913373
primary	ALL_MYELOID	chr6:4	15	0.0014635756157939013
primary	ALL_MYELOID	chr6:5	7	-0.0024588975286543627
primary	ALL_MYELOID	chr6:7	14	-0.0020473835499568833
primary	ALL_MYELOID	chr6:8	14	-0.0023902986352367997
primary	ALL_MYELOID	chr7:0	15	-0.0013105616271581555
primary	ALL_MYELOID	chr7:1	13	0.0018231432036793724
primary	ALL_MYELOID	chr7:10	15	-0.00220719105121449
primary	ALL_MYELOID	chr7:11	9	-0.0021596480263149924
primary	ALL_MYELOID	chr7:12	13	-0.0032153579877377634
primary	ALL_MYELOID	chr7:13	15	-0.005177422815023809
primary	ALL_MYELOID	chr7:14	15	-0.007532037051358801
primary	ALL_MYELOID	chr7:15	14	-0.007810575436016285
primary	ALL_MYELOID	chr7:2	15	0.004051459178461981
primary	ALL_MYELOID	chr7:3	15	0.004637092144407761
primary	ALL_MYELOID	chr7:4	15	0.001650800702906213
primary	ALL_MYELOID	chr7:5	2	0.0034431422711123493
primary	ALL_MYELOID	chr7:6	7	-0.0019441177402628343
primary	ALL_MYELOID	chr7:7	15	-6.051695927753731e-05
primary	ALL_MYELOID	chr7:8	4	0.006424845795617626
primary	ALL_MYELOID	chr7:9	15	0.00031246365809908106
primary	ALL_MYELOID	chr8:0	2	0.01269289882357269
primary	ALL_MYELOID	chr8:1	13	0.0013401158633704667
primary	ALL_MYELOID	chr8:10	15	-0.0026397447314481038
primary	ALL_MYELOID	chr8:12	14	-0.00011207961163708688
primary	ALL_MYELOID	chr8:14	15	-0.00014667058220660853
primary	ALL_MYELOID	chr8:2	15	0.0013844741154628553
primary	ALL_MYELOID	chr8:3	15	0.0002778124182106477
primary	ALL_MYELOID	chr8:4	14	-0.0012111220633835003
primary	ALL_MYELOID	chr8:5	15	-0.0005152253259852771
primary	ALL_MYELOID	chr8:6	11	-0.000338873987594338
primary	ALL_MYELOID	chr8:7	12	-0.003175550006474789
primary	ALL_MYELOID	chr8:8	14	-0.003042819051032137
primary	ALL_MYELOID	chr8:9	14	-0.0016547233153425011
primary	ALL_MYELOID	chr9:0	13	0.0007741646098244516
primary	ALL_MYELOID	chr9:1	5	-0.005136310095144051
primary	ALL_MYELOID	chr9:10	8	-0.005055559621867618
primary	ALL_MYELOID	chr9:11	12	-0.0034775492440079583
primary	ALL_MYELOID	chr9:12	15	-0.002441214365378157
primary	ALL_MYELOID	chr9:13	15	0.005325319348975598
primary	ALL_MYELOID	chr9:2	1	0.004720486695992841
primary	ALL_MYELOID	chr9:3	15	-5.169229647299751e-05
primary	ALL_MYELOID	chr9:7	15	0.001311792835675652
primary	ALL_MYELOID	chr9:8	15	-0.002706057205903236
primary	ALL_MYELOID	chr9:9	15	-0.003310606153409011
primary	Macrophages	chr10:0	13	0.0076809714123857835
primary	Macrophages	chr10:1	14	0.0004052565895094256
primary	Macrophages	chr10:10	14	0.0016573943067303572
primary	Macrophages	chr10:11	14	0.00323645022601491
primary	Macrophages	chr10:12	13	0.005864749099826054
primary	Macrophages	chr10:13	3	0.012884167785636358
primary	Macrophages	chr10:2	13	-0.00131584880653858
primary	Macrophages	chr10:3	8	-0.00018008595145833266
primary	Macrophages	chr10:4	9	-0.0027791508764549813
primary	Macrophages	chr10:5	1	0.006773610846551817
primary	Macrophages	chr10:6	14	-0.0017301095648151212
primary	Macrophages	chr10:7	14	0.0013440597638386812
primary	Macrophages	chr10:8	14	-0.0012487850359720629
primary	Macrophages	chr10:9	12	-0.0011013536535896017
primary	Macrophages	chr11:0	14	0.0017768669394692901
primary	Macrophages	chr11:1	14	0.008715118688037048
primary	Macrophages	chr11:10	14	-0.005802129412107266
primary	Macrophages	chr11:11	14	-0.010597136156357158
primary	Macrophages	chr11:12	13	-0.01657199323112419
primary	Macrophages	chr11:3	13	0.005277598339835156
primary	Macrophages	chr11:4	13	0.004188607741468897
primary	Macrophages	chr11:5	12	0.0017259913655920725
primary	Macrophages	chr11:6	14	0.0033668442767244003
primary	Macrophages	chr11:7	14	0.0027890699442795065
primary	Macrophages	chr11:8	13	0.002546832839806785
primary	Macrophages	chr11:9	13	-0.00070581643379812
primary	Macrophages	chr12:0	14	0.0009815240833448806
primary	Macrophages	chr12:1	14	-0.004006095372259885
primary	Macrophages	chr12:10	14	0.0029124827588324262
primary	Macrophages	chr12:11	14	-0.0005278075682904564
primary	Macrophages	chr12:12	14	-0.0002950046940719289
primary	Macrophages	chr12:13	5	0.0036696170348879927
primary	Macrophages	chr12:2	14	-0.009200712368798936
primary	Macrophages	chr12:3	3	-0.003824147995419216
primary	Macrophages	chr12:4	14	0.00040649395963828346
primary	Macrophages	chr12:5	14	0.0009836059141116453
primary	Macrophages	chr12:6	14	0.0007871068420013356
primary	Macrophages	chr12:7	14	-0.005196326891414416
primary	Macrophages	chr12:8	1	-0.008301088228733568
primary	Macrophages	chr12:9	14	-0.000894766689749186
primary	Macrophages	chr13:10	1	-0.006817813201061243
primary	Macrophages	chr13:11	12	-0.008780315557966876
primary	Macrophages	chr13:2	14	-0.011333208690628064
primary	Macrophages	chr13:3	12	-0.009976660977626086
primary	Macrophages	chr13:4	14	-0.004849425800196919
primary	Macrophages	chr13:5	1	0.020534002049918728
primary	Macrophages	chr13:7	12	-0.0004489545378094844
primary	Macrophages	chr13:9	10	0.012555560583955816
primary	Macrophages	chr14:10	14	-0.007875436803799495
primary	Macrophages	chr14:2	14	-0.0011787518795787519
primary	Macrophages	chr14:3	14	-0.008277841200888428
primary	Macrophages	chr14:4	10	-0.01720913149150022
primary	Macrophages	chr14:5	14	-0.0013812552719468067
primary	Macrophages	chr14:6	14	0.0028987592275699675
primary	Macrophages	chr14:7	14	-0.0009677716276160613
primary	Macrophages	chr14:9	14	-0.003464153513157794
primary	Macrophages	chr15:2	1	0.008806165132209932
primary	Macrophages	chr15:3	12	-0.006921057362539045
primary	Macrophages	chr15:4	14	-0.004893239106493327
primary	Macrophages	chr15:5	14	-0.00047718794705889453
primary	Macrophages	chr15:6	14	0.0037168250290401036
primary	Macrophages	chr15:7	14	-0.0009517131466812305
primary	Macrophages	chr15:8	14	0.00045354328850609547
primary	Macrophages	chr15:9	9	0.005487045669489287
primary	Macrophages	chr16:0	14	0.0026072703897519795
primary	Macrophages	chr16:1	14	-0.0014122755241341618
primary	Macrophages	chr16:2	14	-0.0014436393039145901
primary	Macrophages	chr16:3	14	-0.0009759502218681422
primary	Macrophages	chr16:4	4	-0.003626114861932709
primary	Macrophages	chr16:5	14	-0.005271583186456848
primary	Macrophages	chr16:6	14	-0.00016291981998015466
primary	Macrophages	chr16:7	14	0.0016092991600224393
primary	Macrophages	chr16:8	14	0.003488697757131943
primary	Macrophages	chr17:0	14	0.0024355216021644
primary	Macrophages	chr17:1	14	0.0020801040107972925
primary	Macrophages	chr17:2	14	-0.0034843957325570323
primary	Macrophages	chr17:3	14	-0.007611836419134019
primary	Macrophages	chr17:4	14	-0.0013247884461006123
primary	Macrophages	chr17:5	14	-0.003025741532857125
primary	Macrophages	chr17:6	14	-0.0015973877154602696
primary	Macrophages	chr17:7	14	-0.004379409659496907
primary	Macrophages	chr17:8	14	-0.0017970530439382268
primary	Macrophages	chr18:0	14	0.000699326849318186
primary	Macrophages	chr18:1	7	-0.0062812994167356796
primary	Macrophages	chr18:2	11	-0.004586879595053867
primary	Macrophages	chr18:3	10	-0.004385208270265655
primary	Macrophages	chr18:4	11	-0.00441559801830757
primary	Macrophages	chr18:5	14	-0.005158522444455134
primary	Macrophages	chr18:6	4	-0.008872707919078139
primary	Macrophages	chr18:7	7	-0.008129109507122294
primary	Macrophages	chr19:0	14	0.007900378795781248
primary	Macrophages	chr19:1	14	0.003630641031610905
primary	Macrophages	chr19:2	6	-0.0010334870023382694
primary	Macrophages	chr19:3	14	0.014659408505342437
primary	Macrophages	chr19:4	14	0.0015604470782904403
primary	Macrophages	chr19:5	14	0.0008976131129513819
primary	Macrophages	chr1:0	14	0.0025810282959305686
primary	Macrophages	chr1:1	14	-0.00029908938073199096
primary	Macrophages	chr1:10	14	-0.004192486420555773
primary	Macrophages	chr1:11	14	-0.0016869865976839153
primary	Macrophages	chr1:14	12	0.004639723754323429
primary	Macrophages	chr1:15	14	-0.0008990258021664704
primary	Macrophages	chr1:16	14	0.002634594498305558
primary	Macrophages	chr1:17	14	-0.0003044333183097144
primary	Macrophages	chr1:18	14	0.007177900605041823
primary	Macrophages	chr1:19	13	0.009583390959080281
primary	Macrophages	chr1:2	14	-0.0006166667620731615
primary	Macrophages	chr1:20	14	0.00589710766384288
primary	Macrophages	chr1:21	12	-0.0022585519314825588
primary	Macrophages	chr1:22	14	-0.0035723393593955835
primary	Macrophages	chr1:23	13	-0.008180010653564064
primary	Macrophages	chr1:24	12	-0.009154861515818662
primary	Macrophages	chr1:3	14	0.000635281374746953
primary	Macrophages	chr1:4	14	-0.005768376759592636
primary	Macrophages	chr1:5	14	0.0004629080104335482
primary	Macrophages	chr1:6	13	0.005442072835671266
primary	Macrophages	chr1:7	13	0.005238410961089822
primary	Macrophages	chr1:8	14	-0.0012327198610304472
primary	Macrophages	chr1:9	13	-0.0037730523255397577
primary	Macrophages	chr20:0	14	0.005285198777383246
primary	Macrophages	chr20:1	5	3.094692301020239e-05
primary	Macrophages	chr20:2	12	0.0038372282731849922
primary	Macrophages	chr20:3	14	0.003058173454778987
primary	Macrophages	chr20:4	14	-0.002784795440299016
primary	Macrophages	chr20:5	14	0.0019983561596687003
primary	Macrophages	chr20:6	13	0.002700976005095945
primary	Macrophages	chr21:2	3	0.005660958466537087
primary	Macrophages	chr21:3	14	-0.001341707006867286
primary	Macrophages	chr21:4	14	-0.008265099491588561
primary	Macrophages	chr22:1	9	-0.007975597181258013
primary	Macrophages	chr22:2	14	0.010311201076311033
primary	Macrophages	chr22:3	14	0.011422684437484005
primary	Macrophages	chr22:4	14	0.008128584591847869
primary	Macrophages	chr22:5	3	-0.005085158558791296
primary	Macrophages	chr2:0	13	-0.006784102034383858
primary	Macrophages	chr2:1	10	-0.009181786248709672
primary	Macrophages	chr2:10	14	-0.0015334241706184315
primary	Macrophages	chr2:11	14	0.0012638797239399285
primary	Macrophages	chr2:12	8	0.0020704892574912783
primary	Macrophages	chr2:13	14	0.003969163802626999
primary	Macrophages	chr2:14	1	0.009891254998580927
primary	Macrophages	chr2:15	12	0.0022437286725424626
primary	Macrophages	chr2:16	13	0.0012737950403996488
primary	Macrophages	chr2:17	14	0.0021395684521112665
primary	Macrophages	chr2:18	11	0.00015566874302063246
primary	Macrophages	chr2:19	14	-0.002470862444690271
primary	Macrophages	chr2:2	14	-0.007093970399920426
primary	Macrophages	chr2:20	14	0.0005064510546958741
primary	Macrophages	chr2:21	13	-0.0011289777721084462
primary	Macrophages	chr2:22	5	-0.0019174891185853925
primary	Macrophages	chr2:23	14	-0.00539795977568371
primary	Macrophages	chr2:24	12	-0.0015569931468407655
primary	Macrophages	chr2:3	14	-0.0028752174026185295
primary	Macrophages	chr2:4	14	-0.0035476657496038184
primary	Macrophages	chr2:5	10	-0.0017493907584424922
primary	Macrophages	chr2:6	14	-0.0034422686695438306
primary	Macrophages	chr2:7	14	-0.003202962481737974
primary	Macrophages	chr2:8	14	-0.003033410776071608
primary	Macrophages	chr2:9	13	0.0025826262505726826
primary	Macrophages	chr3:0	13	-0.003211205400503413
primary	Macrophages	chr3:1	14	-0.0004779837700620764
primary	Macrophages	chr3:10	14	-0.00038856213353725565
primary	Macrophages	chr3:11	13	-0.0011190173691813766
primary	Macrophages	chr3:12	14	0.0012787662158260584
primary	Macrophages	chr3:13	13	0.004474642753404423
primary	Macrophages	chr3:14	14	0.0021420564624086186
primary	Macrophages	chr3:15	14	0.001276361887422957
primary	Macrophages	chr3:17	13	-0.0004311288623903553
primary	Macrophages	chr3:18	14	0.008150985616158728
primary	Macrophages	chr3:19	14	0.008505947457527164
primary	Macrophages	chr3:2	9	-0.00035820316474031576
primary	Macrophages	chr3:3	14	0.0009185147411632933
primary	Macrophages	chr3:4	14	0.0014890949034984916
primary	Macrophages	chr3:5	14	0.002751904915720757
primary	Macrophages	chr3:6	9	0.004628685674323051
primary	Macrophages	chr3:9	1	-0.051285289535024745
primary	Macrophages	chr4:0	14	-0.0016794101868580506
primary	Macrophages	chr4:1	9	-0.003091858937338284
primary	Macrophages	chr4:10	14	-0.0018292826012276258
primary	Macrophages	chr4:11	10	-0.0021775185484429267
primary	Macrophages	chr4:12	9	-0.0027152167876118303
primary	Macrophages	chr4:14	11	-0.002657570543027996
primary	Macrophages	chr4:15	11	-0.0064137385973951
primary	Macrophages	chr4:16	10	-0.0012197287417838585
primary	Macrophages	chr4:17	1	0.0029908558436625605
primary	Macrophages	chr4:18	12	0.002445712883982754
primary	Macrophages	chr4:3	10	-0.003053641445046791
primary	Macrophages	chr4:4	13	-0.004219119517185938
primary	Macrophages	chr4:5	13	-0.00660521982123251
primary	Macrophages	chr4:7	14	-0.0182107773285179
primary	Macrophages	chr4:8	14	-0.007492086297149962
primary	Macrophages	chr4:9	10	-0.0002910037265688628
primary	Macrophages	chr5:0	12	-0.0008700220748771899
primary	Macrophages	chr5:1	6	0.002265174127590545
primary	Macrophages	chr5:11	14	0.001541451353172253
primary	Macrophages	chr5:12	7	-0.0009111779664088017
primary	Macrophages	chr5:13	14	0.00013502455921371573
primary	Macrophages	chr5:14	14	0.00402715939940485
primary	Macrophages	chr5:15	14	0.0010967031265015463
primary	Macrophages	chr5:16	10	0.004538544850751907
primary	Macrophages	chr5:17	14	-0.0030243298678220977
primary	Macrophages	chr5:3	14	0.013572771190483371
primary	Macrophages	chr5:4	11	0.011118322052270962
primary	Macrophages	chr5:5	14	0.013404089225334604
primary	Macrophages	chr5:6	13	0.004428789137902665
primary	Macrophages	chr5:7	14	-0.0022443127966573456
primary	Macrophages	chr5:8	13	-0.0011314208012054472
primary	Macrophages	chr5:9	14	0.0009850319653917526
primary	Macrophages	chr6:0	14	-0.0053393721449294185
primary	Macrophages	chr6:1	14	-0.001954323198526391
