gene	current_pool	history_only	n_current_relations	RNA_status	RNA_n	RNA_effect	RNA_p	RNA_q	RNA_positive_pairs	RNA_negative_pairs	RNA_tier	CAMP_evaluable	CAMP_nominal	CAMP_FDR	Wu_ER_top	Wu_HER2_top	Wu_TNBC_top	interpretation_cn	limitation_cn	next_action_cn	RNA_source	relation_source	cell_source	judgment_type	new_patient_statistics	Wu2021__source_status	Wu2021__reason	Wu2021__display_top	Wu2021__mechanical_top	Wu2021__top_n	Wu2021__top_detection	Wu2021__bootstrap	Pal2021_reprocessed__source_status	Pal2021_reprocessed__reason	Pal2021_reprocessed__display_top	Pal2021_reprocessed__mechanical_top	Pal2021_reprocessed__top_n	Pal2021_reprocessed__top_detection	Pal2021_reprocessed__bootstrap
ADA	True	False	2	DONE	45.0	0.0674465097110459	0.4192929235146561	0.5004463925820088	22.0	23.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Endothelial	Endothelial	Perivascular	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Endothelial	Endothelial	24	0.1402325345121873	0.835	DONE	NA	Endothelial	Endothelial	23	0.05665600345817483	0.734
ADA2	True	False	2	DONE	45.0	0.4811830830806913	0.0005342935156085	0.0015815088062011602	34.0	11.0	FDR_SUPPORTED	2	1	0	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Myeloid	Myeloid	26	0.40997838875943426	1.0	DONE	NA	Myeloid	Myeloid	30	0.2741744657592467	1.0
AFMID	True	False	1	DONE	45.0	0.059133922528751	0.5182000283856616	0.5991687828209212	26.0	19.0	NOT_NOMINAL_SIGNIFICANT	1	0	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.2899685076505993	0.826	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.20377732635338566	1.0
AHCY	True	False	2	DONE	45.0	0.4663857145225857	1.3677343642915538e-07	1.0653930837639473e-06	37.0	8.0	FDR_SUPPORTED	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.5379956558543251	0.714	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.24862902674218015	1.0
ALOX15	True	False	2	DONE	45.0	0.05168202084520757	0.3312545702027935	0.4154718338136732	30.0	15.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Myeloid	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Myeloid	Myeloid	26	0.004663621844900421	0.379	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Mast_cells	12	0.006598726412707513	NA
ALOX5	True	False	1	DONE	45.0	0.4225208731026527	0.00014214150983922813	0.0004892312431675759	32.0	13.0	FDR_SUPPORTED	1	0	0	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE		Myeloid	Myeloid	26	0.343362594834323	1.0	DONE		Mast_cells	Mast_cells	12	0.2627477735429899	1.0
AMDHD2	True	False	1	DONE	45.0	0.1743832302659883	0.0016264652966013	0.004079946845711736	33.0	12.0	FDR_SUPPORTED	1	0	0	Malignant_epithelial	Malignant_epithelial	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Myeloid	Myeloid	26	0.1403290292433203	0.793	DONE	NA	Myeloid	Myeloid	30	0.09362242896526002	0.994
AOX1	True	False	1	DONE	45.0	-1.06909760237166	1.2495238951257794e-09	2.3116192059826918e-08	6.0	39.0	FDR_SUPPORTED	1	0	0	Fibroblasts	Fibroblasts	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Fibroblasts	Fibroblasts	23	0.06678326723940269	0.998	DONE	NA	Fibroblasts	Fibroblasts	30	0.04196328355586136	1.0
ARG1	True	False	2	DONE	45.0	0.0210818583845529	0.4972162022264865	0.5794330545631496	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	2	1	0	NA	NA	NA	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	T_NK_cells	26	0.000616526144050964	NA	NOT_EVALUABLE	low_detection_or_fewer_than_two_covered_lineages	暂不可定位	Fibroblasts	30	0.00011051811605828228	NA
ARG2	True	False	2	DONE	45.0	-0.1422493617729733	0.1353951559224685	0.2024089199649024	14.0	31.0	NOT_NOMINAL_SIGNIFICANT	2	0	0	Nonmalignant_epithelial	Perivascular	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.15689804878268826	0.993	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.034646157978638105	0.574
ASNS	True	False	3	DONE	45.0	0.484670967461386	6.000560098222248e-07	3.86122997624736e-06	36.0	9.0	FDR_SUPPORTED	3	2	1	Plasma_cells	Malignant_epithelial	Malignant_epithelial	与GLS共同保留为谷氨酰胺专题候选；已有患者关联与Asns自身干预RNA资料。	条件相关不是独立通量；小鼠再培养细胞RNA不能证明人类谷氨酰胺介导或GLS功能补偿。	保留专题及未支持结果；当前主线停在来源，不再追加同队列模型。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.1508810884292284	0.972	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.09018248858357214	0.926
ASS1	True	False	2	DONE	45.0	-0.627676062686424	3.182912944788039e-06	1.765611973135385e-05	9.0	36.0	FDR_SUPPORTED	2	0	0	Endothelial	Endothelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Endothelial	Endothelial	24	0.27376529588008985	0.649	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.1573033283696286	0.61
BBOX1	True	False	1	DONE	45.0	-0.5896021509461973	0.0156000375579053	0.03078407411426646	15.0	30.0	FDR_SUPPORTED	1	1	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.22541788521573256	0.999	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.03796572746108507	1.0
BCAT1	True	False	1	DONE	45.0	0.3231692490913656	0.042350661756496	0.0746178326185882	27.0	18.0	NOMINAL_P_ONLY	1	1	0	Myeloid	Myeloid	Myeloid	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Myeloid	Myeloid	26	0.21238581844159743	1.0	DONE	NA	Myeloid	Myeloid	30	0.16811247698933432	1.0
BCAT2	True	False	1	DONE	45.0	0.1455620665486846	0.0630952969528727	0.10661816526513393	28.0	17.0	NOT_NOMINAL_SIGNIFICANT	1	1	0	Malignant_epithelial	Malignant_epithelial	Malignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Malignant_epithelial	Malignant_epithelial	20	0.2772445937009146	0.967	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.11940134747308176	0.95
CDO1	True	False	1	DONE	45.0	-1.4595902791242863	4.758145557890335e-13	7.042055425677696e-11	0.0	45.0	FDR_SUPPORTED	1	1	0	Fibroblasts	Fibroblasts	Fibroblasts	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Fibroblasts	Fibroblasts	23	0.1230266340995476	1.0	DONE	NA	Fibroblasts	Fibroblasts	30	0.04271730448338715	1.0
CEPT1	True	False	2	DONE	45.0	-0.1352273810510205	0.0065565519921756	0.01406332891075346	16.0	29.0	FDR_SUPPORTED	2	1	0	B_cells	B_cells	B_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	B_cells	B_cells	20	0.08120934984430635	0.946	DONE	NA	Myeloid	Myeloid	30	0.07953414103276377	0.721
CHKA	True	False	3	DONE	45.0	0.0360581446699353	0.7511038504983943	0.8216380429596449	24.0	21.0	NOT_NOMINAL_SIGNIFICANT	3	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.20915045892899614	0.905	DONE	NA	Mast_cells	Mast_cells	12	0.039814390917028805	0.447
CHKB	True	False	3	NOT_EVALUABLE	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0	0	0	Fibroblasts	Fibroblasts	T_NK_cells	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Fibroblasts	Fibroblasts	23	0.0830120666502571	0.833	DONE	NA	Fibroblasts	Fibroblasts	30	0.028556890670259374	0.567
CHPT1	True	False	2	DONE	45.0	-0.3145371132231079	0.0113660069125845	0.023363458653645915	15.0	30.0	FDR_SUPPORTED	2	0	0	Nonmalignant_epithelial	Malignant_epithelial	Nonmalignant_epithelial	完整保留候选，按自身配对RNA、关系级患者结果和细胞来源讨论。	未被选作示例不表示无作用；来源与相关不证明功能。	当前完成来源记录，尚无足够依据安排独立机制课题。	results/BRCA/03_PATIENT/20260921T150000Z_mapping262_patient_v1/paired_RNA150.tsv	results/BRCA/07_INTEGRATION/20260921T154000Z_mapping262_integration_v1/relations262_comparison.tsv	results/BRCA/06_EXTERNAL/20260922T064625Z_sc156_subtypes_v1/genes156_subtype_appended.tsv	INTERPRETATION_NOT_NEW_TEST	False	DONE	NA	Nonmalignant_epithelial	Nonmalignant_epithelial	10	0.45044259361814865	0.996	DONE	NA	Malignant_epithelial	Malignant_epithelial	33	0.30372043883225386	1.0
